服务区,机型,最大安全载荷_kg,额定载荷_kg,可用体积_m3,空载往返能耗_kWh,边界载荷往返能耗_kWh,允许能耗上限_kWh,安全载荷受限原因,额定载荷临界安全余量,空载可行临界安全余量,空载往返可行性
S001,A,25.0,25.0,0.06,1.1649313021250916,1.3165381716186038,4.05,额定载重,0.7074359618625325,0.7411263773055352,可行
S001,B,30.0,30.0,0.073,0.9329276589821238,1.2776543328571202,3.6,额定载重,0.68058641678572,0.766768085254469,可行
S001,C,80.0,80.0,0.25,1.9471907065618852,3.0908875750848717,7.2,额定载重,0.613639053114391,0.7566011616797643,可行
S002,A,25.0,25.0,0.06,2.749618734644965,3.10157039172789,4.05,额定载重,0.31076213517158,0.3889736145233411,可行
S002,B,30.0,30.0,0.073,2.1920752969938704,3.0095492296108115,3.6,额定载重,0.24761269259729712,0.4519811757515324,可行
S002,C,78.34952787242099,80.0,0.25,4.6483703100883424,7.2,7.2,能源安全余量,0.07837376924632511,0.4189537112389572,可行
S003,A,25.0,25.0,0.06,2.788154745216063,3.1559772353460254,4.05,额定载重,0.29867172547866105,0.3804100566186527,可行
S003,B,30.0,30.0,0.073,2.236320021425774,3.0635813113211086,3.6,额定载重,0.23410467216972286,0.44091999464355647,可行
S003,C,78.25159788466424,80.0,0.25,4.642272926261009,7.199999999999999,7.2,能源安全余量,0.07746875488994842,0.4197158842173738,可行
S004,A,25.0,25.0,0.06,2.9051346482851583,3.27928734801585,4.05,额定载重,0.27126947821869996,0.3544145226032982,可行
S004,B,30.0,30.0,0.073,2.3214071405347125,3.182017012817056,3.6,额定载重,0.204495746795736,0.41964821486632187,可行
S004,C,74.5685691708119,80.0,0.25,4.883090962993755,7.199999999999999,7.2,能源安全余量,0.03181269745930715,0.3896136296257806,可行
S005,A,25.0,25.0,0.06,1.9961865930866958,2.2535791368922986,4.05,额定载重,0.49920463624615585,0.5564029793140677,可行
S005,B,30.0,30.0,0.073,1.5960751443532135,2.1867106953181983,3.6,额定载重,0.45332232617045043,0.6009812139116966,可行
S005,C,80.0,80.0,0.25,3.3501160231192717,5.313570542260336,7.2,额定载重,0.33580368221745804,0.581235497110091,可行
S006,A,25.0,25.0,0.06,1.223149264637657,1.389071795760954,4.05,额定载重,0.6913173787197879,0.7281890523027429,可行
S006,B,30.0,30.0,0.073,0.9812741279053949,1.349430363920665,3.6,额定载重,0.6626424090198337,0.7546814680236513,可行
S006,C,80.0,80.0,0.25,2.035424836487003,3.25021753239995,7.2,额定载重,0.5937228084500062,0.7455718954391246,可行
S007,A,25.0,25.0,0.06,1.7719185657152292,2.0113403191793813,4.05,额定载重,0.5530354846268042,0.606240318729949,可行
S007,B,30.0,30.0,0.073,1.425138455976179,1.953385128426209,3.6,额定载重,0.5116537178934477,0.6437153860059552,可行
S007,C,80.0,80.0,0.25,2.9295888303450237,4.670395187500229,7.2,额定载重,0.4162006015624714,0.633801396206872,可行
S008,A,25.0,25.0,0.06,3.008564177543125,3.3961854506014215,4.05,额定载重,0.24529212208857298,0.33143018276819447,可行
S008,B,30.0,30.0,0.073,2.399778038736402,3.295884141376814,3.6,额定载重,0.17602896465579654,0.4000554903158995,可行
S008,C,71.16143204154218,80.0,0.25,5.079471505232126,7.199999999999999,7.2,能源安全余量,-0.007898547321038896,0.3650660618459842,可行
S009,A,25.0,25.0,0.06,2.1207698791445893,2.3939525206643646,4.05,额定载重,0.46801055096347455,0.5287178046345358,可行
S009,B,30.0,30.0,0.073,1.691327554392407,2.323266310826973,3.6,额定载重,0.4191834222932568,0.5771681114018983,可行
S009,C,80.0,80.0,0.25,3.5821678318525256,5.686581833862258,7.2,额定载重,0.2891772707672178,0.5522290210184343,可行
S010,A,25.0,25.0,0.06,1.8240840081229779,2.0682501599331213,4.05,额定载重,0.5403888533481953,0.5946479981948938,可行
S010,B,30.0,30.0,0.073,1.4616966408926038,2.008635972122347,3.6,额定载重,0.49784100696941325,0.6345758397768491,可行
S010,C,80.0,80.0,0.25,3.0442756936176067,4.852849434158532,7.2,额定载重,0.3933938207301835,0.6194655382977992,可行
S011,A,25.0,25.0,0.06,1.0806519261574579,1.2232875830735246,4.05,额定载重,0.7281583148725501,0.7598551275205649,可行
S011,B,30.0,30.0,0.073,0.8666294190674184,1.187503699046184,3.6,额定载重,0.703124075238454,0.7833426452331453,可行
S011,C,80.0,80.0,0.25,1.8000141683866895,2.8620636567660798,7.2,额定载重,0.64224204290424,0.7749982289516638,可行
S012,A,25.0,25.0,0.06,2.7817812147195315,3.143039178933906,4.05,额定载重,0.30154684912579865,0.381826396728993,可行
S012,B,30.0,30.0,0.073,2.2237292921198932,3.0504135972912714,3.6,额定载重,0.23739660067718216,0.4440676769700267,可行
S012,C,77.9007655223291,80.0,0.25,4.6710623541247305,7.199999999999999,7.2,能源安全余量,0.07280440106842412,0.4161172057344087,可行
S013,A,25.0,25.0,0.06,1.826630733227764,2.06990123709954,4.05,额定载重,0.5400219473112133,0.5940820592827192,可行
S013,B,30.0,30.0,0.073,1.4606484837158749,2.010247231785786,3.6,额定载重,0.49743819205355355,0.6348378790710313,可行
S013,C,80.0,80.0,0.25,3.0648000537791984,4.885613345328985,7.2,额定载重,0.38929833183387685,0.6168999932776003,可行
S014,A,25.0,25.0,0.06,2.126066186704782,2.4119315676991464,4.05,额定载重,0.4640152071779675,0.5275408473989374,可行
S014,B,30.0,30.0,0.073,1.7113883430707837,2.341978394421938,3.6,额定载重,0.4145054013945155,0.5721529142323041,可行
S014,C,80.0,80.0,0.25,3.507676687681592,5.585654340689022,7.2,额定载重,0.3017932074138723,0.561540414039801,可行
S015,A,25.0,25.0,0.06,2.3103140297015723,2.623193965402667,4.05,额定载重,0.4170680076882962,0.4865968822885395,可行
S015,B,30.0,30.0,0.073,1.852934635793898,2.548263471328948,3.6,额定载重,0.36293413216776305,0.5367663410515255,可行
