服务区,货箱数,架次数,总能耗_kWh,累计作业时间_s
S001,15,2,5.930970735837616,3188.8534833970934
S002,8,2,8.4643034352343,3872.2933283603898
S003,8,2,8.542543428516005,4450.053670163654
S004,6,1,6.17691902989136,2305.185491467791
S005,6,1,4.23878004069446,1880.0456170960524
S006,6,1,2.595723096522244,1565.0356687212288
S007,5,1,3.403353852298534,1889.2252411346558
S008,5,1,5.853754904193419,2194.12905445849
S009,3,1,2.102455644233721,1560.77979054711
S010,3,1,1.8210472847963826,1554.5722391614418
S011,3,1,1.0771726352063646,1189.6308045644855
S012,3,1,2.7633271899825242,1944.0258065765963
S013,3,1,1.8207972710010332,1500.9702855348519
S014,3,1,2.1276841051324684,1844.5398866711284
S015,3,1,2.3109055629671014,1829.5741010160095
全部,80,18,59.22973821650754,32768.91446887097
