服务区,机型,最大安全载荷_kg,额定载荷_kg,可用体积_m3,空载往返能耗_kWh,边界载荷往返能耗_kWh,允许能耗上限_kWh,空载往返可行性
S001,A,25.0,25.0,0.06,1.1649313021250916,1.3165381716186038,3.375,可行
S001,B,30.0,30.0,0.073,0.9329276589821238,1.2776543328571202,3.0,可行
S001,C,80.0,80.0,0.25,1.9471907065618852,3.0908875750848717,6.0,可行
S002,A,25.0,25.0,0.06,2.749618734644965,3.10157039172789,3.375,可行
S002,B,29.863517747694736,30.0,0.073,2.1920752969938704,3.0,3.0,可行
S002,C,61.609552819938735,80.0,0.25,4.6483703100883424,6.0,6.0,可行
S003,A,25.0,25.0,0.06,2.788154745216063,3.1559772353460254,3.375,可行
S003,B,29.04912446479496,30.0,0.073,2.236320021425774,3.0,3.0,可行
S003,C,61.17782333698898,80.0,0.25,4.642272926261009,6.0,6.0,可行
S004,A,25.0,25.0,0.06,2.9051346482851583,3.27928734801585,3.375,可行
S004,B,27.215467105567637,30.0,0.073,2.3214071405347125,3.0,3.0,可行
S004,C,55.118627876993166,80.0,0.25,4.883090962993755,6.0,6.0,可行
S005,A,25.0,25.0,0.06,1.9961865930866958,2.2535791368922986,3.375,可行
S005,B,30.0,30.0,0.073,1.5960751443532135,2.1867106953181983,3.0,可行
S005,C,80.0,80.0,0.25,3.3501160231192717,5.313570542260336,6.0,可行
S006,A,25.0,25.0,0.06,1.223149264637657,1.389071795760954,3.375,可行
S006,B,30.0,30.0,0.073,0.9812741279053949,1.349430363920665,3.0,可行
S006,C,80.0,80.0,0.25,2.035424836487003,3.25021753239995,6.0,可行
S007,A,25.0,25.0,0.06,1.7719185657152292,2.0113403191793813,3.375,可行
S007,B,30.0,30.0,0.073,1.425138455976179,1.953385128426209,3.0,可行
S007,C,80.0,80.0,0.25,2.9295888303450237,4.670395187500229,6.0,可行
S008,A,24.236898762040017,25.0,0.06,3.008564177543125,3.375,3.375,可行
S008,B,25.332761048117174,30.0,0.073,2.399778038736402,3.0,3.0,可行
S008,C,49.214714268452035,80.0,0.25,5.079471505232126,6.0,6.0,可行
S009,A,25.0,25.0,0.06,2.1207698791445893,2.3939525206643646,3.375,可行
S009,B,30.0,30.0,0.073,1.691327554392407,2.323266310826973,3.0,可行
S009,C,80.0,80.0,0.25,3.5821678318525256,5.686581833862258,6.0,可行
S010,A,25.0,25.0,0.06,1.8240840081229779,2.0682501599331213,3.375,可行
S010,B,30.0,30.0,0.073,1.4616966408926038,2.008635972122347,3.0,可行
S010,C,80.0,80.0,0.25,3.0442756936176067,4.852849434158532,6.0,可行
S011,A,25.0,25.0,0.06,1.0806519261574579,1.2232875830735246,3.375,可行
S011,B,30.0,30.0,0.073,0.8666294190674184,1.187503699046184,3.0,可行
S011,C,80.0,80.0,0.25,1.8000141683866895,2.8620636567660798,6.0,可行
S012,A,25.0,25.0,0.06,2.7817812147195315,3.143039178933906,3.375,可行
S012,B,29.26098231405454,30.0,0.073,2.2237292921198932,3.0,3.0,可行
S012,C,60.74880135622496,80.0,0.25,4.6710623541247305,6.0,6.0,可行
S013,A,25.0,25.0,0.06,1.826630733227764,2.06990123709954,3.375,可行
S013,B,30.0,30.0,0.073,1.4606484837158749,2.010247231785786,3.0,可行
S013,C,80.0,80.0,0.25,3.0648000537791984,4.885613345328985,6.0,可行
S014,A,25.0,25.0,0.06,2.126066186704782,2.4119315676991464,3.375,可行
S014,B,30.0,30.0,0.073,1.7113883430707837,2.341978394421938,3.0,可行
S014,C,80.0,80.0,0.25,3.507676687681592,5.585654340689022,6.0,可行
S015,A,25.0,25.0,0.06,2.3103140297015723,2.623193965402667,3.375,可行
S015,B,30.0,30.0,0.073,1.852934635793898,2.548263471328948,3.0,可行
S015,C,78.34268090635439,80.0,0.25,3.8472982261076645,5.999999999999999,6.0,可行
