服务区,总质量_kg,总体积_m3,质量下界_架次,体积下界_架次,简单综合下界_架次,精确最优架次,下界差距_架次,解释
S001,154.0,0.394,2,2,2,2,0,达到简单下界
S002,81.0,0.211,3,1,3,3,0,达到简单下界
S003,81.0,0.211,3,1,3,3,0,达到简单下界
S004,59.0,0.156,3,1,3,3,0,达到简单下界
S005,59.0,0.156,1,1,1,1,0,达到简单下界
S006,59.0,0.156,1,1,1,1,0,达到简单下界
S007,45.0,0.129,1,1,1,1,0,达到简单下界
S008,45.0,0.129,4,1,4,4,0,达到简单下界
S009,25.0,0.067,1,1,1,1,0,达到简单下界
S010,25.0,0.067,1,1,1,1,0,达到简单下界
S011,25.0,0.067,1,1,1,1,0,达到简单下界
S012,25.0,0.067,1,1,1,1,0,达到简单下界
S013,25.0,0.067,1,1,1,1,0,达到简单下界
S014,25.0,0.067,1,1,1,1,0,达到简单下界
S015,25.0,0.067,1,1,1,1,0,达到简单下界
