服务区,架次序号,机型,货箱编号,重算总质量_kg,重算总体积_m3,重算往返能耗_kWh,重算累计作业时间_s,重算返航SOC,复核结果
S001,1,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.0,0.159,2.9175821991564397,1560.169061638226,0.635302225105445,通过
S001,2,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,78.0,0.23500000000000001,2.995769151326999,1626.169061638226,0.6255288560841251,通过
S002,1,C,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-FOD-01,39.0,0.094,5.170922797973086,1975.8121604994858,0.35363465025336427,通过
S002,2,B,S002-WAT-03;S002-FOD-02,22.0,0.055,2.5890902896810544,1756.6940757826892,0.3527274275797364,通过
S002,3,B,S002-WAT-04;S002-HYG-01,20.0,0.062,2.5199761916230896,1756.6940757826892,0.3700059520942276,通过
S003,1,C,S003-MED-01;S003-WAT-01;S003-FOD-01;S003-FOD-02,33.0,0.095,5.069643855575021,2304.091139953417,0.3662945180531224,通过
S003,2,B,S003-WAT-02,14.0,0.027,2.424118297325874,1960.5230938922189,0.39397042566853147,通过
S003,3,C,S003-WAT-03;S003-WAT-04;S003-HYG-01,34.0,0.089,5.091303163203025,2238.091139953417,0.36358710459962185,通过
S004,1,B,S004-MED-01;S004-WAT-01,17.0,0.039,2.5765217898096386,1921.6433836625176,0.35586955254759034,通过
S004,2,C,S004-WAT-02;S004-WAT-03,28.0,0.054,5.190577315612263,2037.0564390824397,0.35117783554846715,通过
S004,3,B,S004-FOD-01;S004-HYG-01,14.0,0.063,2.501297459146621,1921.6433836625176,0.3746756352133448,通过
S005,1,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59.0,0.156,4.222192387345577,1877.1904432543072,0.4722259515818029,通过
S006,1,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59.0,0.156,2.597987762362441,1561.5538503101416,0.6752515297046948,通过
S007,1,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45.0,0.129,3.4108941098668497,1907.5664063000509,0.5736382362666438,通过
S008,1,B,S008-MED-01;S008-HYG-01,9.0,0.047,2.4894991764491428,1901.8311447788406,0.3776252058877143,通过
S008,2,B,S008-WAT-01,14.0,0.027,2.589345341380426,1841.8311447788406,0.3526636646548935,通过
S008,3,B,S008-WAT-02,14.0,0.027,2.589345341380426,1841.8311447788406,0.3526636646548935,通过
S008,4,B,S008-FOD-01,8.0,0.028,2.4735233375338854,1841.8311447788406,0.38161916561652864,通过
S009,1,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,2.0962334622162127,1558.4416307982196,0.47594163444594684,通过
S010,1,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,1.8231955389249852,1555.37950602052,0.5442011152687537,通过
S011,1,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,1.0739517329661894,1188.4204600339176,0.7315120667584527,通过
S012,1,C,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,4.922005715475256,2040.590460894292,0.38474928556559296,通过
S013,1,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,1.8247591062299287,1510.472262686102,0.5438102234425178,通过
S014,1,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,2.1403882509279963,1869.7563295093853,0.4649029372680009,通过
S015,1,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,2.307452507085184,1828.2765182305734,0.42313687322870397,通过
