服务区,单程水平距离_m,沿线最高地形_m,巡航海拔_m,去程爬升_m,去程下降_m,返程爬升_m,返程下降_m,穿越DEM像元数
S001,3063.411326288906,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,89.05661010742188,145.3566101074219,135
S002,7435.278518338766,261.21807861328125,311.21807861328125,183.51807861328126,91.71807861328125,91.71807861328125,183.51807861328126,323
S003,7261.075570364676,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376,339
S004,7745.662441501595,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,169.9391662597656,270.53916625976564,277
S005,5302.02013115008,276.410888671875,326.410888671875,198.710888671875,131.410888671875,131.410888671875,198.710888671875,183
S006,3181.0333082558964,318.4154968261719,368.4154968261719,240.7154968261719,53.615496826171864,53.615496826171864,240.7154968261719,116
S007,4533.827897987457,451.8304748535156,501.8304748535156,374.13047485351564,153.33047485351562,153.33047485351562,374.13047485351564,213
S008,8109.473184927932,317.5588684082031,367.5588684082031,239.85886840820314,96.65886840820315,96.65886840820315,239.85886840820314,323
S009,5722.680393214653,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,63.228912353515625,165.52891235351564,253
S010,4778.43990162097,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,84.03653564453123,307.93653564453126,202
S011,2817.1517251516107,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,83.26175537109376,167.66175537109376,123
S012,7398.449561287365,377.0903625488281,427.0903625488281,299.39036254882814,147.2903625488281,147.2903625488281,299.39036254882814,355
S013,4848.706999909826,342.7518310546875,392.7518310546875,265.0518310546875,41.05183105468751,41.05183105468751,265.0518310546875,227
S014,5410.9170943694,525.5438232421875,575.5438232421875,447.8438232421875,224.5438232421875,224.5438232421875,447.8438232421875,202
S015,6019.113948538039,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376,288
