返航安全余量,服务区,机型,最大安全载荷_kg,额定载荷_kg,空载往返可行性
10%,S001,A,25.0,25.0,可行
10%,S001,B,30.0,30.0,可行
10%,S001,C,80.0,80.0,可行
10%,S002,A,25.0,25.0,可行
10%,S002,B,30.0,30.0,可行
10%,S002,C,78.59391169005318,80.0,可行
10%,S003,A,25.0,25.0,可行
10%,S003,B,30.0,30.0,可行
10%,S003,C,78.23139014667615,80.0,可行
10%,S004,A,25.0,25.0,可行
10%,S004,B,30.0,30.0,可行
10%,S004,C,74.88429505700853,80.0,可行
10%,S005,A,25.0,25.0,可行
10%,S005,B,30.0,30.0,可行
10%,S005,C,80.0,80.0,可行
10%,S006,A,25.0,25.0,可行
10%,S006,B,30.0,30.0,可行
10%,S006,C,80.0,80.0,可行
10%,S007,A,25.0,25.0,可行
10%,S007,B,30.0,30.0,可行
10%,S007,C,80.0,80.0,可行
10%,S008,A,25.0,25.0,可行
10%,S008,B,30.0,30.0,可行
10%,S008,C,71.43821724837379,80.0,可行
10%,S009,A,25.0,25.0,可行
10%,S009,B,30.0,30.0,可行
10%,S009,C,80.0,80.0,可行
10%,S010,A,25.0,25.0,可行
10%,S010,B,30.0,30.0,可行
10%,S010,C,80.0,80.0,可行
10%,S011,A,25.0,25.0,可行
10%,S011,B,30.0,30.0,可行
10%,S011,C,80.0,80.0,可行
10%,S012,A,25.0,25.0,可行
10%,S012,B,30.0,30.0,可行
10%,S012,C,78.0919080039661,80.0,可行
10%,S013,A,25.0,25.0,可行
10%,S013,B,30.0,30.0,可行
10%,S013,C,80.0,80.0,可行
10%,S014,A,25.0,25.0,可行
10%,S014,B,30.0,30.0,可行
10%,S014,C,80.0,80.0,可行
10%,S015,A,25.0,25.0,可行
10%,S015,B,30.0,30.0,可行
10%,S015,C,80.0,80.0,可行
15%,S001,A,25.0,25.0,可行
15%,S001,B,30.0,30.0,可行
15%,S001,C,80.0,80.0,可行
15%,S002,A,25.0,25.0,可行
15%,S002,B,30.0,30.0,可行
15%,S002,C,74.2412087305236,80.0,可行
15%,S003,A,25.0,25.0,可行
15%,S003,B,30.0,30.0,可行
15%,S003,C,73.75236144984115,80.0,可行
15%,S004,A,25.0,25.0,可行
15%,S004,B,30.0,30.0,可行
15%,S004,C,69.9133681742334,80.0,可行
15%,S005,A,25.0,25.0,可行
15%,S005,B,30.0,30.0,可行
15%,S005,C,80.0,80.0,可行
15%,S006,A,25.0,25.0,可行
15%,S006,B,30.0,30.0,可行
15%,S006,C,80.0,80.0,可行
15%,S007,A,25.0,25.0,可行
15%,S007,B,30.0,30.0,可行
15%,S007,C,80.0,80.0,可行
15%,S008,A,25.0,25.0,可行
15%,S008,B,30.0,30.0,可行
15%,S008,C,65.90265063667857,80.0,可行
15%,S009,A,25.0,25.0,可行
15%,S009,B,30.0,30.0,可行
15%,S009,C,80.0,80.0,可行
15%,S010,A,25.0,25.0,可行
15%,S010,B,30.0,30.0,可行
15%,S010,C,80.0,80.0,可行
15%,S011,A,25.0,25.0,可行
15%,S011,B,30.0,30.0,可行
15%,S011,C,80.0,80.0,可行
15%,S012,A,25.0,25.0,可行
15%,S012,B,30.0,30.0,可行
15%,S012,C,73.63528320731916,80.0,可行
15%,S013,A,25.0,25.0,可行
15%,S013,B,30.0,30.0,可行
15%,S013,C,80.0,80.0,可行
15%,S014,A,25.0,25.0,可行
15%,S014,B,30.0,30.0,可行
15%,S014,C,80.0,80.0,可行
15%,S015,A,25.0,25.0,可行
15%,S015,B,30.0,30.0,可行
15%,S015,C,80.0,80.0,可行
20%,S001,A,25.0,25.0,可行
20%,S001,B,30.0,30.0,可行
20%,S001,C,80.0,80.0,可行
20%,S002,A,25.0,25.0,可行
20%,S002,B,30.0,30.0,可行
20%,S002,C,68.86036418056533,80.0,可行
20%,S003,A,25.0,25.0,可行
20%,S003,B,30.0,30.0,可行
20%,S003,C,68.2065111033992,80.0,可行
20%,S004,A,25.0,25.0,可行
20%,S004,B,30.0,30.0,可行
20%,S004,C,63.696982270485194,80.0,可行
20%,S005,A,25.0,25.0,可行
20%,S005,B,30.0,30.0,可行
20%,S005,C,80.0,80.0,可行
20%,S006,A,25.0,25.0,可行
20%,S006,B,30.0,30.0,可行
20%,S006,C,80.0,80.0,可行
20%,S007,A,25.0,25.0,可行
20%,S007,B,30.0,30.0,可行
20%,S007,C,80.0,80.0,可行
20%,S008,A,25.0,25.0,可行
20%,S008,B,28.80124571621259,30.0,可行
20%,S008,C,58.90439446928869,80.0,可行
20%,S009,A,25.0,25.0,可行
20%,S009,B,30.0,30.0,可行
20%,S009,C,80.0,80.0,可行
20%,S010,A,25.0,25.0,可行
20%,S010,B,30.0,30.0,可行
20%,S010,C,80.0,80.0,可行
20%,S011,A,25.0,25.0,可行
20%,S011,B,30.0,30.0,可行
20%,S011,C,80.0,80.0,可行
20%,S012,A,25.0,25.0,可行
20%,S012,B,30.0,30.0,可行
20%,S012,C,68.11721498490235,80.0,可行
20%,S013,A,25.0,25.0,可行
20%,S013,B,30.0,30.0,可行
20%,S013,C,80.0,80.0,可行
20%,S014,A,25.0,25.0,可行
20%,S014,B,30.0,30.0,可行
20%,S014,C,80.0,80.0,可行
20%,S015,A,25.0,25.0,可行
20%,S015,B,30.0,30.0,可行
20%,S015,C,80.0,80.0,可行
25%,S001,A,25.0,25.0,可行
25%,S001,B,30.0,30.0,可行
25%,S001,C,80.0,80.0,可行
25%,S002,A,25.0,25.0,可行
25%,S002,B,30.0,30.0,可行
25%,S002,C,62.0154444579785,80.0,可行
25%,S003,A,25.0,25.0,可行
25%,S003,B,29.036523534396633,30.0,可行
25%,S003,C,61.144538269815136,80.0,可行
25%,S004,A,25.0,25.0,可行
25%,S004,B,27.412126044043703,30.0,可行
25%,S004,C,55.661220165170775,80.0,可行
25%,S005,A,25.0,25.0,可行
25%,S005,B,30.0,30.0,可行
25%,S005,C,80.0,80.0,可行
25%,S006,A,25.0,25.0,可行
25%,S006,B,30.0,30.0,可行
25%,S006,C,80.0,80.0,可行
25%,S007,A,25.0,25.0,可行
25%,S007,B,30.0,30.0,可行
25%,S007,C,80.0,80.0,可行
25%,S008,A,24.56279650401495,25.0,可行
25%,S008,B,25.480517687068605,30.0,可行
25%,S008,C,49.7046281048649,80.0,可行
25%,S009,A,25.0,25.0,可行
25%,S009,B,30.0,30.0,可行
25%,S009,C,80.0,80.0,可行
25%,S010,A,25.0,25.0,可行
25%,S010,B,30.0,30.0,可行
25%,S010,C,80.0,80.0,可行
25%,S011,A,25.0,25.0,可行
25%,S011,B,30.0,30.0,可行
25%,S011,C,80.0,80.0,可行
25%,S012,A,25.0,25.0,可行
25%,S012,B,29.432478014410194,30.0,可行
25%,S012,C,61.0855175669974,80.0,可行
25%,S013,A,25.0,25.0,可行
25%,S013,B,30.0,30.0,可行
25%,S013,C,80.0,80.0,可行
25%,S014,A,25.0,25.0,可行
25%,S014,B,30.0,30.0,可行
25%,S014,C,80.0,80.0,可行
25%,S015,A,25.0,25.0,可行
25%,S015,B,30.0,30.0,可行
25%,S015,C,78.45462186981518,80.0,可行
30%,S001,A,25.0,25.0,可行
30%,S001,B,30.0,30.0,可行
30%,S001,C,80.0,80.0,可行
30%,S002,A,25.0,25.0,可行
30%,S002,B,26.745939640161748,30.0,可行
30%,S002,C,52.95164137933852,80.0,可行
30%,S003,A,24.737321265983805,25.0,可行
30%,S003,B,25.42656325298522,30.0,可行
30%,S003,C,51.795793306125105,80.0,可行
30%,S004,A,20.169076835092188,25.0,可行
30%,S004,B,23.44182611149862,30.0,可行
30%,S004,C,44.747168841196256,80.0,可行
30%,S005,A,25.0,25.0,可行
30%,S005,B,30.0,30.0,可行
30%,S005,C,80.0,80.0,可行
30%,S006,A,25.0,25.0,可行
30%,S006,B,30.0,30.0,可行
30%,S006,C,80.0,80.0,可行
30%,S007,A,25.0,25.0,可行
30%,S007,B,30.0,30.0,可行
30%,S007,C,80.0,80.0,可行
30%,S008,A,14.213195497174784,25.0,可行
30%,S008,B,21.000846135933987,30.0,可行
30%,S008,C,36.81379894073495,80.0,可行
30%,S009,A,25.0,25.0,可行
30%,S009,B,30.0,30.0,可行
30%,S009,C,79.15354348968604,80.0,可行
30%,S010,A,25.0,25.0,可行
30%,S010,B,30.0,30.0,可行
30%,S010,C,80.0,80.0,可行
30%,S011,A,25.0,25.0,可行
30%,S011,B,30.0,30.0,可行
30%,S011,C,80.0,80.0,可行
30%,S012,A,25.0,25.0,可行
30%,S012,B,25.984095736079347,30.0,可行
30%,S012,C,51.75596951281162,80.0,可行
30%,S013,A,25.0,25.0,可行
30%,S013,B,30.0,30.0,可行
30%,S013,C,80.0,80.0,可行
30%,S014,A,25.0,25.0,可行
30%,S014,B,30.0,30.0,可行
30%,S014,C,79.90370575258387,80.0,可行
30%,S015,A,25.0,25.0,可行
30%,S015,B,30.0,30.0,可行
30%,S015,C,73.00768963201277,80.0,可行
35%,S001,A,25.0,25.0,可行
35%,S001,B,30.0,30.0,可行
35%,S001,C,80.0,80.0,可行
35%,S002,A,17.28706123823142,25.0,可行
35%,S002,B,22.291328081092846,30.0,可行
35%,S002,C,40.15345365016616,80.0,可行
35%,S003,A,13.578984068295188,25.0,可行
35%,S003,B,20.43972181179192,30.0,可行
35%,S003,C,38.63549209076309,80.0,可行
35%,S004,A,5.0684462664871734,25.0,可行
35%,S004,B,17.826151604576964,30.0,可行
35%,S004,C,28.492743498161566,80.0,可行
35%,S005,A,25.0,25.0,可行
35%,S005,B,30.0,30.0,可行
35%,S005,C,78.77153101712076,80.0,可行
35%,S006,A,25.0,25.0,可行
35%,S006,B,30.0,30.0,可行
35%,S006,C,80.0,80.0,可行
35%,S007,A,25.0,25.0,可行
35%,S007,B,30.0,30.0,可行
35%,S007,C,80.0,80.0,可行
35%,S008,A,,25.0,不可行
35%,S008,B,14.444918824343882,30.0,可行
35%,S008,C,15.682866807443768,80.0,可行
35%,S009,A,25.0,25.0,可行
35%,S009,B,30.0,30.0,可行
35%,S009,C,73.49185508089202,80.0,可行
35%,S010,A,25.0,25.0,可行
35%,S010,B,30.0,30.0,可行
35%,S010,C,80.0,80.0,可行
35%,S011,A,25.0,25.0,可行
35%,S011,B,30.0,30.0,可行
35%,S011,C,80.0,80.0,可行
35%,S012,A,15.052871902430867,25.0,可行
35%,S012,B,21.251264189450634,30.0,可行
35%,S012,C,38.54573755357492,80.0,可行
35%,S013,A,25.0,25.0,可行
35%,S013,B,30.0,30.0,可行
35%,S013,C,80.0,80.0,可行
35%,S014,A,25.0,25.0,可行
35%,S014,B,30.0,30.0,可行
35%,S014,C,74.2417232017077,80.0,可行
35%,S015,A,25.0,25.0,可行
35%,S015,B,30.0,30.0,可行
35%,S015,C,65.9395403542392,80.0,可行
