返航安全余量,服务区,架次数,总能耗_kWh,累计作业时间_s,采用机型
10%,S001,2,5.930970735837616,3188.8534833970934,C
10%,S002,2,8.4643034352343,3872.2933283603898,B+C
10%,S003,2,8.542543428516005,4450.053670163654,B+C
10%,S004,1,6.17691902989136,2305.185491467791,C
10%,S005,1,4.23878004069446,1880.0456170960524,C
10%,S006,1,2.595723096522244,1565.0356687212288,C
10%,S007,1,3.403353852298534,1889.2252411346558,C
10%,S008,1,5.853754904193419,2194.12905445849,C
10%,S009,1,2.102455644233721,1560.77979054711,B
10%,S010,1,1.8210472847963826,1554.5722391614418,B
10%,S011,1,1.0771726352063646,1189.6308045644855,B
10%,S012,1,2.7633271899825242,1944.0258065765963,B
10%,S013,1,1.8207972710010332,1500.9702855348519,B
10%,S014,1,2.1276841051324684,1844.5398866711284,B
10%,S015,1,2.3109055629671014,1829.5741010160095,B
15%,S001,2,5.930970735837616,3188.8534833970934,C
15%,S002,2,8.4643034352343,3872.2933283603898,B+C
15%,S003,2,8.542543428516005,4450.053670163654,B+C
15%,S004,1,6.17691902989136,2305.185491467791,C
15%,S005,1,4.23878004069446,1880.0456170960524,C
15%,S006,1,2.595723096522244,1565.0356687212288,C
15%,S007,1,3.403353852298534,1889.2252411346558,C
15%,S008,1,5.853754904193419,2194.12905445849,C
15%,S009,1,2.102455644233721,1560.77979054711,B
15%,S010,1,1.8210472847963826,1554.5722391614418,B
15%,S011,1,1.0771726352063646,1189.6308045644855,B
15%,S012,1,2.7633271899825242,1944.0258065765963,B
15%,S013,1,1.8207972710010332,1500.9702855348519,B
15%,S014,1,2.1276841051324684,1844.5398866711284,B
15%,S015,1,2.3109055629671014,1829.5741010160095,B
20%,S001,2,5.930970735837616,3188.8534833970934,C
20%,S002,2,8.4643034352343,3872.2933283603898,B+C
20%,S003,2,8.542543428516005,4450.053670163654,B+C
20%,S004,1,6.17691902989136,2305.185491467791,C
20%,S005,1,4.23878004069446,1880.0456170960524,C
20%,S006,1,2.595723096522244,1565.0356687212288,C
20%,S007,1,3.403353852298534,1889.2252411346558,C
20%,S008,1,5.853754904193419,2194.12905445849,C
20%,S009,1,2.102455644233721,1560.77979054711,B
20%,S010,1,1.8210472847963826,1554.5722391614418,B
20%,S011,1,1.0771726352063646,1189.6308045644855,B
20%,S012,1,2.7633271899825242,1944.0258065765963,B
20%,S013,1,1.8207972710010332,1500.9702855348519,B
20%,S014,1,2.1276841051324684,1844.5398866711284,B
20%,S015,1,2.3109055629671014,1829.5741010160095,B
25%,S001,2,5.930970735837616,3188.8534833970934,C
25%,S002,2,8.4643034352343,3872.2933283603898,B+C
25%,S003,2,8.542543428516005,4450.053670163654,B+C
25%,S004,2,8.126370788701681,4098.95792751566,B+C
25%,S005,1,4.23878004069446,1880.0456170960524,C
25%,S006,1,2.595723096522244,1565.0356687212288,C
25%,S007,1,3.403353852298534,1889.2252411346558,C
25%,S008,1,5.853754904193419,2194.12905445849,C
25%,S009,1,2.102455644233721,1560.77979054711,B
25%,S010,1,1.8210472847963826,1554.5722391614418,B
25%,S011,1,1.0771726352063646,1189.6308045644855,B
25%,S012,1,2.7633271899825242,1944.0258065765963,B
25%,S013,1,1.8207972710010332,1500.9702855348519,B
25%,S014,1,2.1276841051324684,1844.5398866711284,B
25%,S015,1,2.3109055629671014,1829.5741010160095,B
30%,S001,2,5.930970735837616,3188.8534833970934,C
30%,S002,2,10.455717578936959,3966.1660212314832,C
30%,S003,2,10.49450727086418,4607.621716224851,C
30%,S004,2,8.126370788701681,4098.95792751566,B+C
30%,S005,1,4.23878004069446,1880.0456170960524,C
30%,S006,1,2.595723096522244,1565.0356687212288,C
30%,S007,1,3.403353852298534,1889.2252411346558,C
30%,S008,2,8.075902084942978,3960.171819447579,B+C
30%,S009,1,2.102455644233721,1560.77979054711,B
30%,S010,1,1.8210472847963826,1554.5722391614418,B
30%,S011,1,1.0771726352063646,1189.6308045644855,B
30%,S012,1,2.7633271899825242,1944.0258065765963,B
30%,S013,1,1.8207972710010332,1500.9702855348519,B
30%,S014,1,2.1276841051324684,1844.5398866711284,B
30%,S015,1,2.3109055629671014,1829.5741010160095,B
35%,S001,2,5.930970735837616,3188.8534833970934,C
35%,S002,3,10.316514308603875,5509.503646105038,B+C
35%,S003,3,12.581608932580956,6501.864528276079,B+C
35%,S004,3,12.739486222179252,6014.143418983451,B+C
35%,S005,1,4.23878004069446,1880.0456170960524,C
35%,S006,1,2.595723096522244,1565.0356687212288,C
35%,S007,1,3.403353852298534,1889.2252411346558,C
35%,S008,4,10.167041690216196,7412.171059956356,B
35%,S009,1,2.102455644233721,1560.77979054711,B
35%,S010,1,1.8210472847963826,1554.5722391614418,B
35%,S011,1,1.0771726352063646,1189.6308045644855,B
35%,S012,1,4.935758920777177,2066.472594092873,C
35%,S013,1,1.8207972710010332,1500.9702855348519,B
35%,S014,1,2.1276841051324684,1844.5398866711284,B
35%,S015,1,2.3109055629671014,1829.5741010160095,B
