临界返航安全余量,发生变化的服务区,变化前最少架次数,超过临界值后最少架次数,变化后全局最少架次数
0.22788512126357996,S004,1,2,19
0.2682806369758226,S008,1,2,20
0.30916820250436894,S012,1,2,21
0.32274916826336364,S008,2,3,22
0.3391518408577102,S003,2,3,23
0.3411755300741206,S004,2,3,24
0.34164285988447674,S002,2,3,25
0.34576913560507916,S008,3,4,26
0.3486462263694813,S004,3,4,27
0.3510461692190081,S008,4,不可行,不可行
0.363762982784098,S003,3,4,不可行
0.36771205946289287,S002,3,4,不可行
0.3708491202625579,S004,4,5,不可行
0.37228862271468177,S004,5,不可行,不可行
0.3741496502096693,S003,4,5,不可行
0.37599859035887384,S002,4,5,不可行
0.38558412932870256,S003,5,6,不可行
0.39107059306686365,S002,5,6,不可行
0.3941324570973328,S003,6,不可行,不可行
0.39828823744945663,S012,2,不可行,不可行
0.40752849673956404,S002,6,不可行,不可行
0.42227360925822466,S015,1,2,不可行
0.4680789737168829,S014,1,2,不可行
0.47015249491319255,S005,1,2,不可行
0.47438608894156975,S009,1,2,不可行
0.4968655536563924,S015,2,不可行,不可行
0.5356398490511249,S014,2,不可行,不可行
0.5426327568760223,S009,2,不可行,不可行
0.5447381788009044,S010,1,2,不可行
0.5448006822497418,S013,1,2,不可行
0.547880580609163,S005,2,3,不可行
0.5530135749333674,S005,3,4,不可行
0.5682821558983968,S005,4,5,不可行
0.5683837441996688,S005,5,不可行,不可行
0.5745807684626832,S007,1,2,不可行
0.602284258725847,S007,2,3,不可行
0.6034906094376685,S010,2,不可行,不可行
0.6039235960782818,S013,2,不可行,不可行
0.6131357808565199,S007,3,不可行,不可行
0.6244127637498618,S001,2,3,不可行
0.6755346129347195,S006,1,2,不可行
0.706708275355739,S001,3,4,不可行
0.723778239245175,S006,2,3,不可行
0.7253936620480768,S006,3,4,不可行
0.7261455188594235,S001,4,5,不可行
0.7307068411984088,S011,1,2,不可行
0.7335146896156737,S006,4,不可行,不可行
0.7336027641889518,S001,5,7,不可行
0.7368813266692726,S001,7,8,不可行
0.7398904296445694,S001,8,9,不可行
0.7435140380951448,S001,9,10,不可行
0.7451687648470493,S001,10,11,不可行
0.7475292410003832,S001,11,不可行,不可行
0.7652001119657081,S011,2,不可行,不可行
