架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S007->S005,2697.225773028148,5.637271653946542
T003,U07,C,C-BAT-03,1561.4267416985467,S002,3676.5097523142886,6.302528357300804
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242
T007,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S006,1256.014946721035,1.2306826880208255
T009,U02,A,A-BAT-02,0.0,S001,1192.4715825390365,1.2230767506413753
T010,U03,A,A-BAT-03,0.0,S001,1192.4715825390365,1.2230767506413753
T011,U04,A,A-BAT-04,0.0,S001,1192.4715825390365,1.2230767506413753
T012,U02,A,A-BAT-05,1192.4715825390365,S006,2448.4865292600716,1.2882842284171714
T013,U03,A,A-BAT-06,1192.4715825390365,S006,2448.4865292600716,1.2882842284171714
T014,U04,A,A-BAT-02,2045.804866057656,S006,3301.819812778691,1.2882842284171714
T015,U08,C,C-BAT-04,2697.225773028148,S011->S008,5388.839368116452,6.37609530889398
T016,U07,C,C-BAT-01,3676.5097523142886,S004,5981.69524378208,6.17691902989136
T017,U05,B,B-BAT-02,3399.11212583257,S015,5228.686226848579,2.3109055629671014
T018,U01,A,A-BAT-03,2045.804866057656,S003,4308.0835304543725,2.9811772978018056
T019,U08,C,C-BAT-02,5388.839368116452,S003,7824.650226228878,6.147777755332037
T020,U06,B,B-BAT-01,3444.996092111448,S002,5208.206409856096,2.369886013041744
T021,U06,B,B-BAT-04,5208.206409856096,S006,6418.186912968601,1.065941241537305
T022,U02,A,A-BAT-04,2448.4865292600716,S001,3640.9581117991083,1.190045596532739
T023,U03,A,A-BAT-01,2448.4865292600716,S001,3640.9581117991083,1.190045596532739
T024,U04,A,A-BAT-05,3320.657528580588,S001,4513.129111119624,1.190045596532739
T025,U05,B,B-BAT-03,5309.104541103876,S009,6869.884331650986,2.102455644233721
T026,U07,C,C-BAT-03,6216.777849083256,S005,7964.8234661793085,3.801937259026033
T027,U06,B,B-BAT-02,6896.745304134323,S001,8047.103175797063,0.9927475253955694
