货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S005-MED-01,T002,S005,2191.8379644801216
S005-WAT-01,T002,S005,2191.8379644801216
S007-FOD-01,T002,S007,1398.5726205673277
S007-HYG-01,T002,S007,1398.5726205673277
S007-MED-01,T002,S007,1398.5726205673277
S007-WAT-01,T002,S007,1398.5726205673277
S007-WAT-02,T002,S007,1398.5726205673277
S002-FOD-01,T003,S002,3052.3782470064175
S002-MED-01,T003,S002,3052.3782470064175
S002-WAT-01,T003,S002,3052.3782470064175
S002-WAT-02,T003,S002,3052.3782470064175
S002-WAT-03,T003,S002,3052.3782470064175
S002-WAT-04,T003,S002,3052.3782470064175
S010-FOD-01,T004,S010,1084.8227862473875
S010-MED-01,T004,S010,1084.8227862473875
S010-WAT-01,T004,S010,1084.8227862473875
S013-FOD-01,T005,S013,1058.0184761007592
S013-MED-01,T005,S013,1058.0184761007592
S013-WAT-01,T005,S013,1058.0184761007592
S012-FOD-01,T006,S012,2782.91318882315
S012-MED-01,T006,S012,2782.91318882315
S012-WAT-01,T006,S012,2782.91318882315
S014-FOD-01,T007,S014,2784.398849163673
S014-MED-01,T007,S014,2784.398849163673
S014-WAT-01,T007,S014,2784.398849163673
S006-MED-01,T008,S006,876.7708066938508
S001-WAT-06,T009,S001,849.3591246028516
S001-WAT-07,T010,S001,849.3591246028516
S001-WAT-08,T011,S001,849.3591246028516
S006-WAT-01,T012,S006,2069.242389232887
S006-WAT-02,T013,S006,2069.242389232887
S006-WAT-03,T014,S006,2922.5756727515068
S008-FOD-01,T015,S008,4689.614840887207
S008-HYG-01,T015,S008,4689.614840887207
S008-MED-01,T015,S008,4689.614840887207
S008-WAT-01,T015,S008,4689.614840887207
S008-WAT-02,T015,S008,4689.614840887207
S011-FOD-01,T015,S011,3821.7314678722396
S011-MED-01,T015,S011,3821.7314678722396
S011-WAT-01,T015,S011,3821.7314678722396
S004-FOD-01,T016,S004,5262.072498048185
S004-HYG-01,T016,S004,5262.072498048185
S004-MED-01,T016,S004,5262.072498048185
S004-WAT-01,T016,S004,5262.072498048185
S004-WAT-02,T016,S004,5262.072498048185
S004-WAT-03,T016,S004,5262.072498048185
S015-FOD-01,T017,S015,4617.339176340574
S015-MED-01,T017,S015,4617.339176340574
S015-WAT-01,T017,S015,4617.339176340574
S003-MED-01,T018,S003,3454.917531589348
S003-WAT-01,T018,S003,3454.917531589348
S003-FOD-01,T019,S003,7034.204797172664
S003-FOD-02,T019,S003,7034.204797172664
S003-HYG-01,T019,S003,7034.204797172664
S003-WAT-02,T019,S003,7034.204797172664
S003-WAT-03,T019,S003,7034.204797172664
S003-WAT-04,T019,S003,7034.204797172664
S002-FOD-02,T020,S002,4608.5412509837715
S002-HYG-01,T020,S002,4608.5412509837715
S006-FOD-01,T021,S006,6091.959994745682
S006-HYG-01,T021,S006,6091.959994745682
S001-FOD-01,T022,S001,3297.8456538629234
S001-FOD-02,T023,S001,3297.8456538629234
S001-FOD-03,T024,S001,4170.016653183439
S009-FOD-01,T025,S009,6401.08443637743
S009-MED-01,T025,S009,6401.08443637743
S009-WAT-01,T025,S009,6401.08443637743
S005-FOD-01,T026,S005,7459.435657631282
S005-HYG-01,T026,S005,7459.435657631282
S005-WAT-02,T026,S005,7459.435657631282
S005-WAT-03,T026,S005,7459.435657631282
S001-HYG-01,T027,S001,7755.047573299026
S001-HYG-02,T027,S001,7755.047573299026
