架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1560.169061638226,2.9175821991564397
T002,U08,C,C-BAT-02,0.0,S015->S006,2586.278198423968,5.63032291842803
T003,U07,C,C-BAT-03,1560.169061638226,S006->S007,4039.732158658666,4.5330481403238725
T004,U05,B,B-BAT-01,0.0,S010,1555.3795060205198,1.8231955389249852
T005,U06,B,B-BAT-02,0.0,S013,1510.472262686102,1.8247591062299287
T006,U06,B,B-BAT-03,1510.472262686102,S012,3433.212391956045,2.7524137094266754
T007,U05,B,B-BAT-04,1555.3795060205198,S014,3425.1358355299053,2.1403882509279963
T008,U01,A,A-BAT-01,0.0,S002,1943.7377015398852,2.753032049789649
T009,U02,A,A-BAT-02,0.0,S002,2003.7377015398852,3.0186902691212474
T010,U03,A,A-BAT-03,0.0,S001,1190.8994824636354,1.2195256928574674
T011,U04,A,A-BAT-04,0.0,S001,1190.8994824636354,1.2195256928574674
T012,U03,A,A-BAT-05,1190.8994824636354,S001,2381.798964927271,1.2195256928574674
T013,U04,A,A-BAT-06,1190.8994824636354,S002,3134.637184003521,2.871432156389842
T014,U01,A,A-BAT-03,2043.2069048446815,S002,3986.9446063845667,2.871432156389842
T015,U02,A,A-BAT-04,2043.2069048446815,S002,3986.9446063845667,2.871432156389842
T016,U08,C,C-BAT-04,2586.278198423968,S004,4887.334637506408,6.152930546729256
T017,U07,C,C-BAT-01,4039.732158658666,S008,6239.433080862636,5.836010171645798
T018,U05,B,B-BAT-02,3425.1358355299053,S003,5445.658929422124,2.496976907609872
T019,U08,C,C-BAT-02,4944.490655498226,S003,7380.581795451643,6.149476772902096
T020,U06,B,B-BAT-01,3433.212391956045,S002,5189.906467738734,2.3612618540921697
T021,U03,A,A-BAT-05,3234.1063873083167,S001,4425.005869771952,1.1865860819540377
T022,U04,A,A-BAT-01,3239.058071479117,S001,4429.957553942752,1.1865860819540377
T023,U01,A,A-BAT-02,3986.9446063845667,S001,5177.844088848202,1.1865860819540377
T024,U07,C,C-BAT-03,6239.433080862636,S005,8116.623524116943,4.222192387345577
T025,U06,B,B-BAT-04,5189.906467738734,S009,6748.348098536953,2.0962334622162127
T026,U05,B,B-BAT-03,5445.658929422124,S011,6634.079389456041,1.0739517329661894
T027,U05,B,B-BAT-01,6879.786604512007,S001,8028.886796114426,0.9898886314902126
