架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S006,1565.0356687212288,2.595723096522244
T003,U07,C,C-BAT-03,1561.4267416985467,S007,3450.651982833202,3.403353852298534
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242
T007,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S002,2011.052935022607,2.9304792933201114
T009,U08,C,C-BAT-04,1565.0356687212288,S001,3192.4624104197756,3.004697890001106
T010,U02,A,A-BAT-02,0.0,S002,1951.052935022607,2.8817754256822936
T011,U03,A,A-BAT-03,0.0,S002,1951.052935022607,2.8817754256822936
T012,U04,A,A-BAT-04,0.0,S002,1951.052935022607,2.8817754256822936
T013,U08,C,C-BAT-02,3192.4624104197756,S004,5497.647901887567,6.17691902989136
T014,U07,C,C-BAT-01,3450.651982833202,S008,5644.781037291692,5.853754904193419
T015,U05,B,B-BAT-02,3399.11212583257,S015,5228.686226848579,2.3109055629671014
T016,U02,A,A-BAT-05,1951.052935022607,S003,4213.3315994193235,2.9811772978018056
T017,U08,C,C-BAT-04,5497.647901887567,S003,7933.458759999992,6.147777755332037
T018,U07,C,C-BAT-03,5644.781037291692,S002,7561.864047907434,4.8562581039089325
T019,U07,C,C-BAT-02,8003.896805816477,S011->S009,10223.238655632933,4.54328679298653
T020,U08,C,C-BAT-01,8063.506323844076,S005,9943.551940940128,4.23878004069446
