货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.269530819113
S001-MED-02,T001,S001,1248.269530819113
S001-WAT-01,T001,S001,1248.269530819113
S001-WAT-02,T001,S001,1248.269530819113
S001-WAT-03,T001,S001,1248.269530819113
S001-WAT-04,T001,S001,1248.269530819113
S001-WAT-05,T001,S001,1248.269530819113
S006-FOD-01,T002,S006,1209.4219251550708
S006-HYG-01,T002,S006,1209.4219251550708
S006-MED-01,T002,S006,1209.4219251550708
S006-WAT-01,T002,S006,1209.4219251550708
S006-WAT-02,T002,S006,1209.4219251550708
S006-WAT-03,T002,S006,1209.4219251550708
S007-FOD-01,T003,S007,2907.9122647882514
S007-HYG-01,T003,S007,2907.9122647882514
S007-MED-01,T003,S007,2907.9122647882514
S007-WAT-01,T003,S007,2907.9122647882514
S007-WAT-02,T003,S007,2907.9122647882514
S010-FOD-01,T004,S010,1085.2264196769265
S010-MED-01,T004,S010,1085.2264196769265
S010-WAT-01,T004,S010,1085.2264196769265
S013-FOD-01,T005,S013,1062.7694646763844
S013-MED-01,T005,S013,1062.7694646763844
S013-WAT-01,T005,S013,1062.7694646763844
S012-FOD-01,T006,S012,2781.7723273210736
S012-MED-01,T006,S012,2781.7723273210736
S012-WAT-01,T006,S012,2781.7723273210736
S014-FOD-01,T007,S014,2797.814337441879
S014-MED-01,T007,S014,2797.814337441879
S014-WAT-01,T007,S014,2797.814337441879
S002-MED-01,T008,S002,1283.8088507699426
S002-WAT-01,T008,S002,1283.8088507699426
S001-FOD-01,T009,S001,2875.823381129255
S001-FOD-02,T009,S001,2875.823381129255
S001-FOD-03,T009,S001,2875.823381129255
S001-HYG-01,T009,S001,2875.823381129255
S001-HYG-02,T009,S001,2875.823381129255
S001-WAT-06,T009,S001,2875.823381129255
S001-WAT-07,T009,S001,2875.823381129255
S001-WAT-08,T009,S001,2875.823381129255
S002-WAT-02,T010,S002,1223.8088507699426
S002-WAT-03,T011,S002,1223.8088507699426
S002-WAT-04,T012,S002,1223.8088507699426
S004-FOD-01,T013,S004,4771.221131489587
S004-HYG-01,T013,S004,4771.221131489587
S004-MED-01,T013,S004,4771.221131489587
S004-WAT-01,T013,S004,4771.221131489587
S004-WAT-02,T013,S004,4771.221131489587
S004-WAT-03,T013,S004,4771.221131489587
S008-FOD-01,T014,S008,4965.425929040262
S008-HYG-01,T014,S008,4965.425929040262
S008-MED-01,T014,S008,4965.425929040262
S008-WAT-01,T014,S008,4965.425929040262
S008-WAT-02,T014,S008,4965.425929040262
S015-FOD-01,T015,S015,4642.714094645192
S015-MED-01,T015,S015,4642.714094645192
S015-WAT-01,T015,S015,4642.714094645192
S003-MED-01,T016,S003,3353.0255432221966
S003-WAT-01,T016,S003,3353.0255432221966
S003-FOD-01,T017,S003,7134.2849210075165
S003-FOD-02,T017,S003,7134.2849210075165
S003-HYG-01,T017,S003,7134.2849210075165
S003-WAT-02,T017,S003,7134.2849210075165
S003-WAT-03,T017,S003,7134.2849210075165
S003-WAT-04,T017,S003,7134.2849210075165
S002-FOD-01,T018,S002,6956.752470391991
S002-FOD-02,T018,S002,6956.752470391991
S002-HYG-01,T018,S002,6956.752470391991
S009-FOD-01,T019,S009,9713.03470325833
S009-MED-01,T019,S009,9713.03470325833
S009-WAT-01,T019,S009,9713.03470325833
S011-FOD-01,T019,S011,9052.431896682123
S011-MED-01,T019,S011,9052.431896682123
S011-WAT-01,T019,S011,9052.431896682123
S005-FOD-01,T020,S005,9454.586033256805
S005-HYG-01,T020,S005,9454.586033256805
S005-MED-01,T020,S005,9454.586033256805
S005-WAT-01,T020,S005,9454.586033256805
S005-WAT-02,T020,S005,9454.586033256805
S005-WAT-03,T020,S005,9454.586033256805
