架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1560.169061638226,2.9175821991564397
T002,U08,C,C-BAT-02,0.0,S002,2107.812160499486,6.280823263547328
T003,U07,C,C-BAT-03,1560.169061638226,S006,3121.7229119483673,2.597987762362441
T004,U08,C,C-BAT-04,2107.812160499486,S007,4015.3785667995367,3.4108941098668497
T005,U05,B,B-BAT-01,0.0,S010,1555.3795060205198,1.8231955389249852
T006,U06,B,B-BAT-02,0.0,S013,1510.472262686102,1.8247591062299287
T007,U06,B,B-BAT-03,1510.472262686102,S012,3433.212391956045,2.7524137094266754
T008,U05,B,B-BAT-04,1555.3795060205198,S014,3425.1358355299053,2.1403882509279963
T009,U01,A,A-BAT-01,0.0,S001,1190.8994824636354,1.2195256928574674
T010,U02,A,A-BAT-02,0.0,S001,1190.8994824636354,1.2195256928574674
T011,U03,A,A-BAT-03,0.0,S001,1190.8994824636354,1.2195256928574674
T012,U07,C,C-BAT-01,3183.680907243095,S003,5619.772047196512,6.324056428331061
T013,U08,C,C-BAT-02,4642.201794376887,S004,6943.258233459326,6.152930546729256
T014,U07,C,C-BAT-03,5619.772047196512,S008,7819.472969400483,5.836010171645798
T015,U05,B,B-BAT-02,3425.1358355299053,S015,5253.412353760479,2.307452507085184
T016,U06,B,B-BAT-01,3433.212391956045,S002,5189.906467738734,2.3612618540921697
T017,U04,A,A-BAT-04,0.0,S001,1190.8994824636354,1.1865860819540377
T018,U01,A,A-BAT-05,1190.8994824636354,S001,2381.798964927271,1.1865860819540377
T019,U02,A,A-BAT-06,1190.8994824636354,S001,2381.798964927271,1.1865860819540377
T020,U08,C,C-BAT-04,6943.258233459326,S005,8820.448676713633,4.222192387345577
T021,U06,B,B-BAT-04,5189.906467738734,S009,6748.348098536953,2.0962334622162127
T022,U05,B,B-BAT-03,5292.5916660409375,S011,6481.012126074855,1.0739517329661894
T023,U05,B,B-BAT-01,6879.786604512007,S001,8028.886796114426,0.9898886314902126
T024,U06,B,B-BAT-02,6919.975106830725,S003,8940.498200722945,2.424118297325874
