货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.269530819113
S001-MED-02,T001,S001,1248.269530819113
S001-WAT-01,T001,S001,1248.269530819113
S001-WAT-02,T001,S001,1248.269530819113
S001-WAT-03,T001,S001,1248.269530819113
S001-WAT-04,T001,S001,1248.269530819113
S001-WAT-05,T001,S001,1248.269530819113
S002-FOD-01,T002,S002,1487.316080249743
S002-MED-01,T002,S002,1487.316080249743
S002-WAT-01,T002,S002,1487.316080249743
S002-WAT-02,T002,S002,1487.316080249743
S002-WAT-03,T002,S002,1487.316080249743
S002-WAT-04,T002,S002,1487.316080249743
S006-FOD-01,T003,S006,2769.590986793297
S006-HYG-01,T003,S006,2769.590986793297
S006-MED-01,T003,S006,2769.590986793297
S006-WAT-01,T003,S006,2769.590986793297
S006-WAT-02,T003,S006,2769.590986793297
S006-WAT-03,T003,S006,2769.590986793297
S007-FOD-01,T004,S007,3455.5553636495115
S007-HYG-01,T004,S007,3455.5553636495115
S007-MED-01,T004,S007,3455.5553636495115
S007-WAT-01,T004,S007,3455.5553636495115
S007-WAT-02,T004,S007,3455.5553636495115
S010-FOD-01,T005,S010,1085.2264196769265
S010-MED-01,T005,S010,1085.2264196769265
S010-WAT-01,T005,S010,1085.2264196769265
S013-FOD-01,T006,S013,1062.7694646763844
S013-MED-01,T006,S013,1062.7694646763844
S013-WAT-01,T006,S013,1062.7694646763844
S012-FOD-01,T007,S012,2781.7723273210736
S012-MED-01,T007,S012,2781.7723273210736
S012-WAT-01,T007,S012,2781.7723273210736
S014-FOD-01,T008,S014,2797.814337441879
S014-MED-01,T008,S014,2797.814337441879
S014-WAT-01,T008,S014,2797.814337441879
S001-WAT-06,T009,S001,848.573074565151
S001-WAT-07,T010,S001,848.573074565151
S001-WAT-08,T011,S001,848.573074565151
S003-FOD-01,T012,S003,4829.186477219804
S003-MED-01,T012,S003,4829.186477219804
S003-WAT-01,T012,S003,4829.186477219804
S003-WAT-02,T012,S003,4829.186477219804
S003-WAT-03,T012,S003,4829.186477219804
S003-WAT-04,T012,S003,4829.186477219804
S004-FOD-01,T013,S004,6225.700013918107
S004-HYG-01,T013,S004,6225.700013918107
S004-MED-01,T013,S004,6225.700013918107
S004-WAT-01,T013,S004,6225.700013918107
S004-WAT-02,T013,S004,6225.700013918107
S004-WAT-03,T013,S004,6225.700013918107
S008-FOD-01,T014,S008,7117.462508298498
S008-HYG-01,T014,S008,7117.462508298498
S008-MED-01,T014,S008,7117.462508298498
S008-WAT-01,T014,S008,7117.462508298498
S008-WAT-02,T014,S008,7117.462508298498
S015-FOD-01,T015,S015,4642.714094645192
S015-MED-01,T015,S015,4642.714094645192
S015-WAT-01,T015,S015,4642.714094645192
S002-FOD-02,T016,S002,4593.499429847389
S002-HYG-01,T016,S002,4593.499429847389
S001-FOD-01,T017,S001,848.573074565151
S001-FOD-02,T018,S001,2039.4725570287865
S001-FOD-03,T019,S001,2039.4725570287865
S005-FOD-01,T020,S005,8316.48845508648
S005-HYG-01,T020,S005,8316.48845508648
S005-MED-01,T020,S005,8316.48845508648
S005-WAT-01,T020,S005,8316.48845508648
S005-WAT-02,T020,S005,8316.48845508648
S005-WAT-03,T020,S005,8316.48845508648
S009-FOD-01,T021,S009,6280.717283137844
S009-MED-01,T021,S009,6280.717283137844
S009-WAT-01,T021,S009,6280.717283137844
S011-FOD-01,T022,S011,6198.988562724563
S011-MED-01,T022,S011,6198.988562724563
S011-WAT-01,T022,S011,6198.988562724563
S001-HYG-01,T023,S001,7737.46003364655
S001-HYG-02,T023,S001,7737.46003364655
S003-FOD-02,T024,S003,8208.209987110167
S003-HYG-01,T024,S003,8208.209987110167
