Pareto点,加权迟到（硬窗，可行解为0）,完工时间（s）,总能耗（kWh）,架次数,归一化迟到（恒为0）,归一化完工时间,归一化能耗,归一化架次,理想点距离,代表方案
1,0.0,8116.623524116943,74.60498644293025,27.0,0.0,0.0,0.6371489860865106,0.875,0.5411986304655316,完工时间优先|及时性优先
2,0.0,8153.198002186512,80.21477008788247,26.0,0.0,0.016139182867553732,1.0,0.75,0.6250520924738259,
3,0.0,8217.687612561382,74.80122553248353,26.0,0.0,0.044596447873976514,0.6498420874823081,0.75,0.4966849056057422,
4,0.0,8263.400049142123,72.59148213957404,28.0,0.0,0.06476792843194194,0.5069118639027727,1.0,0.561505681698491,
5,0.0,8287.727530004851,72.66227460220226,27.0,0.0,0.07550289125502505,0.5114908492019999,0.875,0.5081703886014147,
6,0.0,8339.638720000783,73.10039331347328,26.0,0.0,0.09840968944974084,0.5398291646630972,0.75,0.46465040460502444,
7,0.0,8342.489519945077,77.30549505095952,24.0,0.0,0.09966765905171988,0.8118227967934959,0.5,0.4793198033814333,
8,0.0,8347.474797307525,67.67053144311481,21.0,0.0,0.10186750734059999,0.188615818522268,0.125,0.12407448977188293,综合折中
9,0.0,8547.720551506958,67.6072986279274,26.0,0.0,0.19022974833631934,0.18452580497531068,0.75,0.3977238771603629,
10,0.0,8719.093159835165,65.13775918504341,24.0,0.0,0.2658511655179322,0.024791500149470024,0.5,0.28341288815388416,
11,0.0,8940.498200722945,64.7544752841047,24.0,0.0,0.36355034350454035,0.0,0.5,0.30909903439766245,能耗优先
12,0.0,9521.941123746135,64.8341634494827,23.0,0.0,0.6201230728232427,0.005154375540014276,0.375,0.3623548650959955,
13,0.0,9865.721817357622,67.65697603124738,21.0,0.0,0.7718228310529214,0.18773902981678245,0.125,0.4020514350960251,
14,0.0,10047.10311116242,67.27369213030867,21.0,0.0,0.8518607707304472,0.16294752966731244,0.125,0.4381334471751019,
15,0.0,10201.43367071636,69.0184526103474,20.0,0.0,0.9199620603224743,0.2758018123432407,0.0,0.48020746353128146,最少架次优先
16,0.0,10382.814964521158,68.63516870940869,20.0,0.0,1.0,0.2510103121937707,0.0,0.5155109544974806,
