初始解,随机种子,搜索偏好,迭代次数,运行时间（s）,硬时限违反数,硬时限总迟到（s）,加权迟到（硬窗，可行解为0）,完工时间（s）,总能耗（kWh）,架次数
最早硬截止,,完工时间优先,1445,3.880887999999686,0,0.0,0.0,8120.931135223051,77.54186793212946,30
最早硬截止,,能耗优先,1076,1.631966208005906,0,0.0,0.0,8940.498200722945,64.7544752841047,24
最早硬截止,,最少架次优先,814,0.8861627080041217,0,0.0,0.0,10201.43367071636,69.0184526103474,20
紧迫度,,完工时间优先,1431,4.045096041998477,0,0.0,0.0,8120.931135223051,76.98788168025206,30
紧迫度,,能耗优先,1058,1.703924832996563,0,0.0,0.0,8940.498200722945,64.7544752841047,24
紧迫度,,最少架次优先,902,1.8428526659990894,0,0.0,0.0,9861.67981265235,72.90444706778243,25
地理极角,,完工时间优先,864,1.7025347079907078,0,0.0,0.0,8339.638720000783,73.10039331347328,26
地理极角,,能耗优先,822,1.5418447920092149,0,0.0,0.0,9371.591114307626,73.05855583504531,27
地理极角,,最少架次优先,854,1.09024129199679,0,0.0,0.0,10201.43367071636,69.0184526103474,20
调度中心距离,,完工时间优先,1321,3.5635935419995803,0,0.0,0.0,8120.931135223051,76.98788168025206,30
调度中心距离,,能耗优先,828,1.0995013339997968,0,0.0,0.0,8940.498200722945,64.7544752841047,24
调度中心距离,,最少架次优先,851,1.0514208329987014,0,0.0,0.0,10201.43367071636,69.0184526103474,20
最近邻,,完工时间优先,859,1.8027954580029473,0,0.0,0.0,8151.575618344581,76.43405021350264,30
最近邻,,能耗优先,815,1.4675012079969747,0,0.0,0.0,9861.67981265235,72.90444706778243,25
最近邻,,最少架次优先,1039,1.9808948330028215,0,0.0,0.0,9425.602593177717,69.74650020256294,22
随机种子20260901,20260901,完工时间优先,942,2.4750435419991845,0,0.0,0.0,8120.931135223051,77.54186793212946,30
随机种子20260901,20260901,能耗优先,1035,1.8376910829974804,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260901,20260901,最少架次优先,853,1.0678184590069577,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260902,20260902,完工时间优先,967,2.268784166997648,0,0.0,0.0,8252.93113522305,74.93164816685761,29
随机种子20260902,20260902,能耗优先,841,1.1801229580014478,0,0.0,0.0,10043.061106457148,66.11595186320471,23
随机种子20260902,20260902,最少架次优先,1066,2.4780673750065034,0,0.0,0.0,9611.02570308584,72.18715311933623,24
随机种子20260903,20260903,完工时间优先,1000,2.0052647089905804,0,0.0,0.0,8149.163700137429,75.04394894592289,28
随机种子20260903,20260903,能耗优先,938,1.7475705000106245,0,0.0,0.0,9817.595922051292,67.19944074224418,25
随机种子20260903,20260903,最少架次优先,829,0.9210025420034071,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260904,20260904,完工时间优先,834,1.8227227080060402,0,0.0,0.0,8254.14022782919,75.79981083662936,30
随机种子20260904,20260904,能耗优先,872,1.439297083998099,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260904,20260904,最少架次优先,813,0.8551759169931756,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260905,20260905,完工时间优先,927,1.4379623330023605,0,0.0,0.0,8153.198002186512,80.21477008788247,26
随机种子20260905,20260905,能耗优先,1066,1.860765082994476,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260905,20260905,最少架次优先,817,0.8024060419993475,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260906,20260906,完工时间优先,1307,3.883620124994195,0,0.0,0.0,8120.931135223051,77.54186793212946,30
随机种子20260906,20260906,能耗优先,976,1.6273799170012353,0,0.0,0.0,10047.10311116242,67.27369213030867,21
随机种子20260906,20260906,最少架次优先,874,1.1451746659877244,0,0.0,0.0,10201.43367071636,69.0184526103474,20
