无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T008,0.0,2003.7377015398852
U02,A,T010,0.0,1943.7377015398852
U02,A,T016,1943.7377015398852,4206.366718237841
U03,A,T011,0.0,1943.7377015398852
U03,A,T019,1943.7377015398852,3887.4754030797703
U04,A,T012,0.0,1943.7377015398852
U05,B,T004,0.0,1555.3795060205198
U05,B,T007,1555.3795060205198,3425.1358355299053
U05,B,T015,3425.1358355299053,5253.412353760479
U06,B,T005,0.0,1510.472262686102
U06,B,T006,1510.472262686102,3433.212391956045
U06,B,T018,3433.212391956045,5189.906467738734
U06,B,T021,5189.906467738734,6748.348098536953
U07,C,T001,0.0,1560.169061638226
U07,C,T003,1560.169061638226,3467.735467938277
U07,C,T014,3467.735467938277,6108.312536112426
U07,C,T020,6108.312536112426,8347.474797307525
U08,C,T002,0.0,1561.5538503101416
U08,C,T009,1561.5538503101416,3187.7229119483673
U08,C,T013,3187.7229119483673,5488.779351030807
U08,C,T017,5488.779351030807,7924.8704909842245
