电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T008,0.0,2003.7377015398852,0.35111999405902306,1343.5440077232702,3347.2817092631553
A-BAT-02,A,T010,0.0,1943.7377015398852,0.36190396524670176,1329.5248451792877,3273.262546719173
A-BAT-03,A,T011,0.0,1943.7377015398852,0.36190396524670176,1329.5248451792877,3273.262546719173
A-BAT-04,A,T012,0.0,1943.7377015398852,0.36190396524670176,1329.5248451792877,3273.262546719173
A-BAT-05,A,T016,1943.7377015398852,4206.366718237841,0.33733736584587826,1361.4614244003585,5567.8281426382
A-BAT-06,A,T019,1943.7377015398852,3887.4754030797703,0.3788023186948355,1307.556985696714,5195.032388776484
B-BAT-01,B,T004,0.0,1555.3795060205198,0.5442011152687537,1456.7180668674937,3012.0975728880135
B-BAT-01,B,T018,3433.212391956045,5189.906467738734,0.4096845364769576,1689.8801367732733,6879.786604512007
B-BAT-02,B,T005,0.0,1510.472262686102,0.5438102234425178,1457.3956126996359,2967.867875385738
B-BAT-02,B,T015,3425.1358355299053,5253.412353760479,0.42313687322870397,1666.5627530702461,6919.975106830725
B-BAT-03,B,T006,1510.472262686102,3433.212391956045,0.31189657264333115,1859.3792740848928,5292.5916660409375
B-BAT-04,B,T007,1555.3795060205198,3425.1358355299053,0.4649029372680009,1594.1682420687985,5019.304077598704
B-BAT-04,B,T021,5189.906467738734,6748.348098536953,0.47594163444594684,1575.034500293692,8323.382598830645
C-BAT-01,C,T001,0.0,1560.169061638226,0.635302225105445,1623.511845604869,3183.680907243095
C-BAT-01,C,T014,3467.735467938277,6108.312536112426,0.2049292630049666,2555.986596822572,8664.299132934997
C-BAT-02,C,T002,0.0,1561.5538503101416,0.6752515297046948,1536.9550189731613,3098.508869283303
C-BAT-02,C,T013,3187.7229119483673,5488.779351030807,0.230883681658843,2499.752023072507,7988.531374103315
C-BAT-03,C,T003,1560.169061638226,3467.735467938277,0.5736382362666438,1757.117154755605,5224.852622693882
C-BAT-03,C,T020,6108.312536112426,8347.474797307525,0.44150091744542486,2043.4146788682463,10390.889476175771
C-BAT-04,C,T009,1561.5538503101416,3187.7229119483673,0.6255288560841251,1644.6874784843956,4832.410390432763
C-BAT-04,C,T017,5488.779351030807,7924.8704909842245,0.231315403387238,2498.8166259943177,10423.687116978543
