货箱编号,架次编号,服务区编号,物资类型,是否硬时限,要求时刻（s）,送达时刻（s）,迟到时间（s）,应急优先系数
S001-MED-01,T001,S001,医疗物资,是,3600.0,1248.8983708492733,0.0,24.0
S001-MED-02,T001,S001,医疗物资,是,3600.0,1248.8983708492733,0.0,24.0
S001-WAT-01,T001,S001,饮用水,是,3600.0,1248.8983708492733,0.0,12.0
S001-WAT-02,T001,S001,饮用水,是,3600.0,1248.8983708492733,0.0,12.0
S001-WAT-03,T001,S001,饮用水,是,3600.0,1248.8983708492733,0.0,12.0
S001-WAT-04,T001,S001,饮用水,是,3600.0,1248.8983708492733,0.0,12.0
S001-WAT-05,T001,S001,饮用水,是,3600.0,1248.8983708492733,0.0,12.0
S006-FOD-01,T002,S006,应急食品,是,7200.0,1211.1628343606144,0.0,10.0
S006-HYG-01,T002,S006,生活卫生用品,是,10800.0,1211.1628343606144,0.0,8.0
S006-MED-01,T002,S006,医疗物资,是,3600.0,1211.1628343606144,0.0,24.0
S006-WAT-01,T002,S006,饮用水,是,3600.0,1211.1628343606144,0.0,12.0
S006-WAT-02,T002,S006,饮用水,是,3600.0,1211.1628343606144,0.0,12.0
S006-WAT-03,T002,S006,饮用水,是,3600.0,1211.1628343606144,0.0,12.0
S007-FOD-01,T003,S007,应急食品,是,7200.0,2899.9993622658744,0.0,10.0
S007-HYG-01,T003,S007,生活卫生用品,是,10800.0,2899.9993622658744,0.0,8.0
S007-MED-01,T003,S007,医疗物资,是,3600.0,2899.9993622658744,0.0,24.0
S007-WAT-01,T003,S007,饮用水,是,3600.0,2899.9993622658744,0.0,12.0
S007-WAT-02,T003,S007,饮用水,是,3600.0,2899.9993622658744,0.0,12.0
S010-FOD-01,T004,S010,应急食品,是,7200.0,1084.8227862473875,0.0,10.0
S010-MED-01,T004,S010,医疗物资,是,3600.0,1084.8227862473875,0.0,24.0
S010-WAT-01,T004,S010,饮用水,是,3600.0,1084.8227862473875,0.0,12.0
S013-FOD-01,T005,S013,应急食品,是,7200.0,1058.0184761007592,0.0,10.0
S013-MED-01,T005,S013,医疗物资,是,3600.0,1058.0184761007592,0.0,24.0
S013-WAT-01,T005,S013,饮用水,是,3600.0,1058.0184761007592,0.0,12.0
S012-FOD-01,T006,S012,应急食品,是,7200.0,2782.91318882315,0.0,10.0
S012-MED-01,T006,S012,医疗物资,是,3600.0,2782.91318882315,0.0,22.0
