架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.26953081911296,1.954336325622071
T001,2,S001,O01,0.0,311.89953081911295,0.9632458735343687
T002,1,O01,S006,59.0,333.4219251550709,1.604045105620535
T002,2,S006,O01,0.0,352.1319251550708,0.9939426567419062
T003,1,O01,S007,45.0,537.7432031500255,1.9724284226566593
T003,2,S007,O01,0.0,559.8232031500254,1.4384656872101904
T004,1,O01,S010,25.0,455.22641967692664,1.1190227671316553
T004,2,S010,O01,0.0,470.1530863435933,0.70417277179333
T005,1,O01,S013,25.0,432.76946467638436,1.120329403698688
T005,2,S013,O01,0.0,447.7027980097177,0.7044297025312408
T006,1,O01,S012,25.0,641.3000646349714,1.6637872481803704
T006,2,S012,O01,0.0,651.4400646349713,1.0886264612463052
T007,1,O01,S014,25.0,612.4348314213594,1.3068847764989227
T007,2,S014,O01,0.0,627.3214980880259,0.8335034744290735
T008,1,O01,S002,17.0,713.8088507699425,1.5622252823966682
T008,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T009,1,O01,S001,78.0,306.26953081911296,2.03252327779263
T009,2,S001,O01,0.0,311.89953081911295,0.9632458735343687
T010,1,O01,S002,14.0,713.8088507699425,1.5136974120521138
T010,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T011,1,O01,S002,14.0,713.8088507699425,1.5136974120521138
T011,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T012,1,O01,S002,14.0,713.8088507699425,1.5136974120521138
T012,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T013,1,O01,S004,59.0,707.4982195412198,3.734220617451779
T013,2,S004,O01,0.0,717.5582195412197,2.418709929277477
T014,1,O01,S005,59.0,497.2302216271536,2.562625416101827
T014,2,S005,S008,45.0,319.33638544500974,1.285098027466464
T014,3,S008,O01,0.0,702.0104611019854,2.5128424523919763
T015,1,O01,S015,25.0,587.5782591152868,1.4250330606250114
T015,2,S015,O01,0.0,610.6982591152866,0.8824194464601725
T016,1,O01,S003,17.0,839.2878416823114,1.6154497811557336
T016,2,S003,O01,0.0,853.3411750156447,1.366532072537814
T017,1,O01,S003,64.0,769.5055699767084,3.855577295106484
T017,2,S003,O01,0.0,790.5855699767084,2.2938994777956125
T018,1,O01,S002,14.0,590.2870378913445,1.280497090258808
T018,2,S002,O01,0.0,596.4070378913447,1.0807647638333617
T019,1,O01,S002,8.0,713.8088507699425,1.4376548215355125
T019,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T020,1,O01,S011,70.0,295.90052257880785,1.6336693828507027
T020,2,S011,S005,45.0,317.3015169891372,1.174756306342149
T020,3,S005,O01,0.0,503.9602216271536,1.6595669712437495
T021,1,O01,S009,25.0,460.81081539910986,1.265658111387868
T021,2,S009,O01,0.0,467.6308153991099,0.8305753508283448
