架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S006,1565.0356687212288,2.595723096522244
T003,U07,C,C-BAT-03,1561.4267416985467,S002,3610.5097523142886,5.873341242828454
T004,U08,C,C-BAT-04,1565.0356687212288,S007,3454.260909855884,3.403353852298534
T005,U05,B,B-BAT-01,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-02,0.0,S012,1944.0258065765963,2.7633271899825242
T007,U05,B,B-BAT-03,1500.9702855348519,S014,3345.5101722059803,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S010,1653.8535692154742,1.9525422076483454
T009,U08,C,C-BAT-02,3454.260909855884,S003,5890.071767968309,6.322308310321716
T010,U07,C,C-BAT-01,3610.5097523142886,S004,5915.69524378208,6.17691902989136
T011,U06,B,B-BAT-04,1944.0258065765963,S015,3773.5999075926056,2.3109055629671014
T012,U02,A,A-BAT-02,0.0,S008,2168.35853782002,3.2083786128273024
T013,U08,C,C-BAT-04,5890.071767968309,S002->S005,8477.983190236886,6.275061808185095
T014,U05,B,B-BAT-01,3345.5101722059803,S009,4906.289962753091,2.102455644233721
T015,U06,B,B-BAT-02,3808.1342555690235,S011,4997.765060133509,1.0771726352063646
T016,U07,C,C-BAT-03,6034.539672246995,S001,7661.966413945542,3.004697890001106
T017,U07,C,C-BAT-01,8421.94414771099,S005->S010,10940.874592637967,5.5927922534145456
T018,U08,C,C-BAT-02,8477.983190236886,S008,10540.112244695376,5.418006653893091
T019,U05,B,B-BAT-03,4934.1732844300495,S003,6954.416096481277,2.423470171610669
