货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S006-FOD-01,T002,S006,1211.1628343606144
S006-HYG-01,T002,S006,1211.1628343606144
S006-MED-01,T002,S006,1211.1628343606144
S006-WAT-01,T002,S006,1211.1628343606144
S006-WAT-02,T002,S006,1211.1628343606144
S006-WAT-03,T002,S006,1211.1628343606144
S002-MED-01,T003,S002,2986.3782470064175
S002-WAT-01,T003,S002,2986.3782470064175
S002-WAT-02,T003,S002,2986.3782470064175
S002-WAT-03,T003,S002,2986.3782470064175
S002-WAT-04,T003,S002,2986.3782470064175
S007-FOD-01,T004,S007,2903.6082892885565
S007-HYG-01,T004,S007,2903.6082892885565
S007-MED-01,T004,S007,2903.6082892885565
S007-WAT-01,T004,S007,2903.6082892885565
S007-WAT-02,T004,S007,2903.6082892885565
S013-FOD-01,T005,S013,1058.0184761007592
S013-MED-01,T005,S013,1058.0184761007592
S013-WAT-01,T005,S013,1058.0184761007592
S012-FOD-01,T006,S012,1281.942903288298
S012-MED-01,T006,S012,1281.942903288298
S012-WAT-01,T006,S012,1281.942903288298
S014-FOD-01,T007,S014,2730.7968955370825
S014-MED-01,T007,S014,2730.7968955370825
S014-WAT-01,T007,S014,2730.7968955370825
S010-MED-01,T008,S010,1104.4634512744037
S010-WAT-01,T008,S010,1104.4634512744037
S003-FOD-01,T009,S003,5099.626338912097
S003-MED-01,T009,S003,5099.626338912097
S003-WAT-01,T009,S003,5099.626338912097
S003-WAT-02,T009,S003,5099.626338912097
S003-WAT-03,T009,S003,5099.626338912097
S003-WAT-04,T009,S003,5099.626338912097
S004-FOD-01,T010,S004,5196.072498048185
S004-HYG-01,T010,S004,5196.072498048185
S004-MED-01,T010,S004,5196.072498048185
S004-WAT-01,T010,S004,5196.072498048185
S004-WAT-02,T010,S004,5196.072498048185
S004-WAT-03,T010,S004,5196.072498048185
S015-FOD-01,T011,S015,3162.2528570846007
S015-MED-01,T011,S015,3162.2528570846007
S015-WAT-01,T011,S015,3162.2528570846007
S008-MED-01,T012,S008,1364.4059355766767
S008-WAT-01,T012,S008,1364.4059355766767
S002-FOD-01,T013,S002,7273.02327327618
S002-FOD-02,T013,S002,7273.02327327618
S002-HYG-01,T013,S002,7273.02327327618
S005-MED-01,T013,S005,7972.5953816888605
S005-WAT-01,T013,S005,7972.5953816888605
S005-WAT-02,T013,S005,7972.5953816888605
S009-FOD-01,T014,S009,4437.490067479535
S009-MED-01,T014,S009,4437.490067479535
S009-WAT-01,T014,S009,4437.490067479535
S011-FOD-01,T015,S011,4715.136324517933
S011-MED-01,T015,S011,4715.136324517933
S011-WAT-01,T015,S011,4715.136324517933
S001-FOD-01,T016,S001,7349.438043096268
S001-FOD-02,T016,S001,7349.438043096268
S001-FOD-03,T016,S001,7349.438043096268
S001-HYG-01,T016,S001,7349.438043096268
S001-HYG-02,T016,S001,7349.438043096268
S001-WAT-06,T016,S001,7349.438043096268
S001-WAT-07,T016,S001,7349.438043096268
S001-WAT-08,T016,S001,7349.438043096268
S005-FOD-01,T017,S005,9628.601956259017
S005-HYG-01,T017,S005,9628.601956259017
S005-WAT-03,T017,S005,9628.601956259017
S010-FOD-01,T017,S010,10434.729050449825
S008-FOD-01,T018,S008,9840.88771746613
S008-HYG-01,T018,S008,9840.88771746613
S008-WAT-02,T018,S008,9840.88771746613
S003-FOD-02,T019,S003,6222.268023788996
S003-HYG-01,T019,S003,6222.268023788996
