架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S007->S015,2603.351457474794,5.382522705165771
T003,U07,C,C-BAT-03,1561.4267416985467,S006,3126.4624104197756,2.595723096522244
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242
T007,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S002,2011.052935022607,2.9304792933201114
T009,U08,C,C-BAT-04,2603.351457474794,S003,5039.16231558722,6.322308310321716
T010,U07,C,C-BAT-01,3187.2923041126014,S004,5492.477795580393,6.17691902989136
T011,U08,C,C-BAT-03,5039.16231558722,S008,7233.29137004571,5.853754904193419
T012,U07,C,C-BAT-02,5492.477795580393,S002->S009,7927.047675011874,6.0618333764000765
T013,U08,C,C-BAT-04,7584.787482966019,S005,9464.833100062071,4.23878004069446
T014,U05,B,B-BAT-02,3399.11212583257,S011,4588.742930397056,1.0771726352063646
T015,U07,C,C-BAT-01,7998.726699509303,S001,9626.15344120785,3.004697890001106
T016,U06,B,B-BAT-01,3444.996092111448,S002,5208.206409856096,2.8805109432997105
T017,U05,B,B-BAT-04,4987.77523805664,S003,7008.018050107868,2.423470171610669
