货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S007-FOD-01,T002,S007,1428.5726205673277
S007-HYG-01,T002,S007,1428.5726205673277
S007-MED-01,T002,S007,1428.5726205673277
S007-WAT-01,T002,S007,1428.5726205673277
S007-WAT-02,T002,S007,1428.5726205673277
S015-FOD-01,T002,S015,1941.1078644049403
S015-MED-01,T002,S015,1941.1078644049403
S015-WAT-01,T002,S015,1941.1078644049403
S006-FOD-01,T003,S006,2772.589576059161
S006-HYG-01,T003,S006,2772.589576059161
S006-MED-01,T003,S006,2772.589576059161
S006-WAT-01,T003,S006,2772.589576059161
S006-WAT-02,T003,S006,2772.589576059161
S006-WAT-03,T003,S006,2772.589576059161
S010-FOD-01,T004,S010,1084.8227862473875
S010-MED-01,T004,S010,1084.8227862473875
S010-WAT-01,T004,S010,1084.8227862473875
S013-FOD-01,T005,S013,1058.0184761007592
S013-MED-01,T005,S013,1058.0184761007592
S013-WAT-01,T005,S013,1058.0184761007592
S012-FOD-01,T006,S012,2782.91318882315
S012-MED-01,T006,S012,2782.91318882315
S012-WAT-01,T006,S012,2782.91318882315
S014-FOD-01,T007,S014,2784.398849163673
S014-MED-01,T007,S014,2784.398849163673
S014-WAT-01,T007,S014,2784.398849163673
S002-MED-01,T008,S002,1287.4664675113036
S002-WAT-01,T008,S002,1287.4664675113036
S003-FOD-01,T009,S003,4248.716886531007
S003-MED-01,T009,S003,4248.716886531007
S003-WAT-01,T009,S003,4248.716886531007
S003-WAT-02,T009,S003,4248.716886531007
S003-WAT-03,T009,S003,4248.716886531007
S003-WAT-04,T009,S003,4248.716886531007
S004-FOD-01,T010,S004,4772.855049846497
S004-HYG-01,T010,S004,4772.855049846497
S004-MED-01,T010,S004,4772.855049846497
S004-WAT-01,T010,S004,4772.855049846497
S004-WAT-02,T010,S004,4772.855049846497
S004-WAT-03,T010,S004,4772.855049846497
S008-FOD-01,T011,S008,6534.066842816465
S008-HYG-01,T011,S008,6534.066842816465
S008-MED-01,T011,S008,6534.066842816465
S008-WAT-01,T011,S008,6534.066842816465
S008-WAT-02,T011,S008,6534.066842816465
S002-FOD-01,T012,S002,6941.429300888263
S002-FOD-02,T012,S002,6941.429300888263
S002-HYG-01,T012,S002,6941.429300888263
S002-WAT-04,T012,S002,6941.429300888263
S009-FOD-01,T012,S009,7437.4796276794
S009-MED-01,T012,S009,7437.4796276794
S009-WAT-01,T012,S009,7437.4796276794
S005-FOD-01,T013,S005,8959.445291514045
S005-HYG-01,T013,S005,8959.445291514045
S005-MED-01,T013,S005,8959.445291514045
S005-WAT-01,T013,S005,8959.445291514045
S005-WAT-02,T013,S005,8959.445291514045
S005-WAT-03,T013,S005,8959.445291514045
S011-FOD-01,T014,S011,4306.1141947814795
S011-MED-01,T014,S011,4306.1141947814795
S011-WAT-01,T014,S011,4306.1141947814795
S001-FOD-01,T015,S001,9313.625070358576
S001-FOD-02,T015,S001,9313.625070358576
S001-FOD-03,T015,S001,9313.625070358576
S001-HYG-01,T015,S001,9313.625070358576
S001-HYG-02,T015,S001,9313.625070358576
S001-WAT-06,T015,S001,9313.625070358576
S001-WAT-07,T015,S001,9313.625070358576
S001-WAT-08,T015,S001,9313.625070358576
S002-WAT-02,T016,S002,4608.5412509837715
S002-WAT-03,T016,S002,4608.5412509837715
S003-FOD-02,T017,S003,6275.869977415587
S003-HYG-01,T017,S003,6275.869977415587
