架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S007->S006,2404.598825052233,4.28104681816192
T003,U07,C,C-BAT-03,1561.4267416985467,S013->S002,4084.173430755576,6.238443799247183
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S012,1944.0258065765963,2.7633271899825242
T006,U05,B,B-BAT-03,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T007,U08,C,C-BAT-04,2404.598825052233,S011->S008,5096.212420140537,6.37609530889398
T008,U07,C,C-BAT-01,4084.173430755576,S015->S003,6817.738124931203,6.141796383916702
T009,U08,C,C-BAT-02,5096.212420140537,S004,7401.397911608328,6.17691902989136
T010,U07,C,C-BAT-03,6817.738124931203,S006->S009,9389.951298560845,6.204779615989726
T011,U08,C,C-BAT-04,7656.404899632656,S005,9536.45051672871,4.23878004069446
T012,U07,C,C-BAT-01,9389.951298560845,S001,11017.378040259391,3.004697890001106
T013,U08,C,C-BAT-02,9907.646815537239,S002,11956.72982615298,5.512426446280344
T014,U07,C,C-BAT-04,11517.786777750125,S003,13887.59763586255,5.53431846914557
