货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S006-MED-01,T002,S006,2050.725990691619
S006-WAT-01,T002,S006,2050.725990691619
S007-FOD-01,T002,S007,1398.5726205673277
S007-HYG-01,T002,S007,1398.5726205673277
S007-MED-01,T002,S007,1398.5726205673277
S007-WAT-01,T002,S007,1398.5726205673277
S007-WAT-02,T002,S007,1398.5726205673277
S002-MED-01,T003,S002,3460.041925447705
S002-WAT-01,T003,S002,3460.041925447705
S002-WAT-02,T003,S002,3460.041925447705
S013-FOD-01,T003,S013,2779.220522975087
S013-MED-01,T003,S013,2779.220522975087
S013-WAT-01,T003,S013,2779.220522975087
S010-FOD-01,T004,S010,1084.8227862473875
S010-MED-01,T004,S010,1084.8227862473875
S010-WAT-01,T004,S010,1084.8227862473875
S012-FOD-01,T005,S012,1281.942903288298
S012-MED-01,T005,S012,1281.942903288298
S012-WAT-01,T005,S012,1281.942903288298
S014-FOD-01,T006,S014,2784.398849163673
S014-MED-01,T006,S014,2784.398849163673
S014-WAT-01,T006,S014,2784.398849163673
S008-FOD-01,T007,S008,4396.987892911292
S008-HYG-01,T007,S008,4396.987892911292
S008-MED-01,T007,S008,4396.987892911292
S008-WAT-01,T007,S008,4396.987892911292
S008-WAT-02,T007,S008,4396.987892911292
S011-FOD-01,T007,S011,3529.1045198963247
S011-MED-01,T007,S011,3529.1045198963247
S011-WAT-01,T007,S011,3529.1045198963247
S003-MED-01,T008,S003,6027.29269587499
S003-WAT-01,T008,S003,6027.29269587499
S003-WAT-02,T008,S003,6027.29269587499
S015-FOD-01,T008,S015,5479.73702382543
S015-MED-01,T008,S015,5479.73702382543
S015-WAT-01,T008,S015,5479.73702382543
S004-FOD-01,T009,S004,6681.775165874433
S004-HYG-01,T009,S004,6681.775165874433
S004-MED-01,T009,S004,6681.775165874433
S004-WAT-01,T009,S004,6681.775165874433
S004-WAT-02,T009,S004,6681.775165874433
S004-WAT-03,T009,S004,6681.775165874433
S006-FOD-01,T010,S006,7986.900959291817
S006-HYG-01,T010,S006,7986.900959291817
S006-WAT-02,T010,S006,7986.900959291817
S006-WAT-03,T010,S006,7986.900959291817
S009-FOD-01,T010,S009,8900.383251228372
S009-MED-01,T010,S009,8900.383251228372
S009-WAT-01,T010,S009,8900.383251228372
S005-FOD-01,T011,S005,9031.062708180683
S005-HYG-01,T011,S005,9031.062708180683
S005-MED-01,T011,S005,9031.062708180683
S005-WAT-01,T011,S005,9031.062708180683
S005-WAT-02,T011,S005,9031.062708180683
S005-WAT-03,T011,S005,9031.062708180683
S001-FOD-01,T012,S001,10704.84966941012
S001-FOD-02,T012,S001,10704.84966941012
S001-FOD-03,T012,S001,10704.84966941012
S001-HYG-01,T012,S001,10704.84966941012
S001-HYG-02,T012,S001,10704.84966941012
S001-WAT-06,T012,S001,10704.84966941012
S001-WAT-07,T012,S001,10704.84966941012
S001-WAT-08,T012,S001,10704.84966941012
S002-FOD-01,T013,S002,11332.598320845109
S002-FOD-02,T013,S002,11332.598320845109
S002-HYG-01,T013,S002,11332.598320845109
S002-WAT-03,T013,S002,11332.598320845109
S002-WAT-04,T013,S002,11332.598320845109
S003-FOD-01,T014,S003,13097.152206806339
S003-FOD-02,T014,S003,13097.152206806339
S003-HYG-01,T014,S003,13097.152206806339
S003-WAT-03,T014,S003,13097.152206806339
S003-WAT-04,T014,S003,13097.152206806339
