架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S007->S003,2687.632215138805,5.594556755884966
T003,U07,C,C-BAT-03,1561.4267416985467,S006,3126.4624104197756,2.595723096522244
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242
T007,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S002,2011.052935022607,2.9304792933201114
T009,U08,C,C-BAT-04,2687.632215138805,S011->S008,5379.245810227108,6.37609530889398
T010,U07,C,C-BAT-01,3187.2923041126014,S004,5492.477795580393,6.17691902989136
T011,U05,B,B-BAT-02,3399.11212583257,S015,5228.686226848579,2.3109055629671014
T012,U08,C,C-BAT-03,5379.245810227108,S005,7259.291427323161,4.23878004069446
T013,U06,B,B-BAT-01,3444.996092111448,S009,5005.775882658558,2.102455644233721
T014,U07,C,C-BAT-02,5492.477795580393,S001,7119.90453727894,3.004697890001106
T015,U07,C,C-BAT-04,7939.438289719228,S002,10054.52130033497,6.126774026649114
T016,U08,C,C-BAT-01,7998.726699509303,S003,10434.537557621728,6.147777755332037
