货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S003-MED-01,T002,S003,1897.1867860825923
S003-WAT-01,T002,S003,1897.1867860825923
S007-FOD-01,T002,S007,1398.5726205673277
S007-HYG-01,T002,S007,1398.5726205673277
S007-MED-01,T002,S007,1398.5726205673277
S007-WAT-01,T002,S007,1398.5726205673277
S007-WAT-02,T002,S007,1398.5726205673277
S006-FOD-01,T003,S006,2772.589576059161
S006-HYG-01,T003,S006,2772.589576059161
S006-MED-01,T003,S006,2772.589576059161
S006-WAT-01,T003,S006,2772.589576059161
S006-WAT-02,T003,S006,2772.589576059161
S006-WAT-03,T003,S006,2772.589576059161
S010-FOD-01,T004,S010,1084.8227862473875
S010-MED-01,T004,S010,1084.8227862473875
S010-WAT-01,T004,S010,1084.8227862473875
S013-FOD-01,T005,S013,1058.0184761007592
S013-MED-01,T005,S013,1058.0184761007592
S013-WAT-01,T005,S013,1058.0184761007592
S012-FOD-01,T006,S012,2782.91318882315
S012-MED-01,T006,S012,2782.91318882315
S012-WAT-01,T006,S012,2782.91318882315
S014-FOD-01,T007,S014,2784.398849163673
S014-MED-01,T007,S014,2784.398849163673
S014-WAT-01,T007,S014,2784.398849163673
S002-MED-01,T008,S002,1287.4664675113036
S002-WAT-01,T008,S002,1287.4664675113036
S008-FOD-01,T009,S008,4680.021282997864
S008-HYG-01,T009,S008,4680.021282997864
S008-MED-01,T009,S008,4680.021282997864
S008-WAT-01,T009,S008,4680.021282997864
S008-WAT-02,T009,S008,4680.021282997864
S011-FOD-01,T009,S011,3812.1379099828964
S011-MED-01,T009,S011,3812.1379099828964
S011-WAT-01,T009,S011,3812.1379099828964
S004-FOD-01,T010,S004,4772.855049846497
S004-HYG-01,T010,S004,4772.855049846497
S004-MED-01,T010,S004,4772.855049846497
S004-WAT-01,T010,S004,4772.855049846497
S004-WAT-02,T010,S004,4772.855049846497
S004-WAT-03,T010,S004,4772.855049846497
S015-FOD-01,T011,S015,4617.339176340574
S015-MED-01,T011,S015,4617.339176340574
S015-WAT-01,T011,S015,4617.339176340574
S005-FOD-01,T012,S005,6753.903618775134
S005-HYG-01,T012,S005,6753.903618775134
S005-MED-01,T012,S005,6753.903618775134
S005-WAT-01,T012,S005,6753.903618775134
S005-WAT-02,T012,S005,6753.903618775134
S005-WAT-03,T012,S005,6753.903618775134
S009-FOD-01,T013,S009,4536.9759873850035
S009-MED-01,T013,S009,4536.9759873850035
S009-WAT-01,T013,S009,4536.9759873850035
S001-FOD-01,T014,S001,6807.376166429666
S001-FOD-02,T014,S001,6807.376166429666
S001-FOD-03,T014,S001,6807.376166429666
S001-HYG-01,T014,S001,6807.376166429666
S001-HYG-02,T014,S001,6807.376166429666
S001-WAT-06,T014,S001,6807.376166429666
S001-WAT-07,T014,S001,6807.376166429666
S001-WAT-08,T014,S001,6807.376166429666
S002-FOD-01,T015,S002,9430.389795027098
S002-FOD-02,T015,S002,9430.389795027098
S002-HYG-01,T015,S002,9430.389795027098
S002-WAT-02,T015,S002,9430.389795027098
S002-WAT-03,T015,S002,9430.389795027098
S002-WAT-04,T015,S002,9430.389795027098
S003-FOD-01,T016,S003,9644.092128565517
S003-FOD-02,T016,S003,9644.092128565517
S003-HYG-01,T016,S003,9644.092128565517
S003-WAT-02,T016,S003,9644.092128565517
S003-WAT-03,T016,S003,9644.092128565517
S003-WAT-04,T016,S003,9644.092128565517
