Pareto点,普通物资加权迟到,完工时间（s）,总能耗（kWh）,架次数,归一化及时性,归一化完工时间,归一化能耗,归一化架次,理想点距离,代表方案
1,199679.54398903687,10940.874592637967,67.37521038380218,19.0,0.0,0.30722550751138716,1.0,1.0,0.7235999434192952,及时性优先
2,200426.59763369683,11083.594501565118,66.67391862120235,19.0,0.0008915621742365169,0.34057645528037006,0.9156180071647733,1.0,0.6989902452500398,
3,211631.6932531343,11757.947268829124,65.00216561921549,18.0,0.01426414858005075,0.4981599633413989,0.7144665644143794,0.8,0.5913605682401186,
4,232033.10805267165,10751.18230483436,66.65372818776883,19.0,0.038611971345115854,0.26289800176762856,0.9131886202816153,1.0,0.6900216844194841,
5,243495.14145959966,11224.997429363284,66.50949132199142,18.0,0.05229119705869073,0.37361964942776177,0.8958335124310896,0.8,0.629452876259013,
6,244643.10208354006,10923.755005823416,61.57200493788223,17.0,0.053661216838574236,0.30322498333805614,0.3017370708254193,0.6,0.3694151379624504,
7,246654.94380663877,10923.755005823416,60.83360050851322,17.0,0.056062225111122146,0.30322498333805614,0.2128895460270015,0.6,0.3536984317226885,
8,247751.80908540927,10812.690836768019,65.40327339118303,19.0,0.057371265766737053,0.2772713842290298,0.7627293202962451,1.0,0.6445787187550354,
9,247850.98399134944,10191.775875224163,64.54168402175098,18.0,0.05748962486370653,0.13217528231097633,0.6590597324362664,0.8,0.5232435124155671,
10,249254.72560542083,10641.105608001082,64.21669301116276,17.0,0.059164903385475115,0.2371751562707001,0.6199556240045574,0.6,0.44835742334646467,
11,249593.0113647615,10641.105608001082,63.39856541021962,17.0,0.05956862645043427,0.2371751562707001,0.5215155152755495,0.6,0.4158662371130723,
12,258118.03705403843,10191.775875224163,64.39144489140742,18.0,0.06974271567854254,0.13217528231097633,0.6409824101343142,0.8,0.5179750963477391,
13,261527.49476558832,10923.755005823416,59.84276319647732,17.0,0.07381169191874346,0.30322498333805614,0.09366837243851803,0.6,0.34138223459179623,
14,266571.7470146687,10434.537557621728,60.02426077623362,18.0,0.07983169400926884,0.18890410347414205,0.1155068258346201,0.8,0.4169531408000629,
15,272133.6258355145,10390.35592960999,63.836612660901615,17.0,0.0864694512972484,0.1785796912793428,0.5742229644996902,0.6,0.426936671271011,
