架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651
T002,U08,C,C-BAT-02,0.0,S007->S015,2603.351457474794,5.382522705165771
T003,U07,C,C-BAT-03,1561.4267416985467,S006,3126.4624104197756,2.595723096522244
T004,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826
T005,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332
T006,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242
T007,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684
T008,U01,A,A-BAT-01,0.0,S002,2011.052935022607,2.9304792933201114
T009,U08,C,C-BAT-04,2603.351457474794,S011->S008,5294.965052563098,6.37609530889398
T010,U07,C,C-BAT-01,3187.2923041126014,S003,5623.103162225027,6.322308310321716
T011,U08,C,C-BAT-03,5294.965052563098,S004,7600.150544030888,6.17691902989136
T012,U07,C,C-BAT-02,5623.103162225027,S002->S009,8057.673041656508,6.0618333764000765
T013,U08,C,C-BAT-04,7855.157532055217,S005,9735.20314915127,4.23878004069446
T014,U07,C,C-BAT-01,8168.728329603825,S001,9796.155071302372,3.004697890001106
T015,U05,B,B-BAT-02,3399.11212583257,S002,5162.322443577218,2.8805109432997105
T016,U06,B,B-BAT-01,3444.996092111448,S003,5465.238904162676,2.423470171610669
