初始解,随机种子,搜索偏好,迭代次数,运行时间（s）,硬时限违反数,硬时限总迟到（s）,普通物资加权迟到,完工时间（s）,总能耗（kWh）,架次数
最早硬截止,,及时性优先,1248,1.6369375419890275,0,0.0,261208.1483289359,13074.034599961604,68.1732220225957,19
最早硬截止,,完工时间优先,1620,1.4793405829987023,0,0.0,279860.1920554173,9835.702546125773,63.150411091256615,18
最早硬截止,,能耗优先,869,0.8830609169963282,0,0.0,492625.3976660314,11405.2166747636,60.19273554446793,16
最早硬截止,,最少架次优先,994,1.2337551660020836,0,0.0,546143.9906671064,11993.756965630868,61.300570672770434,15
紧迫度,,及时性优先,1491,2.3568835000041872,0,0.0,199679.54398903687,10940.874592637967,67.37521038380218,19
紧迫度,,完工时间优先,993,1.0356202080001822,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
紧迫度,,能耗优先,1429,1.711135458011995,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
紧迫度,,最少架次优先,864,0.832662207991234,0,0.0,686587.5443385919,12127.181922629748,61.918592756308975,15
地理极角,,及时性优先,1241,1.5503332919906825,0,0.0,247751.80908540927,10812.690836768019,65.40327339118303,19
地理极角,,完工时间优先,1089,1.3464813330065226,0,0.0,370428.0957806203,9626.15344120785,61.0710996970169,17
地理极角,,能耗优先,829,0.7373050419992069,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
地理极角,,最少架次优先,888,1.2618915000057314,0,0.0,616028.6031693333,12290.913527410958,64.23768793874841,15
调度中心距离,,及时性优先,971,1.3569918329885695,0,0.0,301925.85757822305,13614.69506460024,68.71701659957567,18
调度中心距离,,完工时间优先,1096,1.2444649170065532,0,0.0,370428.0957806203,9626.15344120785,61.0710996970169,17
调度中心距离,,能耗优先,952,0.945000583989895,0,0.0,473185.0602973696,10547.171018940167,59.47109092415304,17
调度中心距离,,最少架次优先,1488,1.817589375001262,0,0.0,393547.5136115521,11141.877842548733,60.073666757994445,16
最近邻,,及时性优先,909,1.1503743329958525,0,0.0,247751.80908540927,10812.690836768019,65.40327339118303,19
最近邻,,完工时间优先,1583,2.3840115000057267,0,0.0,336151.98820629774,10235.9575032359,60.940716794920945,17
最近邻,,能耗优先,1445,1.6972542090079514,0,0.0,806620.646990425,12880.05601074086,59.94983762425834,15
最近邻,,最少架次优先,939,1.0760139579942916,0,0.0,600635.9708278589,11505.897768235822,61.892876366444874,15
随机种子20260901,20260901,及时性优先,1012,1.2516558749921387,0,0.0,261208.1483289359,13074.034599961604,68.1732220225957,19
随机种子20260901,20260901,完工时间优先,874,0.8521768749924377,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260901,20260901,能耗优先,911,0.9070420000061858,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260901,20260901,最少架次优先,2078,2.6440660830121487,0,0.0,546143.9906671064,11993.756965630868,61.300570672770434,15
随机种子20260902,20260902,及时性优先,867,0.9060823340114439,0,0.0,200426.59763369683,11083.594501565118,66.67391862120235,19
随机种子20260902,20260902,完工时间优先,1038,1.2381325409951387,0,0.0,370428.0957806203,9626.15344120785,61.0710996970169,17
随机种子20260902,20260902,能耗优先,1277,1.5513148339960026,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260902,20260902,最少架次优先,1029,1.2216255420062225,0,0.0,411789.5650754211,11405.2166747636,60.46526440299352,16
随机种子20260903,20260903,及时性优先,959,1.3209289999940665,0,0.0,247850.98399134944,10191.775875224163,64.54168402175098,18
随机种子20260903,20260903,完工时间优先,1047,1.4875021250045393,0,0.0,336151.98820629774,10235.9575032359,60.940716794920945,17
随机种子20260903,20260903,能耗优先,894,0.9267674169968814,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260903,20260903,最少架次优先,823,0.7284011669980828,0,0.0,671288.8019632592,12131.19668830503,61.88445837865,15
随机种子20260904,20260904,及时性优先,2023,2.3828429999994114,0,0.0,247850.98399134944,10191.775875224163,64.54168402175098,18
随机种子20260904,20260904,完工时间优先,1538,1.9223829160036985,0,0.0,338431.12248835375,9828.438873161882,62.0775157457344,17
随机种子20260904,20260904,能耗优先,869,0.8054584580095252,0,0.0,287112.6222327943,10874.90923680545,59.469428545727816,17
随机种子20260904,20260904,最少架次优先,917,1.0930282500048634,0,0.0,491995.68974434,12343.457673649664,61.43639880898532,15
随机种子20260905,20260905,及时性优先,878,1.0175044580100803,0,0.0,274128.71615370933,11230.114925495493,65.94706796816301,18
随机种子20260905,20260905,完工时间优先,1025,1.0278874170035124,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260905,20260905,能耗优先,1241,1.1274292500020238,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260905,20260905,最少架次优先,927,1.0121082919940818,0,0.0,411454.9875973828,10968.989753946902,61.41828802192305,16
随机种子20260906,20260906,及时性优先,1329,1.8222845419950318,0,0.0,274128.71615370933,11230.114925495493,65.94706796816301,18
随机种子20260906,20260906,完工时间优先,1167,1.3700886250007898,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260906,20260906,能耗优先,1693,2.1533238340052776,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260906,20260906,最少架次优先,1839,2.320161084004212,0,0.0,448981.0223891317,11412.023452682468,60.71321666107368,15
随机种子20260907,20260907,及时性优先,866,1.0905190829944331,0,0.0,274128.71615370933,11230.114925495493,65.94706796816301,18
随机种子20260907,20260907,完工时间优先,1091,1.139918957996997,0,0.0,505163.7758273958,10113.809710125046,60.35798504819995,17
随机种子20260907,20260907,能耗优先,881,0.8042988750094082,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260907,20260907,最少架次优先,956,1.0087506249983562,0,0.0,546143.9906671064,11993.756965630868,61.300570672770434,15
随机种子20260908,20260908,及时性优先,883,1.175910042002215,0,0.0,281676.13761497196,13564.25219174143,70.44625834098058,18
随机种子20260908,20260908,完工时间优先,968,1.0669019159977324,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260908,20260908,能耗优先,892,0.8423469999979716,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260908,20260908,最少架次优先,986,1.2225748329947237,0,0.0,536776.2719509131,11946.433467899413,62.791021457787075,15
随机种子20260909,20260909,及时性优先,1068,1.3840383329952601,0,0.0,273258.9396993842,11810.364779528782,65.31783512002903,17
随机种子20260909,20260909,完工时间优先,808,0.6408482080005342,0,0.0,505163.7758273958,10113.809710125046,60.35798504819995,17
随机种子20260909,20260909,能耗优先,1073,1.0578554999956395,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260909,20260909,最少架次优先,844,0.7279167090018746,0,0.0,557104.1989497023,11451.327293083486,60.38252435152204,16
随机种子20260910,20260910,及时性优先,959,1.138693584012799,0,0.0,274249.3378965021,9944.471026537274,62.20617474583988,18
随机种子20260910,20260910,完工时间优先,1209,1.8794818749884143,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260910,20260910,能耗优先,1116,1.1412091669917572,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260910,20260910,最少架次优先,1097,1.483010916999774,0,0.0,901267.3029259634,13887.59763586255,63.34763522797024,14
随机种子20260911,20260911,及时性优先,1670,1.7927442080108449,0,0.0,214377.53206731024,13074.034599961604,70.14515901521484,19
随机种子20260911,20260911,完工时间优先,1458,1.6051138339971658,0,0.0,370428.0957806203,9626.15344120785,61.0710996970169,17
随机种子20260911,20260911,能耗优先,909,0.8603267920116195,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260911,20260911,最少架次优先,1174,1.5570445000048494,0,0.0,600635.9708278589,11505.897768235822,61.89258913297809,15
随机种子20260912,20260912,及时性优先,833,0.9301355839997996,0,0.0,301925.85757822305,13614.69506460024,68.71701659957567,18
随机种子20260912,20260912,完工时间优先,881,0.7871793750091456,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260912,20260912,能耗优先,861,0.7732493749936111,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260912,20260912,最少架次优先,1042,1.381109917012509,0,0.0,353750.16006450256,11141.877842548733,62.552193168987806,16
随机种子20260913,20260913,及时性优先,1082,1.293120458998601,0,0.0,244643.10208354006,10923.755005823416,61.57200493788223,17
随机种子20260913,20260913,完工时间优先,1002,0.9713173749914858,0,0.0,505163.7758273958,10113.809710125046,60.35798504819995,17
随机种子20260913,20260913,能耗优先,1151,1.2093233749910723,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260913,20260913,最少架次优先,979,0.8087279579922324,0,0.0,901267.3029259634,13887.59763586255,63.34763522797024,14
随机种子20260914,20260914,及时性优先,1021,1.2926576669997303,0,0.0,249593.0113647615,10641.105608001082,63.39856541021962,17
随机种子20260914,20260914,完工时间优先,857,0.8602932920039166,0,0.0,279860.1920554173,9835.702546125773,63.150411091256615,18
随机种子20260914,20260914,能耗优先,915,0.9386135840031784,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260914,20260914,最少架次优先,821,0.7232052079925779,0,0.0,393547.5136115521,11141.877842548733,60.073666757994445,16
随机种子20260915,20260915,及时性优先,840,1.1354125829966506,0,0.0,274128.71615370933,11230.114925495493,65.94706796816301,18
随机种子20260915,20260915,完工时间优先,1071,1.0603682499931892,0,0.0,483467.3052944881,10113.809710125046,59.84442557490254,17
随机种子20260915,20260915,能耗优先,1018,1.1054937919980148,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260915,20260915,最少架次优先,1000,1.1925379160093144,0,0.0,411789.5650754211,11405.2166747636,60.46526440299352,16
随机种子20260916,20260916,及时性优先,969,1.392479749993072,0,0.0,247751.80908540927,10812.690836768019,65.40327339118303,19
随机种子20260916,20260916,完工时间优先,1006,1.0511234590085223,0,0.0,505163.7758273958,10113.809710125046,60.35798504819995,17
随机种子20260916,20260916,能耗优先,1239,1.429594959001406,0,0.0,287112.6222327943,10874.90923680545,59.469428545727816,17
随机种子20260916,20260916,最少架次优先,1158,1.4815991249924991,0,0.0,539210.294647072,11412.023452682468,60.000102012256725,15
随机种子20260917,20260917,及时性优先,1565,2.4463842080003815,0,0.0,214377.53206731024,13074.034599961604,70.14515901521484,19
随机种子20260917,20260917,完工时间优先,1782,2.2721120420028456,0,0.0,279860.1920554173,9835.702546125773,63.150411091256615,18
随机种子20260917,20260917,能耗优先,866,0.9030404160002945,0,0.0,401452.3412645168,10434.537557621728,59.77740774995607,16
随机种子20260917,20260917,最少架次优先,1131,1.362618167011533,0,0.0,782692.4837296593,12253.161482405001,62.80199947545358,15
随机种子20260918,20260918,及时性优先,845,0.9590219579986297,0,0.0,261208.1483289359,13074.034599961604,68.1732220225957,19
随机种子20260918,20260918,完工时间优先,844,0.7199324579996755,0,0.0,353233.1206018006,10167.413896418915,60.409099725860294,18
随机种子20260918,20260918,能耗优先,882,0.844087290999596,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260918,20260918,最少架次优先,1304,1.7450207920046523,0,0.0,546143.9906671064,11993.756965630868,61.300570672770434,15
随机种子20260919,20260919,及时性优先,919,1.1411794169980567,0,0.0,247751.80908540927,10812.690836768019,65.40327339118303,19
随机种子20260919,20260919,完工时间优先,1465,1.9897591659973841,0,0.0,333401.39627793565,9626.15344120785,60.40730109337593,17
随机种子20260919,20260919,能耗优先,1377,1.7765528750023805,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260919,20260919,最少架次优先,1076,1.245265332996496,0,0.0,393101.02256175334,11247.715242304856,60.32477691575957,16
随机种子20260920,20260920,及时性优先,1308,1.88293791700562,0,0.0,281676.13761497196,13564.25219174143,70.44625834098058,18
随机种子20260920,20260920,完工时间优先,1072,1.3133034999918891,0,0.0,370428.0957806203,9626.15344120785,61.0710996970169,17
随机种子20260920,20260920,能耗优先,966,0.9870694580022246,0,0.0,443290.13436995103,10434.537557621728,59.06429310113912,16
随机种子20260920,20260920,最少架次优先,1704,1.8766737499972805,0,0.0,491995.68974434,12343.457673649664,61.43639880898532,15
