无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T008,0.0,2011.052935022607
U05,B,T004,0.0,1554.5722391614418
U05,B,T007,1554.5722391614418,3399.11212583257
U05,B,T015,3399.11212583257,5162.322443577218
U06,B,T005,0.0,1500.9702855348519
U06,B,T006,1500.9702855348519,3444.996092111448
U06,B,T016,3444.996092111448,5465.238904162676
U07,C,T001,0.0,1561.4267416985467
U07,C,T003,1561.4267416985467,3126.4624104197756
U07,C,T010,3187.2923041126014,5623.103162225027
U07,C,T012,5623.103162225027,8057.673041656508
U07,C,T014,8168.728329603825,9796.155071302372
U08,C,T002,0.0,2603.351457474794
U08,C,T009,2603.351457474794,5294.965052563098
U08,C,T011,5294.965052563098,7600.150544030888
U08,C,T013,7855.157532055217,9735.20314915127
