电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T008,0.0,2011.052935022607,0.34878237926219746,1346.5829069591434,3357.6358419817507
B-BAT-01,B,T004,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-01,B,T016,3444.996092111448,5465.238904162676,0.3941324570973328,1716.8370743646233,7182.0759785272985
B-BAT-02,B,T005,0.0,1500.9702855348519,0.5448006822497418,1455.6788174337808,2956.6491029686326
B-BAT-02,B,T015,3399.11212583257,5162.322443577218,0.2798722641750724,1914.8880754298746,7077.210519007092
B-BAT-03,B,T006,1500.9702855348519,3444.996092111448,0.30916820250436894,1864.1084489924274,5309.104541103876
B-BAT-04,B,T007,1554.5722391614418,3399.11212583257,0.4680789737168829,1588.6631122240697,4987.77523805664
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T010,3187.2923041126014,5623.103162225027,0.20971146120978545,2545.6251673787983,8168.728329603825
C-BAT-01,C,T014,8168.728329603825,9796.155071302372,0.6244127637498618,1647.1056785419662,11443.260749844338
C-BAT-02,C,T002,0.0,2603.351457474794,0.32718466185427864,2291.09989931573,4894.451356790524
C-BAT-02,C,T012,5623.103162225027,8057.673041656508,0.24227082794999044,2475.0798727750207,10532.752914431529
C-BAT-03,C,T003,1561.4267416985467,3126.4624104197756,0.6755346129347195,1536.3416719747743,4662.80408239455
C-BAT-03,C,T011,5294.965052563098,7600.150544030888,0.22788512126357996,2506.2489039289103,10106.399447959799
C-BAT-04,C,T009,2603.351457474794,5294.965052563098,0.2029880863882525,2560.1924794921197,7855.157532055217
C-BAT-04,C,T013,7855.157532055217,9735.20314915127,0.47015249491319255,1981.336261021416,11716.539410172685
