架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.8983708492734,1.9601246337014007
T001,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T002,1,O01,S007,70.0,528.5726205673278,2.692434944513018
T002,2,S007,S015,25.0,224.5352438376127,0.8123119788489209
T002,3,S015,O01,0.0,662.2435930698537,1.8777757818038323
T003,1,O01,S006,59.0,335.1628343606145,1.6027595256745757
T003,2,S006,O01,0.0,353.87283436061443,0.9929635708476683
T004,1,O01,S010,25.0,454.82278624738757,1.1177394417806361
T004,2,S010,O01,0.0,469.74945291405425,0.7033078430157463
T005,1,O01,S013,25.0,428.01847610075924,1.1180258069208735
T005,2,S013,O01,0.0,442.9518094340925,0.7027714640801597
T006,1,O01,S012,25.0,651.9429032882982,1.6701713720475775
T006,2,S012,O01,0.0,662.0829032882982,1.0931558179349468
T007,1,O01,S014,25.0,599.8266100022308,1.2994566089442985
T007,2,S014,O01,0.0,614.7132766688976,0.8282274961881697
T008,1,O01,S002,17.0,717.4664675113034,1.567830238497629
T008,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T009,1,O01,S011,70.0,296.50569484409175,1.6386635236656415
T009,2,S011,S008,45.0,507.88337301496676,2.2166379617789427
T009,3,S008,O01,0.0,699.2245272292449,2.5207938234493965
T010,1,O01,S003,67.0,769.3654290562129,4.029055636774546
T010,2,S003,O01,0.0,790.4454290562128,2.293252673547171
T011,1,O01,S004,59.0,709.5627457338954,3.7486805181861502
T011,2,S004,O01,0.0,719.6227457338954,2.4282385117052105
T012,1,O01,S002,61.0,614.9515053078708,3.657329292367292
T012,2,S002,S009,25.0,208.0503267911367,0.6269520071690219
T012,3,S009,O01,0.0,489.5680473324743,1.7775520768637627
T013,1,O01,S005,59.0,498.6578085480262,2.57262420673899
T013,2,S005,O01,0.0,505.3878085480262,1.6661558339554692
T014,1,O01,S001,78.0,306.8983708492734,2.0385496778659964
T014,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T015,1,O01,S002,28.0,593.5451588723239,1.7957650135527756
T015,2,S002,O01,0.0,599.665158872324,1.084745929746935
T016,1,O01,S003,14.0,718.0947393589472,1.331239292842226
T016,2,S003,O01,0.0,732.1480726922805,1.0922308787684425
