架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1627.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S006,1565.0356687212288,2.595723096522244,0.6755346129347195
T003,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826,0.5447381788009044
T004,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332,0.5448006822497418
T005,U01,A,A-BAT-01,0.0,S009->S002,2281.4616726129198,3.0044242229701412,0.3323501726733019
T006,U02,A,A-BAT-02,0.0,S002,2011.052935022607,3.0295605967005548,0.3267643118443212
T007,U03,A,A-BAT-03,0.0,S002,2011.052935022607,3.0295605967005548,0.3267643118443212
T008,U04,A,A-BAT-04,0.0,S009->S002,2221.4616726129198,3.025376504732484,0.32769411005944804
T009,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242,0.30916820250436894
T010,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684,0.4680789737168829
T011,U08,C,C-BAT-03,1565.0356687212288,S011->S007,3923.933481846284,4.299028907748598,0.46262138653142526
T012,U07,C,C-BAT-04,1627.4267416985467,S001,3188.8534833970934,3.004697890001106,0.6244127637498618
T013,U02,A,A-BAT-05,2011.052935022607,S003,4273.3315994193235,3.08276056003454,0.3149420977701022
T014,U07,C,C-BAT-02,3188.8534833970934,S008,5382.982537855583,5.853754904193419,0.2682806369758226
T015,U05,B,B-BAT-01,3399.11212583257,S015,5228.686226848579,2.3109055629671014,0.42227360925822466
T016,U06,B,B-BAT-02,3444.996092111448,S004->S002,5669.717431341147,2.9769526813162352,0.2557618296709412
T017,U08,C,C-BAT-01,3923.933481846284,S003,6359.74433995871,5.895459351018239,0.2630675811227201
T018,U05,B,B-BAT-04,5228.686226848579,S004,7154.458662896448,2.6785619060257018,0.33035952349357456
T019,U07,C,C-BAT-04,5382.982537855583,S005->S009,7803.789956673524,5.860360700061524,0.26745491249230946
T020,U06,B,B-BAT-03,5669.717431341147,S004,7655.489867389016,2.882269354797639,0.2794326613005903
