货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S001-FOD-02,T001,S001,应急食品,7200.0,1314.8983708492733,5885.101629150727,是
S001-HYG-02,T001,S001,生活卫生用品,10800.0,1314.8983708492733,9485.101629150726,是
S001-MED-01,T001,S001,医疗物资,3600.0,1314.8983708492733,2285.1016291507267,是
S001-MED-02,T001,S001,医疗物资,3600.0,1314.8983708492733,2285.1016291507267,是
S001-WAT-02,T001,S001,饮用水,3600.0,1314.8983708492733,2285.1016291507267,是
S001-WAT-04,T001,S001,饮用水,3600.0,1314.8983708492733,2285.1016291507267,是
S001-WAT-05,T001,S001,饮用水,3600.0,1314.8983708492733,2285.1016291507267,是
S001-WAT-06,T001,S001,饮用水,3600.0,1314.8983708492733,2285.1016291507267,是
S006-FOD-01,T002,S006,应急食品,7200.0,1211.1628343606144,5988.837165639386,是
S006-HYG-01,T002,S006,生活卫生用品,10800.0,1211.1628343606144,9588.837165639387,是
S006-MED-01,T002,S006,医疗物资,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-01,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-02,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-03,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S010-FOD-01,T003,S010,应急食品,7200.0,1084.8227862473875,6115.177213752612,是
S010-MED-01,T003,S010,医疗物资,3600.0,1084.8227862473875,2515.1772137526123,是
S010-WAT-01,T003,S010,饮用水,3600.0,1084.8227862473875,2515.1772137526123,是
S013-FOD-01,T004,S013,应急食品,7200.0,1058.0184761007592,6141.9815238992405,是
S013-MED-01,T004,S013,医疗物资,3600.0,1058.0184761007592,2541.9815238992405,是
S013-WAT-01,T004,S013,饮用水,3600.0,1058.0184761007592,2541.9815238992405,是
S002-MED-01,T005,S002,医疗物资,3600.0,1557.8752051016165,2042.1247948983835,是
S002-WAT-04,T005,S002,饮用水,3600.0,1557.8752051016165,2042.1247948983835,是
S009-MED-01,T005,S009,医疗物资,10800.0,1127.3579018271325,9672.642098172868,是
S002-FOD-02,T006,S002,应急食品,7200.0,1287.4664675113036,5912.533532488696,是
S002-WAT-02,T006,S002,饮用水,3600.0,1287.4664675113036,2312.5335324886964,是
S002-FOD-01,T007,S002,应急食品,7200.0,1287.4664675113036,5912.533532488696,是
S002-WAT-03,T007,S002,饮用水,3600.0,1287.4664675113036,2312.5335324886964,是
S002-WAT-01,T008,S002,饮用水,3600.0,1497.8752051016165,2102.1247948983837,是
S009-FOD-01,T008,S009,应急食品,14400.0,1097.3579018271325,13302.642098172868,是
S012-FOD-01,T009,S012,应急食品,7200.0,2782.91318882315,4417.0868111768505,是
S012-MED-01,T009,S012,医疗物资,3600.0,2782.91318882315,817.08681117685,是
S012-WAT-01,T009,S012,饮用水,3600.0,2782.91318882315,817.08681117685,是
S014-FOD-01,T010,S014,应急食品,7200.0,2784.398849163673,4415.601150836327,是
S014-MED-01,T010,S014,医疗物资,3600.0,2784.398849163673,815.6011508363272,是
