架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S006,1565.0356687212288,2.595723096522244,0.6755346129347195
T003,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826,0.5447381788009044
T004,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332,0.5448006822497418
T005,U01,A,A-BAT-01,0.0,S009->S002,2281.4616726129198,3.0044242229701412,0.3323501726733019
T006,U02,A,A-BAT-02,0.0,S002,2011.052935022607,3.0295605967005548,0.3267643118443212
T007,U03,A,A-BAT-03,0.0,S009->S002,2221.4616726129198,3.025376504732484,0.32769411005944804
T008,U04,A,A-BAT-04,0.0,S003,2262.278664396717,2.9811772978018056,0.33751615604404317
T009,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242,0.30916820250436894
T010,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684,0.4680789737168829
T011,U07,C,C-BAT-03,1561.4267416985467,S007->S015,4164.778199173341,5.382522705165771,0.32718466185427864
T012,U08,C,C-BAT-04,1565.0356687212288,S001,3192.4624104197756,3.004697890001106,0.6244127637498618
T013,U02,A,A-BAT-05,2011.052935022607,S002,4022.105870045214,3.0295605967005548,0.3267643118443212
T014,U08,C,C-BAT-01,3192.4624104197756,S004,5497.647901887567,6.17691902989136,0.22788512126357996
T015,U05,B,B-BAT-01,3399.11212583257,S009->S002,5372.426398167698,2.487803902122792,0.378049024469302
T016,U07,C,C-BAT-02,4164.778199173341,S005->S008,6804.504218629747,6.381545645864868,0.20230679426689147
T017,U08,C,C-BAT-04,5497.647901887567,S003,7933.458759999992,6.147777755332037,0.23152778058349532
T018,U07,C,C-BAT-03,6804.504218629747,S011->S005,9048.155608825611,4.484439861488701,0.4394450173139124
