权重方案,随机种子,迭代次数,运行时间（s）,首次可行迭代,接受移动数,改进移动数,停止原因,硬时限违反数,完工时间（s）,总能耗（kWh）,架次数
完工时间优先,20260901,764,0.929980583008728,0,267,3,连续无改进上限,0,7933.458759999992,63.623987235400314,20
完工时间优先,20260902,384,0.4782021669961978,0,114,3,连续无改进上限,0,7933.458759999992,68.004877857383,21
完工时间优先,20260903,727,0.8242610830056947,0,271,8,连续无改进上限,0,7933.458759999992,66.65101300576866,20
完工时间优先,20260904,350,0.4142682910023723,0,88,0,连续无改进上限,0,8334.029392485472,67.799264718126,21
完工时间优先,20260905,964,1.012447125001927,0,375,5,连续无改进上限,0,7933.458759999992,63.62354556901067,20
完工时间优先,20260906,1200,1.4473325830040267,0,471,9,最大迭代数,0,7803.789956673524,64.988525532539,20
完工时间优先,20260907,351,0.4332905000046594,0,99,1,连续无改进上限,0,8334.029392485472,63.5223945121432,19
完工时间优先,20260908,1068,1.233861832995899,0,378,6,连续无改进上限,0,7933.458759999992,63.629426094565865,20
均衡,20360904,741,0.8529006659955485,0,236,4,连续无改进上限,0,7933.458759999992,65.32623724697098,20
均衡,20360905,723,0.798095749996719,0,248,7,连续无改进上限,0,7933.458759999992,63.60574411803024,20
均衡,20360906,562,0.5982993330108002,0,172,4,连续无改进上限,0,7933.458759999992,66.26692559574025,20
均衡,20360907,1200,1.2364464169950224,0,488,15,最大迭代数,0,7933.458759999992,63.47374810505675,20
均衡,20360908,1200,1.3431366659933701,0,497,11,最大迭代数,0,7933.458759999992,64.79108944104888,20
均衡,20360909,839,0.8631646660069237,0,334,9,连续无改进上限,0,7825.090772818416,64.5284616963468,21
均衡,20360910,914,0.9541065420053201,0,341,7,连续无改进上限,0,7929.84983297731,66.117655387309,20
均衡,20360911,447,0.45240187499439344,0,137,3,连续无改进上限,0,7933.458759999992,64.67701190381838,20
资源节约,20460907,392,0.45230633299797773,0,120,3,连续无改进上限,0,8597.030175918579,65.2300252411445,20
资源节约,20460908,418,0.4345141250087181,0,112,4,连续无改进上限,0,8286.716979571152,65.67798532339918,21
资源节约,20460909,353,0.5067815410002368,0,94,1,连续无改进上限,0,8334.029392485472,65.1416010875774,20
资源节约,20460910,410,0.42942237500392366,0,148,4,连续无改进上限,0,9048.155608825611,63.19065780204334,18
资源节约,20460911,454,0.501654250008869,0,121,2,连续无改进上限,0,8415.770625006418,66.67476508370935,21
资源节约,20460912,606,0.630065833000117,0,213,2,连续无改进上限,0,7933.458759999992,65.74702364143299,20
资源节约,20460913,1015,1.0305982919962844,0,379,6,连续无改进上限,0,7933.458759999992,64.29249121787784,20
资源节约,20460914,501,0.5403707920049783,0,183,4,连续无改进上限,0,8765.529488684935,64.98296760785341,19
