权重方案,随机种子,算子类型,算子,最终权重,总使用次数,总得分
完工时间优先,20260901,破坏,critical_deadline,0.7386246664049175,131,89.40000000000008
完工时间优先,20260901,破坏,high_energy,0.2281474976710657,68,13.599999999999984
完工时间优先,20260901,破坏,random_box,0.8992973767150814,135,106.40000000000012
完工时间优先,20260901,破坏,related,0.6322937548156757,128,84.40000000000015
完工时间优先,20260901,破坏,resource_bottleneck,0.30090603253221676,78,23.39999999999996
完工时间优先,20260901,破坏,route_segment,0.682742951409282,159,104.40000000000016
完工时间优先,20260901,破坏,whole_trip,0.22915276544503232,65,13.799999999999985
完工时间优先,20260901,修复,deadline_first,0.23002888423414905,96,20.799999999999958
完工时间优先,20260901,修复,energy_margin,0.23633949767106568,94,19.599999999999966
完工时间优先,20260901,修复,greedy,0.7654783543389442,179,143.80000000000007
完工时间优先,20260901,修复,model_reselect,0.2281474976710657,75,14.999999999999979
完工时间优先,20260901,修复,regret2,0.7101177494462376,171,132.80000000000018
完工时间优先,20260901,修复,regret3,0.765635723117889,149,103.40000000000009
完工时间优先,20260902,破坏,critical_deadline,0.8162357231746035,58,42.000000000000014
完工时间优先,20260902,破坏,high_energy,0.3677721600000001,46,9.2
完工时间优先,20260902,破坏,random_box,0.8117845802197805,83,68.40000000000006
完工时间优先,20260902,破坏,related,0.6026286730158732,52,30.999999999999975
完工时间优先,20260902,破坏,resource_bottleneck,0.5956880955844157,54,33.199999999999974
完工时间优先,20260902,破坏,route_segment,0.5880456939682541,45,19.999999999999993
完工时间优先,20260902,破坏,whole_trip,0.3677721600000001,46,9.2
完工时间优先,20260902,修复,deadline_first,0.3750539377777779,53,11.399999999999991
完工时间优先,20260902,修复,energy_margin,0.3808793600000001,40,8.8
完工时间优先,20260902,修复,greedy,0.9181602973737375,106,103.6000000000001
完工时间优先,20260902,修复,model_reselect,0.40971520000000017,51,10.199999999999996
完工时间优先,20260902,修复,regret2,0.7488391439316242,76,51.40000000000005
完工时间优先,20260902,修复,regret3,0.5961914514285716,58,27.599999999999984
完工时间优先,20260903,破坏,critical_deadline,0.8434161532051243,120,94.40000000000003
完工时间优先,20260903,破坏,high_energy,0.2351843720888321,89,17.79999999999997
完工时间优先,20260903,破坏,random_box,0.730768642402414,155,122.40000000000012
完工时间优先,20260903,破坏,related,0.7629974805704676,145,111.60000000000014
完工时间优先,20260903,破坏,resource_bottleneck,0.2439804651110401,57,11.399999999999991
完工时间优先,20260903,破坏,route_segment,0.5057147350751187,102,53.00000000000007
完工时间优先,20260903,破坏,whole_trip,0.26073083756544013,59,19.599999999999966
完工时间优先,20260903,修复,deadline_first,0.23733185573683205,97,20.199999999999964
完工时间优先,20260903,修复,energy_margin,0.2351843720888321,62,12.399999999999988
完工时间优先,20260903,修复,greedy,0.7518626514131976,163,121.60000000000015
完工时间优先,20260903,修复,model_reselect,0.2351843720888321,87,17.39999999999997
完工时间优先,20260903,修复,regret2,0.8115305717405357,151,122.60000000000015
完工时间优先,20260903,修复,regret3,0.7704576866551055,167,136.0000000000001
完工时间优先,20260904,破坏,critical_deadline,0.7106111722943725,65,38.599999999999994
完工时间优先,20260904,破坏,high_energy,0.3677721600000001,44,8.8
完工时间优先,20260904,破坏,random_box,0.6780533434920637,50,29.79999999999999
完工时间优先,20260904,破坏,related,0.7649840484848488,61,39.4
完工时间优先,20260904,破坏,resource_bottleneck,0.6759664640000002,47,13.999999999999995
完工时间优先,20260904,破坏,route_segment,0.7049867377777781,43,22.799999999999994
完工时间优先,20260904,破坏,whole_trip,0.3677721600000001,40,8.000000000000004
完工时间优先,20260904,修复,deadline_first,0.3677721600000001,52,10.399999999999995
完工时间优先,20260904,修复,energy_margin,0.3677721600000001,54,10.799999999999994
完工时间优先,20260904,修复,greedy,0.7255420471794874,51,32.19999999999998
完工时间优先,20260904,修复,model_reselect,0.3677721600000001,62,12.399999999999988
完工时间优先,20260904,修复,regret2,0.8241327773026975,69,55.60000000000003
完工时间优先,20260904,修复,regret3,0.7283452342857145,62,40.000000000000014
完工时间优先,20260905,破坏,critical_deadline,0.7982331214261071,167,127.80000000000008
完工时间优先,20260905,破坏,high_energy,0.21152921504606856,91,18.199999999999967
