无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T005,0.0,2215.814471437835
U01,A,T013,2215.814471437784,4431.628942875619
U01,A,T022,4728.821767490979,6421.012125432561
U02,A,T004,0.0,2279.5311411321572
U02,A,T014,2279.531141132186,4283.268842672071
U02,A,T021,4414.746911395963,6421.012125432561
U03,A,T006,0.0,2762.864237781735
U03,A,T017,3998.8510538135824,6421.012125432561
U04,A,T007,0.0,2215.814471437835
U04,A,T019,4158.383108734605,6421.012125432561
U05,B,T003,0.0,1510.472262686102
U05,B,T010,1510.4722626860744,3433.212391956017
U05,B,T015,3433.2123919560395,5201.488910186613
U05,B,T023,5271.9119338301425,6421.012125432561
U06,B,T002,0.0,1555.3795060205198
U06,B,T011,1555.3795060205302,3425.1358355299153
U06,B,T016,3595.8975896159927,5292.591665398682
U06,B,T024,5292.591665398642,6421.01212543256
U07,C,T001,0.0,1561.5538503101416
U07,C,T012,1561.553850310126,3868.4104619267578
U07,C,T018,4119.955686350123,6421.012125432562
U08,C,T008,0.0,1494.169061638226
U08,C,T009,1494.1690616382157,4187.761270536588
U08,C,T020,4221.311203228591,6421.012125432561
