架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-02,0.0,S006,1561.5538503101416,2.597987762362441,0.6752515297046948
T002,U06,B,B-BAT-04,0.0,S010,1555.3795060205198,1.8231955389249852,0.5442011152687537
T003,U05,B,B-BAT-01,0.0,S013,1510.472262686102,1.8247591062299287,0.5438102234425178
T004,U02,A,A-BAT-03,0.0,S001->S002,2279.5311411321572,2.974062263254667,0.33909727483229624
T005,U01,A,A-BAT-02,0.0,S009->S002,2215.814471437835,2.938942609149239,0.3469016424112802
T006,U03,A,A-BAT-01,0.0,S007->S003->S015,2762.864237781735,3.281861061795709,0.27069754182317574
T007,U04,A,A-BAT-04,0.0,S009->S002,2215.814471437835,3.01543610664354,0.3299030874125467
T008,U08,C,C-BAT-01,0.0,S001,1494.169061638226,2.9175821991564397,0.635302225105445
T009,U08,C,C-BAT-04,1494.1690616382157,S007->S003,4187.761270536588,6.3730282737162,0.20337146578547505
T010,U05,B,B-BAT-03,1510.4722626860744,S012,3433.212391956017,2.7524137094266754,0.31189657264333115
T011,U06,B,B-BAT-02,1555.3795060205302,S014,3425.1358355299153,2.1403882509279963,0.4649029372680009
T012,U07,C,C-BAT-03,1561.553850310126,S001->S005,3868.4104619267578,4.744928373750001,0.4068839532812498
T013,U01,A,A-BAT-06,2215.814471437784,S009->S002,4431.628942875619,2.9964674921601633,0.33411833507551925
T014,U02,A,A-BAT-05,2279.531141132186,S002,4283.268842672071,3.0186902691212474,0.3291799401952784
T015,U05,B,B-BAT-04,3433.2123919560395,S015,5201.488910186613,2.203266016712794,0.4491834958218015
T016,U06,B,B-BAT-01,3595.8975896159927,S002,5292.591665398682,2.2304316415692553,0.44239208960768617
T017,U03,A,A-BAT-03,3998.8510538135824,S007->S003,6421.012125432561,2.864613738106308,0.3634191693097093
T018,U07,C,C-BAT-02,4119.955686350123,S004,6421.012125432562,6.152930546729256,0.230883681658843
T019,U04,A,A-BAT-04,4158.383108734605,S003,6421.012125432561,3.0835921465079257,0.3147573007760165
T020,U08,C,C-BAT-01,4221.311203228591,S008,6421.012125432561,5.836010171645798,0.27049872854427526
T021,U02,A,A-BAT-02,4414.746911395963,S011->S005,6421.012125432561,2.2451138792552783,0.5010858046099382
T022,U01,A,A-BAT-01,4728.821767490979,S005,6421.012125432561,2.1929881608005863,0.5126692975998697
T023,U05,B,B-BAT-02,5271.9119338301425,S001,6421.012125432561,1.0264536441489454,0.7433865889627637
T024,U06,B,B-BAT-03,5292.591665398642,S011,6421.01212543256,1.0257198457707908,0.7435700385573023
