无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T004,0.0,2003.7377015398852
U01,A,T014,2466.192750793129,4158.383108734712
U01,A,T019,4158.383108734694,6421.0121254326505
U02,A,T006,0.0,2215.814471437835
U02,A,T013,2215.814471437828,4219.552172977714
U02,A,T021,4414.746911396053,6421.012125432651
U03,A,T005,0.0,2762.864237781735
U03,A,T022,4452.422871280503,6421.012125432652
U04,A,T008,0.0,2491.125373443122
U04,A,T015,3375.803779286036,5638.432795983992
U05,B,T003,0.0,1510.472262686102
U05,B,T010,1510.4722620439097,3433.2123913138525
U05,B,T016,3433.2123913138566,5146.964379865394
U05,B,T023,5271.911933830233,6421.012125432651
U06,B,T002,0.0,1555.3795060205198
U06,B,T011,1555.379506020512,3425.135835529897
U06,B,T017,3535.8975896160573,5292.591665398746
U06,B,T024,5292.591665398733,6421.012125432651
U07,C,T001,0.0,1561.5538503101416
U07,C,T012,1561.553850310117,3802.4104619267487
U07,C,T018,4119.955686350211,6421.012125432651
U08,C,T007,0.0,1494.169061638226
U08,C,T009,1494.169061638245,4187.761270536618
U08,C,T020,4221.31120322868,6421.0121254326505
