电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,2762.864237781735,0.27069754182317574,1448.0931956298714,4210.957433411606
A-BAT-01,A,T022,4452.422871280503,6421.012125432652,0.43162352891500777,1238.88941241049,7659.901537843142
A-BAT-02,A,T004,0.0,2003.7377015398852,0.3291799401952784,1372.066077746138,3375.803779286023
A-BAT-02,A,T015,3375.803779286036,5638.432795983992,0.33733736584587826,1361.4614244003585,6999.894220384351
A-BAT-03,A,T006,0.0,2215.814471437835,0.3299030874125467,1371.1259863636892,3586.940457801524
A-BAT-03,A,T021,4414.746911396053,6421.012125432651,0.5010858046099382,1148.5884540070801,7569.6005794397315
A-BAT-04,A,T008,0.0,2491.125373443122,0.33504585321027003,1364.4403908266488,3855.5657642697706
A-BAT-04,A,T019,4158.383108734694,6421.0121254326505,0.3147573007760165,1390.8155089911786,7811.827634423829
A-BAT-05,A,T013,2215.814471437828,4219.552172977714,0.35111999405902306,1343.5440077232702,5563.096180700984
A-BAT-06,A,T014,2466.192750793129,4158.383108734712,0.5126692975998697,1133.5299131201693,5291.913021854881
B-BAT-01,B,T011,1555.379506020512,3425.135835529897,0.4649029372680009,1594.1682420687985,5019.304077598696
B-BAT-01,B,T023,5271.911933830233,6421.012125432651,0.7482563080712579,1103.022399343153,7524.034524775804
B-BAT-02,B,T010,1510.4722620439097,3433.2123913138525,0.31189657264333115,1859.3792740848928,5292.591665398745
B-BAT-02,B,T024,5292.591665398733,6421.012125432651,0.7435700385573023,1111.145266500676,7532.157391933328
B-BAT-03,B,T003,0.0,1510.472262686102,0.5438102234425178,1457.3956126996359,2967.867875385738
B-BAT-03,B,T017,3535.8975896160573,5292.591665398746,0.4096845364769576,1689.8801367732733,6982.471802172019
B-BAT-04,B,T002,0.0,1555.3795060205198,0.5442011152687537,1456.7180668674937,3012.0975728880135
B-BAT-04,B,T016,3433.2123913138566,5146.964379865394,0.5133210408889753,1510.2435291257761,6657.20790899117
C-BAT-01,C,T007,0.0,1494.169061638226,0.635302225105445,1623.511845604869,3117.680907243095
C-BAT-01,C,T018,4119.955686350211,6421.012125432651,0.230883681658843,2499.752023072507,8920.764148505159
C-BAT-02,C,T001,0.0,1561.5538503101416,0.6752515297046948,1536.9550189731613,3098.508869283303
C-BAT-02,C,T020,4221.31120322868,6421.0121254326505,0.27049872854427526,2413.9194214874037,8834.931546920054
C-BAT-03,C,T009,1494.169061638245,4187.761270536618,0.25475211155858535,2448.037091623065,6635.798362159683
C-BAT-04,C,T012,1561.553850310117,3802.4104619267487,0.43500773838191087,2057.4832335058595,5859.893695432608
