架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-02,0.0,S006,1561.5538503101416,2.597987762362441,0.6752515297046948
T002,U06,B,B-BAT-04,0.0,S010,1555.3795060205198,1.8231955389249852,0.5442011152687537
T003,U05,B,B-BAT-03,0.0,S013,1510.472262686102,1.8247591062299287,0.5438102234425178
T004,U01,A,A-BAT-02,0.0,S002,2003.7377015398852,3.0186902691212474,0.3291799401952784
T005,U03,A,A-BAT-01,0.0,S007->S003->S015,2762.864237781735,3.281861061795709,0.27069754182317574
T006,U02,A,A-BAT-03,0.0,S009->S002,2215.814471437835,3.01543610664354,0.3299030874125467
T007,U08,C,C-BAT-01,0.0,S001,1494.169061638226,2.9175821991564397,0.635302225105445
T008,U04,A,A-BAT-04,0.0,S001->S009->S002,2491.125373443122,2.992293660553785,0.33504585321027003
T009,U08,C,C-BAT-03,1494.169061638245,S007->S003,4187.761270536618,5.961983107531317,0.25475211155858535
T010,U05,B,B-BAT-02,1510.4722620439097,S012,3433.2123913138525,2.7524137094266754,0.31189657264333115
T011,U06,B,B-BAT-01,1555.379506020512,S014,3425.135835529897,2.1403882509279963,0.4649029372680009
T012,U07,C,C-BAT-04,1561.553850310117,S001->S005,3802.4104619267487,4.519938092944713,0.43500773838191087
T013,U02,A,A-BAT-05,2215.814471437828,S002,4219.552172977714,2.919960026734396,0.35111999405902306
T014,U01,A,A-BAT-06,2466.192750793129,S005,4158.383108734712,2.1929881608005863,0.5126692975998697
T015,U04,A,A-BAT-02,3375.803779286036,S003,5638.432795983992,2.9819818536935476,0.33733736584587826
T016,U05,B,B-BAT-04,3433.2123913138566,S001->S009,5146.964379865394,1.9467158364440986,0.5133210408889753
T017,U06,B,B-BAT-03,3535.8975896160573,S002,5292.591665398746,2.3612618540921697,0.4096845364769576
T018,U07,C,C-BAT-01,4119.955686350211,S004,6421.012125432651,6.152930546729256,0.230883681658843
T019,U01,A,A-BAT-04,4158.383108734694,S003,6421.0121254326505,3.0835921465079257,0.3147573007760165
T020,U08,C,C-BAT-02,4221.31120322868,S008,6421.0121254326505,5.836010171645798,0.27049872854427526
T021,U02,A,A-BAT-03,4414.746911396053,S011->S005,6421.012125432651,2.2451138792552783,0.5010858046099382
T022,U03,A,A-BAT-01,4452.422871280503,S015,6421.012125432652,2.557694119882465,0.43162352891500777
T023,U05,B,B-BAT-01,5271.911933830233,S001,6421.012125432651,1.0069747677149685,0.7482563080712579
T024,U06,B,B-BAT-02,5292.591665398733,S011,6421.012125432651,1.0257198457707908,0.7435700385573023
