架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S006,59.0,333.4219251550709,1.604045105620535
T001,2,S006,O01,0.0,352.1319251550708,0.9939426567419062
T002,1,O01,S010,25.0,455.22641967692664,1.1190227671316553
T002,2,S010,O01,0.0,470.1530863435933,0.70417277179333
T003,1,O01,S013,25.0,432.76946467638436,1.120329403698688
T003,2,S013,O01,0.0,447.7027980097177,0.7044297025312408
T004,1,O01,S002,22.0,713.8088507699425,1.6609555247835193
T004,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T005,1,O01,S007,20.0,571.3520103767409,1.0834088480999093
T005,2,S007,S003,17.0,277.46788622659324,0.5748150933455338
T005,3,S003,S015,3.0,273.1897141023267,0.5161708005931517
T005,4,S015,O01,0.0,710.8546270760746,1.1074663197571142
T006,1,O01,S009,22.0,555.8965519840762,1.2876388777661136
T006,2,S009,S002,14.0,219.9890686838164,0.37006248453969853
T006,3,S002,O01,0.0,719.9288507699425,1.357734744337728
T007,1,O01,S001,76.0,306.26953081911296,1.954336325622071
T007,2,S001,O01,0.0,311.89953081911295,0.9632458735343687
T008,1,O01,S001,20.0,338.573074565151,0.6910356426762662
T008,2,S001,S009,17.0,282.63437942421206,0.5734607890000928
T008,3,S009,S002,14.0,219.9890686838164,0.37006248453969853
T008,4,S002,O01,0.0,719.9288507699425,1.357734744337728
T009,1,O01,S007,70.0,537.7432031500255,2.698153187899668
T009,2,S007,S003,28.0,243.26343577163917,0.9699304418360369
T009,3,S003,O01,0.0,790.5855699767084,2.2938994777956125
T010,1,O01,S012,25.0,641.3000646349714,1.6637872481803704
T010,2,S012,O01,0.0,651.4400646349713,1.0886264612463052
T011,1,O01,S014,25.0,612.4348314213594,1.3068847764989227
T011,2,S014,O01,0.0,627.3214980880259,0.8335034744290735
T012,1,O01,S001,73.0,306.26953081911296,1.8494603249108577
T012,2,S001,S005,20.0,308.62685917036487,1.0109107967901063
T012,3,S005,O01,0.0,503.9602216271536,1.6595669712437495
T013,1,O01,S002,17.0,713.8088507699425,1.5622252823966682
T013,2,S002,O01,0.0,719.9288507699425,1.357734744337728
T014,1,O01,S005,22.0,558.8518456374576,1.207664262138039
T014,2,S005,O01,0.0,563.3385123041243,0.9853238986625475
T015,1,O01,S003,17.0,839.2878416823114,1.6154497811557336
T015,2,S003,O01,0.0,853.3411750156447,1.366532072537814
T016,1,O01,S001,22.0,287.67342913454263,0.6448044779668171
T016,2,S001,S009,14.0,238.44774401788527,0.471336007648937
T016,3,S009,O01,0.0,467.6308153991099,0.8305753508283448
T017,1,O01,S002,14.0,590.2870378913445,1.280497090258808
T017,2,S002,O01,0.0,596.4070378913447,1.0807647638333617
T018,1,O01,S004,59.0,707.4982195412198,3.734220617451779
T018,2,S004,O01,0.0,717.5582195412197,2.418709929277477
T019,1,O01,S003,22.0,839.2878416823114,1.7170600739701116
T019,2,S003,O01,0.0,853.3411750156447,1.366532072537814
T020,1,O01,S008,45.0,687.6904611019854,3.323167719253821
T020,2,S008,O01,0.0,702.0104611019854,2.5128424523919763
T021,1,O01,S011,20.0,323.19813236983146,0.6469782311495754
T021,2,S011,S005,17.0,339.72856936264213,0.6128117494431552
T021,3,S005,O01,0.0,563.3385123041243,0.9853238986625475
T022,1,O01,S015,22.0,687.7346270760746,1.4502278001253508
T022,2,S015,O01,0.0,710.8546270760746,1.1074663197571142
T023,1,O01,S001,14.0,287.67342913454263,0.5487835480603617
T023,2,S001,O01,0.0,291.42676246787596,0.45819121965460696
T024,1,O01,S011,22.0,276.3968966836255,0.6040834270039598
T024,2,S011,O01,0.0,282.0235633502922,0.42163641876683106
