无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T005,0.0,2215.814471437835
U01,A,T013,2215.814471437785,4431.62894287562
U01,A,T022,4728.821767490986,6421.012125432568
U02,A,T004,0.0,2279.5311411321572
U02,A,T014,2279.531141132186,4283.268842672071
U02,A,T021,4414.753332408096,6421.018546444694
U03,A,T006,0.0,2762.864237781735
U03,A,T017,3998.851053813589,6421.012125432568
U04,A,T007,0.0,2215.814471437835
U04,A,T019,4158.383108734612,6421.012125432568
U05,B,T003,0.0,1510.472262686102
U05,B,T010,1510.4722620488697,3433.2123913188125
U05,B,T015,3433.212391956018,5201.488910186592
U05,B,T023,5271.911933830149,6421.012125432568
U06,B,T002,0.0,1555.3795060205198
U06,B,T011,1555.3795060205293,3425.1358355299144
U06,B,T016,3595.897589615961,5292.59166539865
U06,B,T024,5292.591666040831,6421.012126074749
U07,C,T001,0.0,1561.5538503101416
U07,C,T012,1561.5538503101202,3868.410461926752
U07,C,T018,4119.955686350128,6421.012125432568
U08,C,T008,0.0,1494.169061638226
U08,C,T009,1494.1690616382402,4187.761270536614
U08,C,T020,4221.311203228597,6421.012125432568
