电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T006,0.0,2762.864237781735,0.27069754182317574,1448.0931956298714,4210.957433411606
A-BAT-01,A,T022,4728.821767490986,6421.012125432568,0.5126692975998697,1133.5299131201693,7554.542038552737
A-BAT-02,A,T005,0.0,2215.814471437835,0.3469016424112802,1349.0278648653357,3564.8423363031707
A-BAT-02,A,T021,4414.753332408096,6421.018546444694,0.5010858046099382,1148.5884540070801,7569.607000451774
A-BAT-03,A,T004,0.0,2279.5311411321572,0.33909727483229624,1359.173542718015,3638.704683850172
A-BAT-03,A,T017,3998.851053813589,6421.012125432568,0.3634191693097093,1327.555079897378,7748.567205329946
A-BAT-04,A,T007,0.0,2215.814471437835,0.3299030874125467,1371.1259863636892,3586.940457801524
A-BAT-04,A,T019,4158.383108734612,6421.012125432568,0.3147573007760165,1390.8155089911786,7811.8276344237465
A-BAT-05,A,T014,2279.531141132186,4283.268842672071,0.3291799401952784,1372.066077746138,5655.334920418209
A-BAT-06,A,T013,2215.814471437785,4431.62894287562,0.33411833507551925,1365.6461644018252,5797.275107277445
B-BAT-01,B,T003,0.0,1510.472262686102,0.5438102234425178,1457.3956126996359,2967.867875385738
B-BAT-01,B,T016,3595.897589615961,5292.59166539865,0.44239208960768617,1633.1870446800106,6925.77871007866
B-BAT-02,B,T011,1555.3795060205293,3425.1358355299144,0.4649029372680009,1594.1682420687985,5019.304077598713
B-BAT-02,B,T023,5271.911933830149,6421.012125432568,0.7433865889627637,1111.4632457978764,7532.475371230445
B-BAT-03,B,T010,1510.4722620488697,3433.2123913188125,0.31189657264333115,1859.3792740848928,5292.5916654037055
B-BAT-03,B,T024,5292.591666040831,6421.012126074749,0.7435700385573023,1111.145266500676,7532.157392575426
B-BAT-04,B,T002,0.0,1555.3795060205198,0.5442011152687537,1456.7180668674937,3012.0975728880135
B-BAT-04,B,T015,3433.212391956018,5201.488910186592,0.4491834958218015,1621.4152739088775,6822.90418409547
C-BAT-01,C,T008,0.0,1494.169061638226,0.635302225105445,1623.511845604869,3117.680907243095
C-BAT-01,C,T020,4221.311203228597,6421.012125432568,0.27049872854427526,2413.9194214874037,8834.931546919972
C-BAT-02,C,T001,0.0,1561.5538503101416,0.6752515297046948,1536.9550189731613,3098.508869283303
C-BAT-02,C,T018,4119.955686350128,6421.012125432568,0.230883681658843,2499.752023072507,8920.764148505075
C-BAT-03,C,T012,1561.5538503101202,3868.410461926752,0.4068839532812498,2118.4181012239587,5986.828563150711
C-BAT-04,C,T009,1494.1690616382402,4187.761270536614,0.20337146578547505,2559.3618241314707,6747.123094668084
