货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S006-FOD-01,T001,S006,应急食品,7200.0,1209.4219251550708,5990.578074844929,是
S006-HYG-01,T001,S006,生活卫生用品,10800.0,1209.4219251550708,9590.578074844929,是
S006-MED-01,T001,S006,医疗物资,3600.0,1209.4219251550708,2390.5780748449292,是
S006-WAT-01,T001,S006,饮用水,3600.0,1209.4219251550708,2390.5780748449292,是
S006-WAT-02,T001,S006,饮用水,3600.0,1209.4219251550708,2390.5780748449292,是
S006-WAT-03,T001,S006,饮用水,3600.0,1209.4219251550708,2390.5780748449292,是
S010-FOD-01,T002,S010,应急食品,7200.0,1085.2264196769265,6114.7735803230735,是
S010-MED-01,T002,S010,医疗物资,3600.0,1085.2264196769265,2514.7735803230735,是
S010-WAT-01,T002,S010,饮用水,3600.0,1085.2264196769265,2514.7735803230735,是
S013-FOD-01,T003,S013,应急食品,7200.0,1062.7694646763844,6137.230535323615,是
S013-MED-01,T003,S013,医疗物资,3600.0,1062.7694646763844,2537.2305353236156,是
S013-WAT-01,T003,S013,饮用水,3600.0,1062.7694646763844,2537.2305353236156,是
S001-MED-02,T004,S001,医疗物资,3600.0,908.573074565151,2691.426925434849,是
S002-MED-01,T004,S002,医疗物资,3600.0,1559.6022903622147,2040.3977096377853,是
S002-WAT-02,T004,S002,饮用水,3600.0,1559.6022903622147,2040.3977096377853,是
S002-WAT-04,T005,S002,饮用水,3600.0,1495.8856206678927,2104.114379332107,是
S009-MED-01,T005,S009,医疗物资,10800.0,1095.8965519840763,9704.103448015923,是
S003-WAT-01,T006,S003,饮用水,7200.0,1598.8198966033342,5601.180103396666,是
S007-MED-01,T006,S007,医疗物资,3600.0,1141.352010376741,2458.647989623259,是
S015-MED-01,T006,S015,医疗物资,7200.0,2052.0096107056606,5147.990389294339,是
S002-WAT-01,T007,S002,饮用水,3600.0,1495.8856206678927,2104.114379332107,是
S009-FOD-01,T007,S009,应急食品,14400.0,1095.8965519840763,13304.103448015923,是
S001-HYG-01,T008,S001,生活卫生用品,10800.0,1182.269530819113,9617.730469180888,是
S001-WAT-01,T008,S001,饮用水,3600.0,1182.269530819113,2417.7304691808868,是
S001-WAT-03,T008,S001,饮用水,3600.0,1182.269530819113,2417.7304691808868,是
S001-WAT-06,T008,S001,饮用水,3600.0,1182.269530819113,2417.7304691808868,是
S001-WAT-07,T008,S001,饮用水,3600.0,1182.269530819113,2417.7304691808868,是
