反馈轮次,候选来源,架次数,是否最终采用,硬违约数,硬迟到_s,普通物资加权迟到,完工时间_s,能耗_kWh,MILP各层均最优,变量数,约束数
0,ALNS候选1,24,否,0,0.0,0.0,6525.447607020016,74.07926176045706,否,3591,6575
0,ALNS候选2,24,是,0,0.0,0.0,6421.018546444694,72.26086280786618,否,3981,7298
0,ALNS候选3,23,否,0,0.0,0.0,6453.462192740545,72.62892921465459,否,3338,6089
0,ALNS候选4,24,否,0,0.0,0.0,6453.462192740604,72.27104690565955,否,3591,6575
0,ALNS候选5,24,否,0,0.0,0.0,6808.761812390241,71.75008443686049,否,3481,6374
0,ALNS候选6,23,否,0,0.0,0.0,6784.107338073827,72.30144802281562,否,3228,5888
0,ALNS候选7,23,否,0,0.0,0.0,6850.107338073905,71.65897026766082,否,3228,5888
0,ALNS候选8,24,否,0,0.0,0.0,6458.798755409511,71.15747207489005,否,3711,6796
0,跨口径候选:q2b_time,23,否,0,0.0,0.0,6453.462192740604,71.22711231817641,否,3228,5888
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8107.89696454282,71.81712593016148,否,3356,6117
1,关键服务区跨架次移动,23,否,0,0.0,0.0,6507.938683989613,71.39695611326647,否,3588,6551
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8041.89689773853,71.97777400270705,否,3356,6117
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8041.89689773863,72.19848909879904,否,3356,6117
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8320.744234560618,71.92966989438109,否,3356,6117
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8320.744234560869,72.23108853170625,否,3356,6117
