无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T004,0.0,2003.7377015398852
U01,A,T013,2003.7377015398852,3695.9280594814672
U01,A,T019,4158.3895297467725,6421.018546444729
U02,A,T006,0.0,2215.814471437835
U02,A,T014,2215.8144714378286,4219.552172977714
U02,A,T020,4219.552172977714,6225.817387014312
U03,A,T005,0.0,2762.864237781735
U03,A,T022,4452.42929229258,6421.018546444729
U04,A,T008,302.8237654769773,2793.9491389200994
U04,A,T018,4158.3895297467725,6421.018546444729
U05,B,T003,0.0,1510.472262686102
U05,B,T010,1510.4786830559879,3433.2188123259307
U05,B,T016,3558.166366290755,5271.9183548422925
U05,B,T023,5271.91835484231,6421.018546444729
U06,B,T002,0.0,1555.3795060205198
U06,B,T011,1555.3795060205157,3425.1358355299008
U06,B,T015,3425.135835529888,5181.829911312578
U06,B,T024,5292.598086410811,6421.0185464447295
U07,C,T001,0.0,1561.5538503101416
U07,C,T012,1879.1054957456263,4119.962107362258
U07,C,T017,4119.9621073622875,6421.018546444728
U08,C,T007,0.0,1494.169061638226
U08,C,T009,1494.1690616382402,4187.761270536614
U08,C,T021,4221.317624240757,6421.018546444728
