电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,2762.864237781735,0.27069754182317574,1448.0931956298714,4210.957433411606
A-BAT-01,A,T022,4452.42929229258,6421.018546444729,0.43162352891500777,1238.88941241049,7659.907958855219
A-BAT-02,A,T004,0.0,2003.7377015398852,0.3291799401952784,1372.066077746138,3375.803779286023
A-BAT-02,A,T018,4158.3895297467725,6421.018546444729,0.33733736584587826,1361.4614244003585,7782.479970845087
A-BAT-03,A,T006,0.0,2215.814471437835,0.3299030874125467,1371.1259863636892,3586.940457801524
A-BAT-03,A,T020,4219.552172977714,6225.817387014312,0.5010858046099382,1148.5884540070801,7374.405841021392
A-BAT-04,A,T008,302.8237654769773,2793.9491389200994,0.33504585321027003,1364.4403908266488,4158.389529746748
A-BAT-04,A,T019,4158.3895297467725,6421.018546444729,0.3147573007760165,1390.8155089911786,7811.834055435907
A-BAT-05,A,T014,2215.8144714378286,4219.552172977714,0.35111999405902306,1343.5440077232702,5563.096180700984
A-BAT-06,A,T013,2003.7377015398852,3695.9280594814672,0.5126692975998697,1133.5299131201693,4829.457972601636
B-BAT-01,B,T011,1555.3795060205157,3425.1358355299008,0.4649029372680009,1594.1682420687985,5019.304077598699
B-BAT-01,B,T023,5271.91835484231,6421.018546444729,0.7482563080712579,1103.022399343153,7524.040945787881
B-BAT-02,B,T010,1510.4786830559879,3433.2188123259307,0.31189657264333115,1859.3792740848928,5292.598086410823
B-BAT-02,B,T024,5292.598086410811,6421.0185464447295,0.7435700385573023,1111.145266500676,7532.163812945406
B-BAT-03,B,T003,0.0,1510.472262686102,0.5438102234425178,1457.3956126996359,2967.867875385738
B-BAT-03,B,T015,3425.135835529888,5181.829911312578,0.4096845364769576,1689.8801367732733,6871.710048085851
B-BAT-04,B,T002,0.0,1555.3795060205198,0.5442011152687537,1456.7180668674937,3012.0975728880135
B-BAT-04,B,T016,3558.166366290755,5271.9183548422925,0.5133210408889753,1510.2435291257761,6782.161883968069
C-BAT-01,C,T001,0.0,1561.5538503101416,0.6752515297046948,1536.9550189731613,3098.508869283303
C-BAT-01,C,T017,4119.9621073622875,6421.018546444728,0.230883681658843,2499.752023072507,8920.770569517235
C-BAT-02,C,T007,0.0,1494.169061638226,0.635302225105445,1623.511845604869,3117.680907243095
C-BAT-02,C,T021,4221.317624240757,6421.018546444728,0.27049872854427526,2413.9194214874037,8834.937967932132
C-BAT-03,C,T012,1879.1054957456263,4119.962107362258,0.43500773838191087,2057.4832335058595,6177.445340868118
C-BAT-04,C,T009,1494.1690616382402,4187.761270536614,0.25475211155858535,2448.037091623065,6635.798362159679
