架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S006,1561.5538503101416,2.597987762362441,0.6752515297046948
T002,U06,B,B-BAT-04,0.0,S010,1555.3795060205198,1.8231955389249852,0.5442011152687537
T003,U05,B,B-BAT-03,0.0,S013,1510.472262686102,1.8247591062299287,0.5438102234425178
T004,U01,A,A-BAT-02,0.0,S002,2003.7377015398852,3.0186902691212474,0.3291799401952784
T005,U03,A,A-BAT-01,0.0,S007->S003->S015,2762.864237781735,3.281861061795709,0.27069754182317574
T006,U02,A,A-BAT-03,0.0,S009->S002,2215.814471437835,3.01543610664354,0.3299030874125467
T007,U08,C,C-BAT-02,0.0,S001,1494.169061638226,2.9175821991564397,0.635302225105445
T008,U04,A,A-BAT-04,302.8237654769773,S001->S009->S002,2793.9491389200994,2.992293660553785,0.33504585321027003
T009,U08,C,C-BAT-04,1494.1690616382402,S007->S003,4187.761270536614,5.961983107531317,0.25475211155858535
T010,U05,B,B-BAT-02,1510.4786830559879,S012,3433.2188123259307,2.7524137094266754,0.31189657264333115
T011,U06,B,B-BAT-01,1555.3795060205157,S014,3425.1358355299008,2.1403882509279963,0.4649029372680009
T012,U07,C,C-BAT-03,1879.1054957456263,S001->S005,4119.962107362258,4.519938092944713,0.43500773838191087
T013,U01,A,A-BAT-06,2003.7377015398852,S005,3695.9280594814672,2.1929881608005863,0.5126692975998697
T014,U02,A,A-BAT-05,2215.8144714378286,S002,4219.552172977714,2.919960026734396,0.35111999405902306
T015,U06,B,B-BAT-03,3425.135835529888,S002,5181.829911312578,2.3612618540921697,0.4096845364769576
T016,U05,B,B-BAT-04,3558.166366290755,S001->S009,5271.9183548422925,1.9467158364440986,0.5133210408889753
T017,U07,C,C-BAT-01,4119.9621073622875,S004,6421.018546444728,6.152930546729256,0.230883681658843
T018,U04,A,A-BAT-02,4158.3895297467725,S003,6421.018546444729,2.9819818536935476,0.33733736584587826
T019,U01,A,A-BAT-04,4158.3895297467725,S003,6421.018546444729,3.0835921465079257,0.3147573007760165
T020,U02,A,A-BAT-03,4219.552172977714,S011->S005,6225.817387014312,2.2451138792552783,0.5010858046099382
T021,U08,C,C-BAT-02,4221.317624240757,S008,6421.018546444728,5.836010171645798,0.27049872854427526
T022,U03,A,A-BAT-01,4452.42929229258,S015,6421.018546444729,2.557694119882465,0.43162352891500777
T023,U05,B,B-BAT-01,5271.91835484231,S001,6421.018546444729,1.0069747677149685,0.7482563080712579
T024,U06,B,B-BAT-02,5292.598086410811,S011,6421.0185464447295,1.0257198457707908,0.7435700385573023
