货箱编号,架次编号,服务区,物资类型,时间窗类型,要求时刻（s）,交付完成时刻（s）,迟到（s）,应急优先系数,加权迟到
S006-FOD-01,T001,S006,应急食品,软,7200.0,1209.4219251550708,0.0,10.0,0.0
S006-HYG-01,T001,S006,生活卫生用品,软,10800.0,1209.4219251550708,0.0,8.0,0.0
S006-MED-01,T001,S006,医疗物资,硬,3600.0,1209.4219251550708,0.0,24.0,0.0
S006-WAT-01,T001,S006,饮用水,硬,3600.0,1209.4219251550708,0.0,12.0,0.0
S006-WAT-02,T001,S006,饮用水,软,3600.0,1209.4219251550708,0.0,12.0,0.0
S006-WAT-03,T001,S006,饮用水,软,3600.0,1209.4219251550708,0.0,12.0,0.0
S010-FOD-01,T002,S010,应急食品,软,7200.0,1085.2264196769265,0.0,10.0,0.0
S010-MED-01,T002,S010,医疗物资,硬,3600.0,1085.2264196769265,0.0,24.0,0.0
S010-WAT-01,T002,S010,饮用水,硬,3600.0,1085.2264196769265,0.0,12.0,0.0
S013-FOD-01,T003,S013,应急食品,软,7200.0,1062.7694646763844,0.0,10.0,0.0
S013-MED-01,T003,S013,医疗物资,硬,3600.0,1062.7694646763844,0.0,24.0,0.0
S013-WAT-01,T003,S013,饮用水,硬,3600.0,1062.7694646763844,0.0,12.0,0.0
S002-FOD-02,T004,S002,应急食品,软,7200.0,1283.8088507699426,0.0,10.0,0.0
S002-WAT-04,T004,S002,饮用水,软,3600.0,1283.8088507699426,0.0,12.0,0.0
S003-WAT-01,T005,S003,饮用水,硬,7200.0,1598.8198966033342,0.0,10.0,0.0
S007-MED-01,T005,S007,医疗物资,硬,3600.0,1141.352010376741,0.0,24.0,0.0
S015-MED-01,T005,S015,医疗物资,硬,7200.0,2052.0096107056606,0.0,18.0,0.0
S002-WAT-01,T006,S002,饮用水,硬,3600.0,1495.8856206678927,0.0,12.0,0.0
S009-FOD-01,T006,S009,应急食品,软,14400.0,1095.8965519840763,0.0,6.0,0.0
S001-HYG-02,T007,S001,生活卫生用品,软,10800.0,1182.269530819113,0.0,8.0,0.0
S001-WAT-01,T007,S001,饮用水,硬,3600.0,1182.269530819113,0.0,12.0,0.0
S001-WAT-02,T007,S001,饮用水,软,3600.0,1182.269530819113,0.0,12.0,0.0
S001-WAT-06,T007,S001,饮用水,软,3600.0,1182.269530819113,0.0,12.0,0.0
S001-WAT-07,T007,S001,饮用水,软,3600.0,1182.269530819113,0.0,12.0,0.0
S001-WAT-08,T007,S001,饮用水,软,3600.0,1182.269530819113,0.0,12.0,0.0
S001-MED-02,T008,S001,医疗物资,硬,3600.0,1211.3968400421284,0.0,24.0,0.0
S002-WAT-02,T008,S002,饮用水,软,3600.0,2074.020288150157,0.0,12.0,0.0
S009-MED-01,T008,S009,医疗物资,硬,10800.0,1674.0312194663404,0.0,16.0,0.0
S003-FOD-02,T009,S003,应急食品,软,10800.0,3397.1757005599047,0.0,8.0,0.0
S003-HYG-01,T009,S003,生活卫生用品,软,14400.0,3397.1757005599047,0.0,6.0,0.0
S003-WAT-04,T009,S003,饮用水,软,7200.0,3397.1757005599047,0.0,10.0,0.0
S007-FOD-01,T009,S007,应急食品,软,7200.0,2865.912264788266,0.0,10.0,0.0
S007-HYG-01,T009,S007,生活卫生用品,软,10800.0,2865.912264788266,0.0,8.0,0.0
S007-WAT-01,T009,S007,饮用水,硬,3600.0,2865.912264788266,0.0,12.0,0.0
S007-WAT-02,T009,S007,饮用水,软,3600.0,2865.912264788266,0.0,12.0,0.0
S012-FOD-01,T010,S012,应急食品,软,7200.0,2781.7787476909593,0.0,10.0,0.0
S012-MED-01,T010,S012,医疗物资,硬,3600.0,2781.7787476909593,0.0,22.0,0.0
S012-WAT-01,T010,S012,饮用水,硬,3600.0,2781.7787476909593,0.0,12.0,0.0
S014-FOD-01,T011,S014,应急食品,软,7200.0,2797.814337441875,0.0,10.0,0.0
S014-MED-01,T011,S014,医疗物资,硬,3600.0,2797.814337441875,0.0,22.0,0.0
S014-WAT-01,T011,S014,饮用水,硬,3600.0,2797.814337441875,0.0,12.0,0.0
S001-FOD-03,T012,S001,应急食品,软,7200.0,3055.3750265647395,0.0,10.0,0.0
S001-MED-01,T012,S001,医疗物资,硬,3600.0,3055.3750265647395,0.0,24.0,0.0
S001-WAT-03,T012,S001,饮用水,软,3600.0,3055.3750265647395,0.0,12.0,0.0
S001-WAT-04,T012,S001,饮用水,软,3600.0,3055.3750265647395,0.0,12.0,0.0
S001-WAT-05,T012,S001,饮用水,软,3600.0,3055.3750265647395,0.0,12.0,0.0
S005-HYG-01,T012,S005,生活卫生用品,软,18000.0,3616.001885735104,0.0,4.0,0.0
S005-WAT-02,T012,S005,饮用水,软,10800.0,3616.001885735104,0.0,8.0,0.0
S005-FOD-01,T013,S005,应急食品,软,14400.0,3132.589547177343,0.0,6.0,0.0
S005-WAT-01,T013,S005,饮用水,硬,10800.0,3132.589547177343,0.0,8.0,0.0
S002-MED-01,T014,S002,医疗物资,硬,3600.0,3499.6233222077713,0.0,24.0,0.0
S002-WAT-03,T014,S002,饮用水,软,3600.0,3499.6233222077713,0.0,12.0,0.0
S002-FOD-01,T015,S002,应急食品,软,7200.0,4585.422873421232,0.0,10.0,0.0
S002-HYG-01,T015,S002,生活卫生用品,软,10800.0,4585.422873421232,0.0,8.0,0.0
S001-FOD-01,T016,S001,应急食品,软,7200.0,4385.839795425298,0.0,10.0,0.0
S009-WAT-01,T016,S009,饮用水,硬,10800.0,4804.287539443183,0.0,8.0,0.0
S004-FOD-01,T017,S004,应急食品,软,10800.0,5703.460326903507,0.0,8.0,0.0
S004-HYG-01,T017,S004,生活卫生用品,软,14400.0,5703.460326903507,0.0,6.0,0.0
S004-MED-01,T017,S004,医疗物资,硬,7200.0,5703.460326903507,0.0,20.0,0.0
S004-WAT-01,T017,S004,饮用水,硬,7200.0,5703.460326903507,0.0,10.0,0.0
S004-WAT-02,T017,S004,饮用水,软,7200.0,5703.460326903507,0.0,10.0,0.0
S004-WAT-03,T017,S004,饮用水,软,7200.0,5703.460326903507,0.0,10.0,0.0
S003-MED-01,T018,S003,医疗物资,硬,7200.0,5567.677371429084,0.0,20.0,0.0
S003-WAT-02,T018,S003,饮用水,软,7200.0,5567.677371429084,0.0,10.0,0.0
S003-FOD-01,T019,S003,应急食品,软,10800.0,5567.677371429084,0.0,8.0,0.0
S003-WAT-03,T019,S003,饮用水,软,7200.0,5567.677371429084,0.0,10.0,0.0
S005-MED-01,T020,S005,医疗物资,硬,10800.0,5662.4788747101875,0.0,16.0,0.0
S005-WAT-03,T020,S005,饮用水,软,10800.0,5662.4788747101875,0.0,8.0,0.0
S011-MED-01,T020,S011,医疗物资,硬,10800.0,5112.750305347545,0.0,16.0,0.0
S008-FOD-01,T021,S008,应急食品,软,10800.0,5719.008085342743,0.0,8.0,0.0
S008-HYG-01,T021,S008,生活卫生用品,软,14400.0,5719.008085342743,0.0,6.0,0.0
S008-MED-01,T021,S008,医疗物资,硬,7200.0,5719.008085342743,0.0,20.0,0.0
S008-WAT-01,T021,S008,饮用水,硬,7200.0,5719.008085342743,0.0,10.0,0.0
S008-WAT-02,T021,S008,饮用水,软,7200.0,5719.008085342743,0.0,10.0,0.0
S015-FOD-01,T022,S015,应急食品,软,14400.0,5710.163919368654,0.0,6.0,0.0
S015-WAT-01,T022,S015,饮用水,硬,10800.0,5710.163919368654,0.0,8.0,0.0
S001-FOD-02,T023,S001,应急食品,软,7200.0,6129.591783976853,0.0,10.0,0.0
S001-HYG-01,T023,S001,生活卫生用品,软,10800.0,6129.591783976853,0.0,8.0,0.0
S011-FOD-01,T024,S011,应急食品,软,14400.0,6138.994983094437,0.0,6.0,0.0
