反馈轮次,候选来源,架次数,是否最终采用,硬违约数,硬迟到_s,普通物资加权迟到,完工时间_s,能耗_kWh,MILP各层均最优,变量数,约束数
0,ALNS候选1,24,否,0,0.0,0.0,6525.4410822316095,74.07926176045706,否,3655,6591
0,ALNS候选2,24,否,0,0.0,0.0,6530.097335797138,72.15821250087937,否,4045,7314
0,ALNS候选3,23,否,0,0.0,0.0,6453.4686462027385,72.62892921465459,否,3402,6105
0,ALNS候选4,24,否,0,0.0,0.0,6453.462192740632,72.27104690565955,否,3655,6591
0,ALNS候选5,24,否,0,0.0,0.0,6808.761812390316,71.75008443686049,否,3545,6390
0,ALNS候选6,23,否,0,0.0,0.0,6784.10733739528,72.30144802281562,否,3292,5904
0,ALNS候选7,23,否,0,0.0,0.0,6850.107338073885,71.65897026766082,否,3292,5904
0,ALNS候选8,24,是,0,0.0,0.0,6421.0185464447295,71.15747207489005,否,3775,6812
0,跨口径候选:q2b_time,23,否,0,0.0,0.0,6453.462192095172,71.22711231817641,否,3292,5904
1,关键服务区跨架次移动,23,否,0,0.0,5401.248127049221,8530.718911312288,70.41417658162663,否,3190,5711
1,关键服务区跨架次移动,23,否,0,0.0,1762.3216543557828,8530.710382681686,70.53241442805916,否,3190,5711
1,关键服务区跨架次移动,23,否,0,0.0,0.0,8041.896897738494,70.74530320886669,否,3190,5711
