无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T005,0.0,1316.014946721035
U01,A,T014,2045.804866057656,3698.247545507388
U01,A,T022,3698.247545507388,5649.300480529995
U01,A,T030,5649.300480529995,7600.353415552602
U02,A,T006,0.0,1192.4715825390365
U02,A,T009,1192.4715825390365,2844.914261988769
U02,A,T018,2844.914261988769,4795.967197011376
U02,A,T026,4795.967197011376,6998.245861408093
U02,A,T036,7145.611949979961,9347.890614376678
U03,A,T007,0.0,1192.4715825390365
U03,A,T010,1192.4715825390365,2448.4865292600716
U03,A,T016,2448.4865292600716,3704.5014759811065
U03,A,T023,3884.0960278380358,5835.148962860643
U03,A,T032,6128.480097764039,7760.015901418305
U04,A,T008,0.0,1652.4426794497324
U04,A,T015,2045.804866057656,3698.247545507388
U04,A,T025,4576.672475301622,6527.725410324229
U04,A,T035,6981.813381282658,9184.092045679376
U05,B,T003,0.0,1554.5722391614418
U05,B,T011,1554.5722391614418,3384.146340177451
U05,B,T020,3433.202998895198,4583.183502007703
U05,B,T028,5052.205417463195,6202.1859205757
U05,B,T033,6202.1859205757,7292.54379223844
U05,B,T037,7304.289467534712,8763.314788406806
U06,B,T004,0.0,1844.5398866711284
U06,B,T013,1844.5398866711284,2934.8977583338683
U06,B,T019,3010.359395906541,4100.717267569281
U06,B,T024,4100.717267569281,5191.075139232021
U06,B,T029,5191.075139232021,6281.433010894761
U06,B,T034,6281.433010894761,7782.748093744911
U06,B,T039,7782.748093744911,8873.10596540765
U07,C,T001,0.0,1561.4267416985467
U07,C,T012,1561.4267416985467,3478.5097523142886
U07,C,T021,3478.5097523142886,5848.320610426714
U07,C,T031,5848.320610426714,8001.662460243169
U08,C,T002,0.0,2510.858533638403
U08,C,T017,2510.858533638403,4816.044025106194
U08,C,T027,4826.08401632532,7020.21307078381
U08,C,T038,7322.292929035104,9136.338546131155
