电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,1316.014946721035,0.7086749224675517,878.7226007921828,2194.7375475132176
A-BAT-01,A,T016,2448.4865292600716,3704.5014759811065,0.7137146159072952,872.1709993205162,4576.672475301622
A-BAT-01,A,T025,4576.672475301622,6527.725410324229,0.3808854579496228,1304.8489046654904,7832.57431498972
A-BAT-02,A,T006,0.0,1192.4715825390365,0.7282051665241388,853.3332835186195,2045.804866057656
A-BAT-02,A,T014,2045.804866057656,3698.247545507388,0.5852447955005639,1039.1817658492669,4737.429311356655
A-BAT-02,A,T026,4795.967197011376,6998.245861408093,0.3712251704191749,1317.4072784550724,8315.653139863165
A-BAT-03,A,T007,0.0,1192.4715825390365,0.7282051665241388,853.3332835186195,2045.804866057656
A-BAT-03,A,T015,2045.804866057656,3698.247545507388,0.5969107047706912,1024.0160837981016,4722.263629305489
A-BAT-03,A,T030,5649.300480529995,7600.353415552602,0.37656693298514043,1310.4629871193174,8910.81640267192
A-BAT-04,A,T008,0.0,1652.4426794497324,0.6037759504067598,1015.0912644712123,2667.5339439209447
A-BAT-04,A,T018,2844.914261988769,4795.967197011376,0.3596054609594903,1332.5129007526625,6128.480097764039
A-BAT-04,A,T032,6128.480097764039,7760.015901418305,0.5190054306172216,1125.292940197612,8885.308841615917
A-BAT-05,A,T009,1192.4715825390365,2844.914261988769,0.5852447955005639,1039.1817658492669,3884.0960278380358
A-BAT-05,A,T023,3884.0960278380358,5835.148962860643,0.37656693298514043,1310.4629871193174,7145.611949979961
A-BAT-05,A,T036,7145.611949979961,9347.890614376678,0.36657908222181135,1323.4471931116452,10671.337807488324
A-BAT-06,A,T010,1192.4715825390365,2448.4865292600716,0.7137146159072952,872.1709993205162,3320.657528580588
A-BAT-06,A,T022,3698.247545507388,5649.300480529995,0.3596054609594903,1332.5129007526625,6981.813381282658
A-BAT-06,A,T035,6981.813381282658,9184.092045679376,0.36657908222181135,1323.4471931116452,10507.539238791021
B-BAT-01,B,T003,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-01,B,T019,3010.359395906541,4100.717267569281,0.7588059578314041,1084.7363397588995,5185.453607328181
B-BAT-01,B,T029,5191.075139232021,6281.433010894761,0.7588059578314041,1084.7363397588995,7366.16935065366
B-BAT-01,B,T039,7782.748093744911,8873.10596540765,0.7615818384060853,1079.9248134294521,9953.030778837103
B-BAT-02,B,T004,0.0,1844.5398866711284,0.4680789737168829,1588.6631122240697,3433.202998895198
B-BAT-02,B,T020,3433.202998895198,4583.183502007703,0.7457340605818368,1107.3942949914829,5690.577796999186
B-BAT-02,B,T033,6202.1859205757,7292.54379223844,0.7615818384060853,1079.9248134294521,8372.468605667891
B-BAT-03,B,T011,1554.5722391614418,3384.146340177451,0.42227360925822466,1668.059077285744,5052.205417463195
B-BAT-03,B,T028,5052.205417463195,6202.1859205757,0.748786415215955,1102.1035469590113,7304.289467534712
B-BAT-03,B,T037,7304.289467534712,8763.314788406806,0.5876008740514207,1381.4918183108707,10144.806606717677
B-BAT-04,B,T013,1844.5398866711284,2934.8977583338683,0.7475292410003832,1104.2826489326692,4039.1804072665373
B-BAT-04,B,T024,4100.717267569281,5191.075139232021,0.7588059578314041,1084.7363397588995,6275.8114789909205
B-BAT-04,B,T034,6281.433010894761,7782.748093744911,0.6351370988413533,1299.0956953416544,9081.843789086564
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T021,3478.5097523142886,5848.320610426714,0.2630675811227201,2430.020240900773,8278.340851327486
C-BAT-02,C,T002,0.0,2510.858533638403,0.31604977722142324,2315.225482686916,4826.08401632532
C-BAT-02,C,T027,4826.08401632532,7020.21307078381,0.2682806369758226,2418.725286552384,9438.938357336194
C-BAT-03,C,T012,1561.4267416985467,3478.5097523142886,0.3735738628639347,2190.589963794808,5669.099716109096
C-BAT-03,C,T031,5848.320610426714,8001.662460243169,0.4155588172178901,2099.622562694571,10101.28502293774
C-BAT-04,C,T017,2510.858533638403,4816.044025106194,0.22788512126357996,2506.2489039289103,7322.292929035104
C-BAT-04,C,T038,7322.292929035104,9136.338546131155,0.4994477079735229,1917.8632993907004,11054.201845521857
