架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S013->S012,2510.858533638403,5.471601782228614,0.31604977722142324
T003,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826,0.5447381788009044
T004,U06,B,B-BAT-02,0.0,S014,1844.5398866711284,2.1276841051324684,0.4680789737168829
T005,U01,A,A-BAT-01,0.0,S006,1316.014946721035,1.3109628488960174,0.7086749224675517
T006,U02,A,A-BAT-02,0.0,S001,1192.4715825390365,1.2230767506413753,0.7282051665241388
T007,U03,A,A-BAT-03,0.0,S001,1192.4715825390365,1.2230767506413753,0.7282051665241388
T008,U04,A,A-BAT-04,0.0,S007,1652.4426794497324,1.783008223169581,0.6037759504067598
T009,U02,A,A-BAT-05,1192.4715825390365,S007,2844.914261988769,1.8663984202474626,0.5852447955005639
T010,U03,A,A-BAT-06,1192.4715825390365,S006,2448.4865292600716,1.2882842284171714,0.7137146159072952
T011,U05,B,B-BAT-03,1554.5722391614418,S015,3384.146340177451,2.3109055629671014,0.42227360925822466
T012,U07,C,C-BAT-03,1561.4267416985467,S002,3478.5097523142886,5.011409097088523,0.3735738628639347
T013,U06,B,B-BAT-04,1844.5398866711284,S001,2934.8977583338683,1.0098830359984672,0.7475292410003832
T014,U01,A,A-BAT-02,2045.804866057656,S007,3698.247545507388,1.8663984202474626,0.5852447955005639
T015,U04,A,A-BAT-03,2045.804866057656,S007,3698.247545507388,1.8139018285318893,0.5969107047706912
T016,U03,A,A-BAT-01,2448.4865292600716,S006,3704.5014759811065,1.2882842284171714,0.7137146159072952
T017,U08,C,C-BAT-04,2510.858533638403,S004,4816.044025106194,6.17691902989136,0.22788512126357996
T018,U02,A,A-BAT-04,2844.914261988769,S002,4795.967197011376,2.8817754256822936,0.3596054609594903
T019,U06,B,B-BAT-01,3010.359395906541,S001,4100.717267569281,0.9647761686743832,0.7588059578314041
T020,U05,B,B-BAT-02,3433.202998895198,S006,4583.183502007703,1.017063757672653,0.7457340605818368
T021,U07,C,C-BAT-01,3478.5097523142886,S003,5848.320610426714,5.895459351018239,0.2630675811227201
T022,U01,A,A-BAT-06,3698.247545507388,S002,5649.300480529995,2.8817754256822936,0.3596054609594903
T023,U03,A,A-BAT-05,3884.0960278380358,S002,5835.148962860643,2.805448801566868,0.37656693298514043
T024,U06,B,B-BAT-04,4100.717267569281,S001,5191.075139232021,0.9647761686743832,0.7588059578314041
T025,U04,A,A-BAT-01,4576.672475301622,S002,6527.725410324229,2.7860154392266976,0.3808854579496228
T026,U02,A,A-BAT-02,4795.967197011376,S003,6998.245861408093,2.829486733113713,0.3712251704191749
T027,U08,C,C-BAT-02,4826.08401632532,S008,7020.21307078381,5.853754904193419,0.2682806369758226
T028,U05,B,B-BAT-03,5052.205417463195,S006,6202.1859205757,1.00485433913618,0.748786415215955
T029,U06,B,B-BAT-01,5191.075139232021,S001,6281.433010894761,0.9647761686743832,0.7588059578314041
T030,U01,A,A-BAT-03,5649.300480529995,S002,7600.353415552602,2.805448801566868,0.37656693298514043
T031,U07,C,C-BAT-03,5848.320610426714,S009->S011,8001.662460243169,4.675529462256879,0.4155588172178901
T032,U03,A,A-BAT-04,6128.480097764039,S009,7760.015901418305,2.1644755622225027,0.5190054306172216
T033,U05,B,B-BAT-02,6202.1859205757,S001,7292.54379223844,0.9536726463756591,0.7615818384060853
T034,U06,B,B-BAT-04,6281.433010894761,S007,7782.748093744911,1.459451604634587,0.6351370988413533
T035,U04,A,A-BAT-06,6981.813381282658,S003,9184.092045679376,2.850394130001849,0.36657908222181135
T036,U02,A,A-BAT-05,7145.611949979961,S003,9347.890614376678,2.850394130001849,0.36657908222181135
T037,U05,B,B-BAT-03,7304.289467534712,S005,8763.314788406806,1.6495965037943172,0.5876008740514207
T038,U08,C,C-BAT-04,7322.292929035104,S005,9136.338546131155,4.004418336211817,0.4994477079735229
T039,U06,B,B-BAT-01,7782.748093744911,S001,8873.10596540765,0.9536726463756591,0.7615818384060853
