货箱编号,架次编号,服务区,物资类型,时间窗类型,要求时刻（s）,交付完成时刻（s）,迟到（s）,应急优先系数,加权迟到
S001-MED-01,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-MED-02,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-WAT-01,T001,S001,饮用水,硬,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-02,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-03,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-04,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-05,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S012-FOD-01,T002,S012,应急食品,软,7200.0,1809.0172365919668,0.0,10.0,0.0
S012-MED-01,T002,S012,医疗物资,硬,3600.0,1809.0172365919668,0.0,22.0,0.0
S012-WAT-01,T002,S012,饮用水,硬,3600.0,1809.0172365919668,0.0,12.0,0.0
S013-FOD-01,T002,S013,应急食品,软,7200.0,1217.7937812765404,0.0,10.0,0.0
S013-MED-01,T002,S013,医疗物资,硬,3600.0,1217.7937812765404,0.0,24.0,0.0
S013-WAT-01,T002,S013,饮用水,硬,3600.0,1217.7937812765404,0.0,12.0,0.0
S010-FOD-01,T003,S010,应急食品,软,7200.0,1084.8227862473875,0.0,10.0,0.0
S010-MED-01,T003,S010,医疗物资,硬,3600.0,1084.8227862473875,0.0,24.0,0.0
S010-WAT-01,T003,S010,饮用水,硬,3600.0,1084.8227862473875,0.0,12.0,0.0
S014-FOD-01,T004,S014,应急食品,软,7200.0,1229.8266100022308,0.0,10.0,0.0
S014-MED-01,T004,S014,医疗物资,硬,3600.0,1229.8266100022308,0.0,22.0,0.0
S014-WAT-01,T004,S014,饮用水,硬,3600.0,1229.8266100022308,0.0,12.0,0.0
S006-MED-01,T005,S006,医疗物资,硬,3600.0,936.7708066938508,0.0,24.0,0.0
S006-WAT-01,T005,S006,饮用水,硬,3600.0,936.7708066938508,0.0,12.0,0.0
S001-WAT-07,T006,S001,饮用水,软,3600.0,849.3591246028516,0.0,12.0,0.0
S001-WAT-08,T007,S001,饮用水,软,3600.0,849.3591246028516,0.0,12.0,0.0
S007-MED-01,T008,S007,医疗物资,硬,3600.0,1073.8613397248662,0.0,24.0,0.0
S007-WAT-01,T009,S007,饮用水,硬,3600.0,2266.3329222639027,0.0,12.0,0.0
S006-WAT-03,T010,S006,饮用水,软,3600.0,2069.242389232887,0.0,12.0,0.0
S015-FOD-01,T011,S015,应急食品,软,14400.0,2772.7992896694464,0.0,6.0,0.0
S015-MED-01,T011,S015,医疗物资,硬,7200.0,2772.7992896694464,0.0,18.0,0.0
S015-WAT-01,T011,S015,饮用水,硬,10800.0,2772.7992896694464,0.0,8.0,0.0
S002-MED-01,T012,S002,医疗物资,硬,3600.0,2854.3782470064175,0.0,24.0,0.0
S002-WAT-01,T012,S002,饮用水,硬,3600.0,2854.3782470064175,0.0,12.0,0.0
S002-WAT-02,T012,S002,饮用水,软,3600.0,2854.3782470064175,0.0,12.0,0.0
S001-WAT-06,T013,S001,饮用水,软,3600.0,2642.8421558358314,0.0,12.0,0.0
S007-WAT-02,T014,S007,饮用水,软,3600.0,3119.6662057825224,0.0,12.0,0.0
S007-FOD-01,T015,S007,应急食品,软,7200.0,3119.6662057825224,0.0,10.0,0.0
S006-WAT-02,T016,S006,饮用水,软,3600.0,3325.2573359539224,0.0,12.0,0.0
S004-FOD-01,T017,S004,应急食品,软,10800.0,4096.421279372298,0.0,8.0,0.0
S004-HYG-01,T017,S004,生活卫生用品,软,14400.0,4096.421279372298,0.0,6.0,0.0
S004-MED-01,T017,S004,医疗物资,硬,7200.0,4096.421279372298,0.0,20.0,0.0
S004-WAT-01,T017,S004,饮用水,硬,7200.0,4096.421279372298,0.0,10.0,0.0
S004-WAT-02,T017,S004,饮用水,软,7200.0,4096.421279372298,0.0,10.0,0.0
S004-WAT-03,T017,S004,饮用水,软,7200.0,4096.421279372298,0.0,10.0,0.0
S002-WAT-03,T018,S002,饮用水,软,3600.0,4072.3807295000724,472.38072950007245,12.0,5668.568754000869
S001-FOD-02,T019,S001,应急食品,软,7200.0,3808.661665071244,0.0,10.0,0.0
S006-FOD-01,T020,S006,应急食品,软,7200.0,4256.956583784784,0.0,10.0,0.0
S003-MED-01,T021,S003,医疗物资,硬,7200.0,5057.875181370501,0.0,20.0,0.0
S003-WAT-01,T021,S003,饮用水,硬,7200.0,5057.875181370501,0.0,10.0,0.0
S003-WAT-02,T021,S003,饮用水,软,7200.0,5057.875181370501,0.0,10.0,0.0
S003-WAT-03,T021,S003,饮用水,软,7200.0,5057.875181370501,0.0,10.0,0.0
S003-WAT-04,T021,S003,饮用水,软,7200.0,5057.875181370501,0.0,10.0,0.0
S002-WAT-04,T022,S002,饮用水,软,3600.0,4925.714013018692,1325.7140130186917,12.0,15908.5681562243
S002-FOD-02,T023,S002,应急食品,软,7200.0,5111.562495349339,0.0,10.0,0.0
S001-FOD-03,T024,S001,应急食品,软,7200.0,4899.019536733984,0.0,10.0,0.0
S002-HYG-01,T025,S002,生活卫生用品,软,10800.0,5804.138942812926,0.0,8.0,0.0
S003-HYG-01,T026,S003,生活卫生用品,软,14400.0,6145.079862543068,0.0,6.0,0.0
S008-FOD-01,T027,S008,应急食品,软,10800.0,6320.988543554565,0.0,8.0,0.0
S008-HYG-01,T027,S008,生活卫生用品,软,14400.0,6320.988543554565,0.0,6.0,0.0
S008-MED-01,T027,S008,医疗物资,硬,7200.0,6320.988543554565,0.0,20.0,0.0
S008-WAT-01,T027,S008,饮用水,硬,7200.0,6320.988543554565,0.0,10.0,0.0
S008-WAT-02,T027,S008,饮用水,软,7200.0,6320.988543554565,0.0,10.0,0.0
S006-HYG-01,T028,S006,生活卫生用品,软,10800.0,5875.959002352781,0.0,8.0,0.0
S001-FOD-01,T029,S001,应急食品,软,7200.0,5989.377408396724,0.0,10.0,0.0
S002-FOD-01,T030,S002,应急食品,软,7200.0,6876.766948041299,0.0,10.0,0.0
S009-MED-01,T031,S009,医疗物资,硬,10800.0,7029.658657759188,0.0,16.0,0.0
S009-WAT-01,T031,S009,饮用水,硬,10800.0,7029.658657759188,0.0,8.0,0.0
S011-FOD-01,T031,S011,应急食品,软,14400.0,7696.716765399078,0.0,6.0,0.0
S011-MED-01,T031,S011,医疗物资,硬,10800.0,7696.716765399078,0.0,16.0,0.0
S011-WAT-01,T031,S011,饮用水,硬,10800.0,7696.716765399078,0.0,8.0,0.0
S009-FOD-01,T032,S009,应急食品,软,14400.0,7195.837999591171,0.0,6.0,0.0
S001-HYG-01,T033,S001,生活卫生用品,软,10800.0,7000.488189740403,0.0,8.0,0.0
S007-HYG-01,T034,S007,生活卫生用品,软,10800.0,7279.730552319836,0.0,8.0,0.0
S003-FOD-02,T035,S003,应急食品,软,10800.0,8330.92604681435,0.0,8.0,0.0
S003-FOD-01,T036,S003,应急食品,软,10800.0,8494.724615511652,0.0,8.0,0.0
S005-FOD-01,T037,S005,应急食品,软,14400.0,8286.558794637425,0.0,6.0,0.0
S005-HYG-01,T038,S005,生活卫生用品,软,18000.0,8630.95073758313,0.0,4.0,0.0
S005-MED-01,T038,S005,医疗物资,硬,10800.0,8630.95073758313,0.0,16.0,0.0
S005-WAT-01,T038,S005,饮用水,硬,10800.0,8630.95073758313,0.0,8.0,0.0
S005-WAT-02,T038,S005,饮用水,软,10800.0,8630.95073758313,0.0,8.0,0.0
S005-WAT-03,T038,S005,饮用水,软,10800.0,8630.95073758313,0.0,8.0,0.0
S001-HYG-02,T039,S001,生活卫生用品,软,10800.0,8581.050362909615,0.0,8.0,0.0
