架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.8983708492734,1.9601246337014007
T001,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T002,1,O01,S013,50.0,449.79378127654047,2.15301000999704
T002,2,S013,S012,25.0,303.2234553154265,1.0031797811067087
T002,3,S012,O01,0.0,701.8412970464362,2.3154119911248654
T003,1,O01,S010,25.0,454.82278624738757,1.1177394417806361
T003,2,S010,O01,0.0,469.74945291405425,0.7033078430157463
T004,1,O01,S014,25.0,599.8266100022308,1.2994566089442985
T004,2,S014,O01,0.0,614.7132766688976,0.8282274961881697
T005,1,O01,S006,17.0,366.7708066938507,0.7241724700494112
T005,2,S006,O01,0.0,379.2441400271841,0.5867903788466062
T006,1,O01,S001,14.0,339.3591246028516,0.6480688947177184
T006,2,S001,O01,0.0,343.11245793618485,0.5750078559236569
T007,1,O01,S001,14.0,339.3591246028516,0.6480688947177184
T007,2,S001,O01,0.0,343.11245793618485,0.5750078559236569
T008,1,O01,S007,3.0,563.8613397248662,0.9262972736452997
T008,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T009,1,O01,S007,14.0,563.8613397248662,1.0096874707231813
T009,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T010,1,O01,S006,14.0,366.7708066938507,0.701493849570565
T010,2,S006,O01,0.0,379.2441400271841,0.5867903788466062
T011,1,O01,S015,25.0,588.2270505080047,1.4270958492368189
T011,2,S015,O01,0.0,611.3470505080047,0.8838097137302824
T012,1,O01,S002,31.0,614.9515053078708,2.699366882669351
T012,2,S002,O01,0.0,624.1315053078708,2.3120422144191712
T013,1,O01,S001,14.0,288.3022691647031,0.5503443019935164
T013,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
T014,1,O01,S007,14.0,563.8613397248662,1.0096874707231813
T014,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T015,1,O01,S007,8.0,563.8613397248662,0.9571908790076079
T015,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T016,1,O01,S006,14.0,366.7708066938507,0.701493849570565
T016,2,S006,O01,0.0,379.2441400271841,0.5867903788466062
T017,1,O01,S004,59.0,709.5627457338954,3.7486805181861502
T017,2,S004,O01,0.0,719.6227457338954,2.4282385117052105
T018,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T018,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T019,1,O01,S001,8.0,288.3022691647031,0.5052374346694324
T019,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
T020,1,O01,S006,8.0,313.7535848895858,0.5494406433727332
T020,2,S006,O01,0.0,326.22691822291915,0.46762311429991965
T021,1,O01,S003,59.0,769.3654290562129,3.6022066774710684
T021,2,S003,O01,0.0,790.4454290562128,2.293252673547171
T022,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T022,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T023,1,O01,S002,8.0,717.4664675113034,1.4427997467443858
T023,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T024,1,O01,S001,8.0,288.3022691647031,0.5052374346694324
T024,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
T025,1,O01,S002,6.0,717.4664675113034,1.423366384404215
T025,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T026,1,O01,S003,6.0,839.1126655316918,1.463333041061237
T026,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T027,1,O01,S008,45.0,684.9045272292449,3.3329610807440226
T027,2,S008,O01,0.0,699.2245272292449,2.5207938234493965
T028,1,O01,S006,6.0,313.7535848895858,0.5372312248362603
T028,2,S006,O01,0.0,326.22691822291915,0.46762311429991965
T029,1,O01,S001,8.0,288.3022691647031,0.5052374346694324
T029,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
T030,1,O01,S002,8.0,717.4664675113034,1.4427997467443858
T030,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T031,1,O01,S009,42.0,479.3380473324743,2.284503683503239
T031,2,S009,S011,25.0,379.0581076398898,1.5021827924769628
T031,3,S011,O01,0.0,304.9456948440918,0.888842986276678
T032,1,O01,S009,8.0,557.3579018271325,1.1176418205668746
T032,2,S009,O01,0.0,564.1779018271326,1.046833741655628
T033,1,O01,S001,6.0,288.3022691647031,0.4941339123707082
T033,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
T034,1,O01,S007,6.0,488.2975414250752,0.774041543313164
T034,2,S007,O01,0.0,503.01754142507525,0.6854100613214229
T035,1,O01,S003,8.0,839.1126655316918,1.484240437949373
T035,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T036,1,O01,S003,8.0,839.1126655316918,1.484240437949373
T036,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T037,1,O01,S005,8.0,472.2693271027137,0.859837065298266
T037,2,S005,O01,0.0,476.7559937693803,0.7897594384960512
T038,1,O01,S005,51.0,498.6578085480262,2.3382625022563475
T038,2,S005,O01,0.0,505.3878085480262,1.6661558339554692
T039,1,O01,S001,6.0,288.3022691647031,0.4941339123707082
T039,2,S001,O01,0.0,292.0556024980365,0.4595387340049508
