无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T005,0.0,1652.4426794497324
U01,A,T011,1652.4426794497324,3854.7213438464496
U01,A,T021,3854.7213438464496,6057.000008243167
U01,A,T028,6161.689790684867,7354.161373223904
U02,A,T006,0.0,2108.35853782002
U02,A,T015,2691.6244452989995,4642.6773803216065
U02,A,T023,4642.6773803216065,6844.956044718323
U03,A,T007,0.0,2202.278664396717
U03,A,T016,3283.5658357752695,5234.618770797877
U03,A,T027,5975.190281074269,8177.468945470986
U04,A,T008,0.0,1951.052935022607
U04,A,T013,1951.052935022607,3114.5887970921463
U04,A,T018,3489.2277576704437,5141.670437120176
U04,A,T025,5178.168536958095,7129.221471980702
U05,B,T003,0.0,1844.5398866711284
U05,B,T012,1844.5398866711284,3405.319677218238
U05,B,T017,3405.319677218238,5108.529994962886
U05,B,T026,5538.605197575907,7241.815515320555
U05,B,T032,7241.815515320555,8311.44631988504
U06,B,T004,0.0,1621.3150828501505
U06,B,T010,1621.3150828501505,3579.357847839239
U06,B,T019,3579.357847839239,4648.988652403725
U06,B,T024,4983.050456386184,6821.093221375273
U06,B,T031,6821.093221375273,7971.073724487778
U07,C,T001,0.0,1561.4267416985467
U07,C,T009,1561.4267416985467,4218.612964412171
U07,C,T022,4218.612964412171,6523.798455879962
U07,C,T030,6770.095357430459,8331.522099129006
U08,C,T002,0.0,2241.3462405005175
U08,C,T014,2241.3462405005175,3740.3819092217464
U08,C,T020,3740.3819092217464,6473.946603397373
U08,C,T029,6473.946603397373,8353.992220493426
