电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,1652.4426794497324,0.5852447955005639,1039.1817658492669,2691.6244452989995
A-BAT-01,A,T015,2691.6244452989995,4642.6773803216065,0.3596054609594903,1332.5129007526625,5975.190281074269
A-BAT-01,A,T027,5975.190281074269,8177.468945470986,0.36657908222181135,1323.4471931116452,9500.916138582632
A-BAT-02,A,T006,0.0,2108.35853782002,0.32240829242275104,1380.8692198504234,3489.2277576704437
A-BAT-02,A,T018,3489.2277576704437,5141.670437120176,0.5999851126425451,1020.0193535646914,6161.689790684867
A-BAT-02,A,T028,6161.689790684867,7354.161373223904,0.7355454229927247,843.7909501094578,8197.952323333362
A-BAT-03,A,T007,0.0,2202.278664396717,0.3487287756352898,1346.6525916741234,3548.9312560708404
A-BAT-03,A,T021,3854.7213438464496,6057.000008243167,0.3712251704191749,1317.4072784550724,7374.40728669824
A-BAT-04,A,T008,0.0,1951.052935022607,0.3596054609594903,1332.5129007526625,3283.5658357752695
A-BAT-04,A,T016,3283.5658357752695,5234.618770797877,0.3808854579496228,1304.8489046654904,6539.467675463367
A-BAT-05,A,T011,1652.4426794497324,3854.7213438464496,0.36657908222181135,1323.4471931116452,5178.168536958095
A-BAT-05,A,T025,5178.168536958095,7129.221471980702,0.3596054609594903,1332.5129007526625,8461.734372733365
A-BAT-06,A,T013,1951.052935022607,3114.5887970921463,0.7475723974354476,828.1558833339182,3942.7446804260644
A-BAT-06,A,T023,4642.6773803216065,6844.956044718323,0.3487287756352898,1346.6525916741234,8191.608636392446
B-BAT-01,B,T003,0.0,1844.5398866711284,0.4680789737168829,1588.6631122240697,3433.202998895198
B-BAT-01,B,T019,3579.357847839239,4648.988652403725,0.7814844329367729,1045.4269829095936,5694.4156353133185
B-BAT-01,B,T031,6821.093221375273,7971.073724487778,0.748786415215955,1102.1035469590113,9073.17727144679
B-BAT-02,B,T004,0.0,1621.3150828501505,0.55653792024074,1435.3342715827173,3056.6493544328678
B-BAT-02,B,T017,3405.319677218238,5108.529994962886,0.43393746548463374,1647.8417264933016,6756.3717214561875
B-BAT-02,B,T032,7241.815515320555,8311.44631988504,0.77576328706933,1055.3436357464948,9366.789955631535
B-BAT-03,B,T010,1621.3150828501505,3579.357847839239,0.25428037515192226,1959.2473497366682,5538.605197575907
B-BAT-03,B,T026,5538.605197575907,7241.815515320555,0.43393746548463374,1647.8417264933016,8889.657241813857
B-BAT-04,B,T012,1844.5398866711284,3405.319677218238,0.47438608894156975,1577.7307791679457,4983.050456386184
B-BAT-04,B,T024,4983.050456386184,6821.093221375273,0.3510461692190081,1791.5199733537193,8612.613194728992
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T020,3740.3819092217464,6473.946603397373,0.23227545201041222,2496.736520644107,8970.68312404148
C-BAT-02,C,T002,0.0,2241.3462405005175,0.4787014193210327,1962.8135914710956,4204.159831971613
C-BAT-02,C,T022,4218.612964412171,6523.798455879962,0.22788512126357996,2506.2489039289103,9030.047359808872
C-BAT-03,C,T009,1561.4267416985467,4218.612964412171,0.20700812629925147,2551.4823930182883,6770.095357430459
C-BAT-03,C,T030,6770.095357430459,8331.522099129006,0.6589394752819049,1572.2978035558729,9903.81990268488
C-BAT-04,C,T014,2241.3462405005175,3740.3819092217464,0.6894764650613837,1506.1343257003355,5246.516234922082
C-BAT-04,C,T029,6473.946603397373,8353.992220493426,0.47015249491319255,1981.336261021416,10335.328481514842
