架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S010->S013,2241.3462405005175,4.170388645431738,0.4787014193210327
T003,U05,B,B-BAT-01,0.0,S014,1844.5398866711284,2.1276841051324684,0.4680789737168829
T004,U06,B,B-BAT-02,0.0,S007,1621.3150828501505,1.77384831903704,0.55653792024074
T005,U01,A,A-BAT-01,0.0,S007,1652.4426794497324,1.8663984202474626,0.5852447955005639
T006,U02,A,A-BAT-02,0.0,S008,2108.35853782002,3.0491626840976203,0.32240829242275104
T007,U03,A,A-BAT-03,0.0,S003,2202.278664396717,2.930720509641196,0.3487287756352898
T008,U04,A,A-BAT-04,0.0,S002,1951.052935022607,2.8817754256822936,0.3596054609594903
T009,U07,C,C-BAT-03,1561.4267416985467,S012->S002,4218.612964412171,6.343934989605988,0.20700812629925147
T010,U06,B,B-BAT-03,1621.3150828501505,S008,3579.357847839239,2.982878499392311,0.25428037515192226
T011,U01,A,A-BAT-05,1652.4426794497324,S003,3854.7213438464496,2.850394130001849,0.36657908222181135
T012,U05,B,B-BAT-04,1844.5398866711284,S009,3405.319677218238,2.102455644233721,0.47438608894156975
T013,U04,A,A-BAT-06,1951.052935022607,S011,3114.5887970921463,1.1359242115404862,0.7475723974354476
T014,U08,C,C-BAT-04,2241.3462405005175,S006,3740.3819092217464,2.4841882795089303,0.6894764650613837
T015,U02,A,A-BAT-01,2691.6244452989995,S002,4642.6773803216065,2.8817754256822936,0.3596054609594903
T016,U03,A,A-BAT-04,3283.5658357752695,S002,5234.618770797877,2.7860154392266976,0.3808854579496228
T017,U05,B,B-BAT-02,3405.319677218238,S002,5108.529994962886,2.264250138061465,0.43393746548463374
T018,U04,A,A-BAT-02,3489.2277576704437,S007,5141.670437120176,1.8000669931085471,0.5999851126425451
T019,U06,B,B-BAT-01,3579.357847839239,S011,4648.988652403725,0.8740622682529083,0.7814844329367729
T020,U08,C,C-BAT-01,3740.3819092217464,S015->S003,6473.946603397373,6.141796383916702,0.23227545201041222
T021,U01,A,A-BAT-03,3854.7213438464496,S003,6057.000008243167,2.829486733113713,0.3712251704191749
T022,U07,C,C-BAT-02,4218.612964412171,S004,6523.798455879962,6.17691902989136,0.22788512126357996
T023,U02,A,A-BAT-06,4642.6773803216065,S003,6844.956044718323,2.930720509641196,0.3487287756352898
T024,U06,B,B-BAT-04,4983.050456386184,S008,6821.093221375273,2.5958153231239676,0.3510461692190081
T025,U04,A,A-BAT-05,5178.168536958095,S002,7129.221471980702,2.8817754256822936,0.3596054609594903
T026,U05,B,B-BAT-03,5538.605197575907,S002,7241.815515320555,2.264250138061465,0.43393746548463374
T027,U03,A,A-BAT-01,5975.190281074269,S003,8177.468945470986,2.850394130001849,0.36657908222181135
T028,U01,A,A-BAT-02,6161.689790684867,S001,7354.161373223904,1.190045596532739,0.7355454229927247
T029,U08,C,C-BAT-04,6473.946603397373,S005,8353.992220493426,4.23878004069446,0.47015249491319255
T030,U07,C,C-BAT-03,6770.095357430459,S001,8331.522099129006,2.728484197744761,0.6589394752819049
T031,U06,B,B-BAT-01,6821.093221375273,S006,7971.073724487778,1.00485433913618,0.748786415215955
T032,U05,B,B-BAT-02,7241.815515320555,S011,8311.44631988504,0.8969468517226801,0.77576328706933
